# x_interp smoothed_curve trend rsd2
2005.661060 -82.251267 -83.165117 1.792815
2005.680238 -82.686349 -83.179240 1.792815
2005.699416 -83.134368 -83.192695 1.792815
2005.718594 -83.593112 -83.205413 1.792815
2005.737772 -84.052314 -83.217324 1.792815
2005.756950 -84.493443 -83.228369 1.792815
2005.776128 -84.891767 -83.238493 1.792815
2005.795307 -85.220311 -83.247642 1.792815
2005.814485 -85.454830 -83.255773 1.792815
2005.833663 -85.578673 -83.262844 1.792815
2005.852841 -85.586471 -83.268818 1.792815
2005.872019 -85.485775 -83.273669 1.792815
2005.891197 -85.296269 -83.277376 1.792815
2005.910375 -85.046708 -83.279925 1.792815
2005.929553 -84.770228 -83.281309 1.792815
2005.948731 -84.499026 -83.281529 1.792815
2005.967909 -84.259550 -83.280595 1.792815
2005.987087 -84.069153 -83.278515 1.792815
2006.006265 -83.934898 -83.275321 1.792815
2006.025444 -83.854548 -83.271044 1.792815
2006.044622 -83.819456 -83.265723 1.792815
2006.063800 -83.818466 -83.259406 1.792815
2006.082978 -83.841823 -83.252146 1.792815
2006.102156 -83.884074 -83.244005 1.792815
2006.121334 -83.945216 -83.235053 1.792815
2006.140512 -84.029795 -83.225373 1.792815
2006.159690 -84.144160 -83.215046 1.792815
2006.178868 -84.292626 -83.204161 1.792815
2006.198046 -84.473530 -83.192821 1.792815
2006.217224 -84.676245 -83.181126 1.792815
2006.236402 -84.880125 -83.169187 1.792815
2006.255581 -85.055825 -83.157121 1.792815
2006.274759 -85.168948 -83.145044 1.792815
2006.293937 -85.185491 -83.133082 1.792815
2006.313115 -85.077968 -83.121365 1.792815
2006.332293 -84.831021 -83.110022 1.792815
2006.351471 -84.445305 -83.099191 1.792815
2006.370649 -83.938764 -83.089005 1.792815
2006.389827 -83.344935 -83.079607 1.792815
2006.409005 -82.708521 -83.071132 1.792815
2006.428183 -82.079045 -83.063717 1.792815
2006.447361 -81.503791 -83.057508 1.792815
2006.466539 -81.021316 -83.052638 1.792815
2006.485718 -80.656814 -83.049244 1.792815
2006.504896 -80.420067 -83.047461 1.792815
2006.524074 -80.306266 -83.047418 1.792815
2006.543252 -80.299335 -83.049244 1.792815
2006.562430 -80.376910 -83.053062 1.792815
2006.581608 -80.515790 -83.058990 1.792815
2006.600786 -80.696665 -83.067133 1.792815
2006.619964 -80.907148 -83.077605 1.792815
2006.639142 -81.142505 -83.090497 1.792815
2006.658320 -81.404188 -83.105904 1.792815
2006.677498 -81.696599 -83.123907 1.792815
2006.696676 -82.023099 -83.144584 1.792815
2006.715855 -82.382289 -83.167996 1.792815
2006.735033 -82.765644 -83.194194 1.792815
2006.754211 -83.157097 -83.223227 1.792815
2006.773389 -83.534799 -83.255126 1.792815
2006.792567 -83.874693 -83.289917 1.792815
2006.811745 -84.155091 -83.327609 1.792815
2006.830923 -84.361220 -83.368207 1.792815
2006.850101 -84.488611 -83.411698 1.792815
2006.869279 -84.544521 -83.458055 1.792815
2006.888457 -84.546995 -83.507245 1.792815
2006.907635 -84.521639 -83.559220 1.792815
2006.926813 -84.496811 -83.613925 1.792815
2006.945992 -84.498175 -83.671283 1.792815
2006.965170 -84.543835 -83.731209 1.792815
2006.984348 -84.641042 -83.793614 1.792815
2007.003526 -84.785140 -83.858389 1.792815
2007.022704 -84.960985 -83.925415 1.792815
2007.041882 -85.146436 -83.994567 1.792815
2007.061060 -85.317087 -84.065697 1.792815
2007.080238 -85.451221 -84.138666 1.792815
2007.099416 -85.533754 -84.213304 1.792815
2007.118594 -85.558464 -84.289447 1.792815
2007.137772 -85.527936 -84.366920 1.792815
2007.156950 -85.451401 -84.445538 1.792815
2007.176128 -85.341060 -84.525104 1.792815
2007.195307 -85.207878 -84.605423 1.792815
2007.214485 -85.057910 -84.686284 1.792815
2007.233663 -84.890214 -84.767484 1.792815
2007.252841 -84.696859 -84.848806 1.792815
2007.272019 -84.465216 -84.930030 1.792815
2007.291197 -84.182038 -85.010938 1.792815
2007.310375 -83.838411 -85.091312 1.792815
2007.329553 -83.434417 -85.170924 1.792815
2007.348731 -82.982388 -85.249553 1.792815
2007.367909 -82.507813 -85.326976 1.792815
2007.387087 -82.047527 -85.402975 1.792815
2007.406265 -81.645367 -85.477332 1.792815
2007.425444 -81.346025 -85.549832 1.792815
2007.444622 -81.188283 -85.620272 1.792815
2007.463800 -81.198891 -85.688448 1.792815
2007.482978 -81.388354 -85.754162 1.792815
2007.502156 -81.749428 -85.817225 1.792815
2007.521334 -82.258591 -85.877457 1.792815
2007.540512 -82.880177 -85.934687 1.792815
2007.559690 -83.572300 -85.988753 1.792815
2007.578868 -84.293357 -86.039505 1.792815
2007.598046 -85.007826 -86.086801 1.792815
2007.617224 -85.690282 -86.130515 1.792815
2007.636402 -86.326926 -86.170530 1.792815
2007.655581 -86.914574 -86.206743 1.792815
2007.674759 -87.457506 -86.239062 1.792815
2007.693937 -87.963130 -86.267419 1.792815
2007.713115 -88.437495 -86.291748 1.792815
2007.732293 -88.881843 -86.312004 1.792815
2007.751471 -89.290928 -86.328157 1.792815
2007.770649 -89.653460 -86.340189 1.792815
2007.789827 -89.954519 -86.348103 1.792815
2007.809005 -90.179226 -86.351908 1.792815
2007.828183 -90.316765 -86.351637 1.792815
2007.847361 -90.363672 -86.347335 1.792815
2007.866539 -90.325557 -86.339065 1.792815
2007.885718 -90.216773 -86.326899 1.792815
2007.904896 -90.058072 -86.310929 1.792815
2007.924074 -89.872738 -86.291259 1.792815
2007.943252 -89.682092 -86.268009 1.792815
2007.962430 -89.501414 -86.241307 1.792815
2007.981608 -89.337261 -86.211298 1.792815
2008.000786 -89.186780 -86.178144 1.792815
2008.019964 -89.039215 -86.142013 1.792815
2008.039142 -88.879252 -86.103085 1.792815
2008.058320 -88.691402 -86.061543 1.792815
2008.077498 -88.464392 -86.017599 1.792815
2008.096676 -88.194422 -85.971458 1.792815
2008.115855 -87.886548 -85.923337 1.792815
2008.135033 -87.553737 -85.873459 1.792815
2008.154211 -87.213768 -85.822056 1.792815
2008.173389 -86.884639 -85.769365 1.792815
2008.192567 -86.579546 -85.715625 1.792815
2008.211745 -86.302634 -85.661079 1.792815
2008.230923 -86.046586 -85.605971 1.792815
2008.250101 -85.792750 -85.550544 1.792815
2008.269279 -85.513987 -85.495049 1.792815
2008.288457 -85.179736 -85.439733 1.792815
2008.307635 -84.762411 -85.384839 1.792815
2008.326813 -84.243819 -85.330610 1.792815
2008.345992 -83.620269 -85.277283 1.792815
2008.365170 -82.905316 -85.225091 1.792815
2008.384348 -82.129480 -85.174254 1.792815
2008.403526 -81.336984 -85.124998 1.792815
2008.422704 -80.580020 -85.077534 1.792815
2008.441882 -79.911696 -85.032070 1.792815
