# x_interp smoothed_curve trend rsd2
2012.716975 -90.868071 -89.247341 3.683797
2012.736153 -91.069933 -89.230946 3.683797
2012.755331 -91.179211 -89.213139 3.683797
2012.774509 -91.202726 -89.193971 3.683797
2012.793687 -91.149608 -89.173496 3.683797
2012.812865 -91.031034 -89.151776 3.683797
2012.832043 -90.860573 -89.128878 3.683797
2012.851222 -90.654746 -89.104873 3.683797
2012.870400 -90.433251 -89.079840 3.683797
2012.889578 -90.218383 -89.053860 3.683797
2012.908756 -90.033416 -89.027021 3.683797
2012.927934 -89.899984 -88.999414 3.683797
2012.947112 -89.834852 -88.971134 3.683797
2012.966290 -89.846728 -88.942281 3.683797
2012.985468 -89.933864 -88.912958 3.683797
2013.004646 -90.083137 -88.883271 3.683797
2013.023824 -90.271048 -88.853327 3.683797
2013.043002 -90.466693 -88.823238 3.683797
2013.062180 -90.636325 -88.793116 3.683797
2013.081359 -90.748751 -88.763075 3.683797
2013.100537 -90.780542 -88.733229 3.683797
2013.119715 -90.720047 -88.703694 3.683797
2013.138893 -90.569318 -88.674585 3.683797
2013.158071 -90.343515 -88.646016 3.683797
2013.177249 -90.067799 -88.618100 3.683797
2013.196427 -89.772275 -88.590951 3.683797
2013.215605 -89.485963 -88.564678 3.683797
2013.234783 -89.230973 -88.539387 3.683797
2013.253961 -89.018109 -88.515185 3.683797
2013.273139 -88.844780 -88.492173 3.683797
2013.292317 -88.695718 -88.470446 3.683797
2013.311496 -88.546377 -88.450100 3.683797
2013.330674 -88.368370 -88.431220 3.683797
2013.349852 -88.135873 -88.413892 3.683797
2013.369030 -87.831713 -88.398187 3.683797
2013.388208 -87.451956 -88.384185 3.683797
2013.407386 -87.008004 -88.371949 3.683797
2013.426564 -86.525871 -88.361537 3.683797
2013.445742 -86.042717 -88.352998 3.683797
2013.464920 -85.601333 -88.346377 3.683797
2013.484098 -85.243625 -88.341708 3.683797
2013.503276 -85.004327 -88.339022 3.683797
2013.522454 -84.906048 -88.338349 3.683797
2013.541633 -84.956445 -88.339686 3.683797
2013.560811 -85.147983 -88.343042 3.683797
2013.579989 -85.459980 -88.348413 3.683797
2013.599167 -85.862459 -88.355794 3.683797
2013.618345 -86.320838 -88.365156 3.683797
2013.637523 -86.800593 -88.376480 3.683797
2013.656701 -87.270934 -88.389724 3.683797
2013.675879 -87.707073 -88.404825 3.683797
2013.695057 -88.090953 -88.421754 3.683797
2013.714235 -88.410515 -88.440440 3.683797
2013.733413 -88.658293 -88.460808 3.683797
2013.752591 -88.829853 -88.482793 3.683797
2013.771770 -88.922686 -88.506296 3.683797
2013.790948 -88.936079 -88.531238 3.683797
2013.810126 -88.871832 -88.557501 3.683797
2013.829304 -88.735823 -88.585006 3.683797
2013.848482 -88.539564 -88.613630 3.683797
2013.867660 -88.301411 -88.643255 3.683797
2013.886838 -88.046650 -88.673774 3.683797
2013.906016 -87.806057 -88.705027 3.683797
2013.925194 -87.613166 -88.736926 3.683797
2013.944372 -87.500143 -88.769300 3.683797
2013.963550 -87.493481 -88.802041 3.683797
2013.982728 -87.609858 -88.834999 3.683797
2014.001907 -87.853367 -88.868033 3.683797
2014.021085 -88.214570 -88.900999 3.683797
2014.040263 -88.671710 -88.933756 3.683797
2014.059441 -89.193896 -88.966158 3.683797
2014.078619 -89.745689 -88.998058 3.683797
2014.097797 -90.292207 -89.029321 3.683797
2014.116975 -90.803692 -89.059800 3.683797
2014.136153 -91.258715 -89.089360 3.683797
2014.155331 -91.645351 -89.117859 3.683797
2014.174509 -91.960231 -89.145162 3.683797
2014.193687 -92.205768 -89.171141 3.683797
2014.212865 -92.386305 -89.195671 3.683797
2014.232043 -92.504204 -89.218631 3.683797
2014.251222 -92.556877 -89.239910 3.683797
2014.270400 -92.535569 -89.259388 3.683797
2014.289578 -92.426360 -89.276966 3.683797
2014.308756 -92.213221 -89.292545 3.683797
2014.327934 -91.882577 -89.306036 3.683797
2014.347112 -91.428395 -89.317350 3.683797
2014.366290 -90.856635 -89.326417 3.683797
2014.385468 -90.187961 -89.333182 3.683797
2014.404646 -89.457903 -89.337572 3.683797
2014.423824 -88.714278 -89.339532 3.683797
2014.443002 -88.012042 -89.339032 3.683797
2014.462180 -87.406358 -89.336031 3.683797
2014.481359 -86.945152 -89.330511 3.683797
2014.500537 -86.662360 -89.322458 3.683797
2014.519715 -86.573114 -89.311867 3.683797
2014.538893 -86.671702 -89.298744 3.683797
2014.558071 -86.932628 -89.283103 3.683797
2014.577249 -87.314526 -89.264966 3.683797
2014.596427 -87.766194 -89.244364 3.683797
2014.615605 -88.233669 -89.221342 3.683797
2014.634783 -88.667112 -89.195956 3.683797
2014.653961 -89.026432 -89.168266 3.683797
2014.673139 -89.284895 -89.138342 3.683797
2014.692317 -89.430366 -89.106248 3.683797
2014.711496 -89.464418 -89.072080 3.683797
2014.730674 -89.399695 -89.035933 3.683797
2014.749852 -89.256447 -88.997906 3.683797
2014.769030 -89.058971 -88.958114 3.683797
2014.788208 -88.832609 -88.916666 3.683797
2014.807386 -88.601751 -88.873686 3.683797
2014.826564 -88.388798 -88.829301 3.683797
2014.845742 -88.213905 -88.783644 3.683797
2014.864920 -88.094989 -88.736857 3.683797
2014.884098 -88.047572 -88.689087 3.683797
2014.903276 -88.084040 -88.640476 3.683797
2014.922454 -88.212280 -88.591183 3.683797
2014.941633 -88.433765 -88.541344 3.683797
2014.960811 -88.741697 -88.491125 3.683797
2014.979989 -89.119621 -88.440689 3.683797
2014.999167 -89.541239 -88.390202 3.683797
2015.018345 -89.971782 -88.339816 3.683797
2015.037523 -90.371074 -88.289680 3.683797
2015.056701 -90.698034 -88.239978 3.683797
2015.075879 -90.915803 -88.190866 3.683797
2015.095057 -90.996818 -88.142497 3.683797
2015.114235 -90.926736 -88.095020 3.683797
2015.133413 -90.706459 -88.048624 3.683797
2015.152591 -90.351582 -88.003420 3.683797
2015.171770 -89.889642 -87.959575 3.683797
2015.190948 -89.355202 -87.917237 3.683797
2015.210126 -88.783961 -87.876544 3.683797
2015.229304 -88.206962 -87.837635 3.683797
2015.248482 -87.646025 -87.800632 3.683797
2015.267660 -87.111425 -87.765665 3.683797
2015.286838 -86.602219 -87.732856 3.683797
2015.306016 -86.109206 -87.702315 3.683797
2015.325194 -85.619928 -87.674149 3.683797
2015.344372 -85.124605 -87.648456 3.683797
2015.363550 -84.621744 -87.625326 3.683797
2015.382728 -84.122157 -87.604845 3.683797
2015.401907 -83.650428 -87.587089 3.683797
2015.421085 -83.243365 -87.572126 3.683797
2015.440263 -82.945584 -87.560015 3.683797
2015.459441 -82.802929 -87.550808 3.683797
2015.478619 -82.854917 -87.544547 3.683797
2015.497797 -83.127546 -87.541266 3.683797
2015.516975 -83.627810 -87.540990 3.683797
2015.536153 -84.340915 -87.543737 3.683797
2015.555331 -85.230681 -87.549509 3.683797
2015.574509 -86.243099 -87.558313 3.683797
2015.593687 -87.312325 -87.570137 3.683797
2015.612865 -88.368168 -87.584964 3.683797
2015.632043 -89.343757 -87.602756 3.683797
2015.651222 -90.182313 -87.623483 3.683797
2015.670400 -90.842000 -87.647101 3.683797
2015.689578 -91.298468 -87.673560 3.683797
2015.708756 -91.545013 -87.702797 3.683797
2015.727934 -91.590764 -87.734746 3.683797
2015.747112 -91.457559 -87.769331 3.683797
2015.766290 -91.176281 -87.806468 3.683797
2015.785468 -90.783327 -87.846067 3.683797
2015.804646 -90.317672 -87.888026 3.683797
2015.823824 -89.818687 -87.932246 3.683797
2015.843002 -89.324562 -87.978625 3.683797
2015.862180 -88.871024 -88.027041 3.683797
2015.881359 -88.490024 -88.077375 3.683797
2015.900537 -88.208077 -88.129501 3.683797
2015.919715 -88.044225 -88.183285 3.683797
