# x_interp smoothed_curve trend rsd2
2010.947810 -87.350434 -85.801594 2.303913
2010.966988 -87.321250 -85.803312 2.303913
2010.986166 -87.247205 -85.804495 2.303913
2011.005344 -87.117701 -85.805109 2.303913
2011.024522 -86.933788 -85.805123 2.303913
2011.043700 -86.707495 -85.804506 2.303913
2011.062878 -86.458775 -85.803223 2.303913
2011.082057 -86.210923 -85.801258 2.303913
2011.101235 -85.985492 -85.798574 2.303913
2011.120413 -85.798028 -85.795152 2.303913
2011.139591 -85.655401 -85.790970 2.303913
2011.158769 -85.555316 -85.786010 2.303913
2011.177947 -85.487928 -85.780256 2.303913
2011.197125 -85.439024 -85.773695 2.303913
2011.216303 -85.393878 -85.766313 2.303913
2011.235481 -85.340799 -85.758106 2.303913
2011.254659 -85.273432 -85.749066 2.303913
2011.273837 -85.191349 -85.739192 2.303913
2011.293015 -85.098829 -85.728488 2.303913
2011.312194 -85.002238 -85.716951 2.303913
2011.331372 -84.906890 -85.704604 2.303913
2011.350550 -84.814194 -85.691447 2.303913
2011.369728 -84.720135 -85.677478 2.303913
2011.388906 -84.615622 -85.662743 2.303913
2011.408084 -84.488618 -85.647250 2.303913
2011.427262 -84.327929 -85.631024 2.303913
2011.446440 -84.127571 -85.614087 2.303913
2011.465618 -83.890731 -85.596477 2.303913
2011.484796 -83.632138 -85.578219 2.303913
2011.503974 -83.378148 -85.559352 2.303913
2011.523152 -83.164110 -85.539913 2.303913
2011.542331 -83.029339 -85.519944 2.303913
2011.561509 -83.010531 -85.499488 2.303913
2011.580687 -83.134839 -85.478589 2.303913
2011.599865 -83.414045 -85.457297 2.303913
2011.619043 -83.841047 -85.435660 2.303913
2011.638221 -84.389512 -85.413729 2.303913
2011.657399 -85.016904 -85.391562 2.303913
2011.676577 -85.670389 -85.369209 2.303913
2011.695755 -86.294621 -85.346724 2.303913
2011.714933 -86.839901 -85.324165 2.303913
2011.734111 -87.269219 -85.301588 2.303913
2011.753289 -87.562855 -85.279047 2.303913
2011.772468 -87.719785 -85.256609 2.303913
2011.791646 -87.755665 -85.234326 2.303913
2011.810824 -87.698047 -85.212252 2.303913
2011.830002 -87.579851 -85.190446 2.303913
2011.849180 -87.432506 -85.168963 2.303913
2011.868358 -87.280225 -85.147864 2.303913
2011.887536 -87.136447 -85.127189 2.303913
2011.906714 -87.003184 -85.106998 2.303913
2011.925892 -86.873052 -85.087344 2.303913
2011.945070 -86.733449 -85.068269 2.303913
2011.964248 -86.571764 -85.049824 2.303913
2011.983426 -86.380267 -85.032046 2.303913
2012.002605 -86.159581 -85.014980 2.303913
2012.021783 -85.919861 -84.998662 2.303913
2012.040961 -85.679452 -84.983128 2.303913
2012.060139 -85.461350 -84.968409 2.303913
2012.079317 -85.288306 -84.954535 2.303913
2012.098495 -85.177699 -84.941529 2.303913
