# x_interp smoothed_curve trend rsd2
2005.112749 -64.776803 -65.630805 2.183428
2005.131927 -65.298974 -65.648640 2.183428
2005.151105 -65.656678 -65.666726 2.183428
2005.170283 -65.786641 -65.685036 2.183428
2005.189462 -65.675036 -65.703535 2.183428
2005.208640 -65.362361 -65.722186 2.183428
2005.227818 -64.936284 -65.740956 2.183428
2005.246996 -64.513746 -65.759811 2.183428
2005.266174 -64.216074 -65.778717 2.183428
2005.285352 -64.142423 -65.797636 2.183428
2005.304530 -64.347431 -65.816525 2.183428
2005.323708 -64.828062 -65.835351 2.183428
2005.342886 -65.522638 -65.854084 2.183428
2005.362064 -66.322484 -65.872678 2.183428
2005.381242 -67.093845 -65.891104 2.183428
2005.400420 -67.705360 -65.909320 2.183428
2005.419599 -68.055319 -65.927290 2.183428
2005.438777 -68.092800 -65.944986 2.183428
2005.457955 -67.828175 -65.962366 2.183428
2005.477133 -67.330825 -65.979397 2.183428
2005.496311 -66.714573 -65.996050 2.183428
2005.515489 -66.114052 -66.012291 2.183428
2005.534667 -65.657168 -66.028089 2.183428
2005.553845 -65.439530 -66.043416 2.183428
2005.573023 -65.506244 -66.058243 2.183428
2005.592201 -65.844755 -66.072545 2.183428
2005.611379 -66.389938 -66.086297 2.183428
2005.630557 -67.039960 -66.099477 2.183428
2005.649736 -67.679094 -66.112062 2.183428
2005.668914 -68.202260 -66.124034 2.183428
2005.688092 -68.535838 -66.135378 2.183428
2005.707270 -68.650306 -66.146078 2.183428
2005.726448 -68.562253 -66.156123 2.183428
2005.745626 -68.325797 -66.165503 2.183428
2005.764804 -68.015897 -66.174209 2.183428
2005.783982 -67.707807 -66.182237 2.183428
2005.803160 -67.457778 -66.189584 2.183428
2005.822338 -67.289602 -66.196249 2.183428
2005.841516 -67.190155 -66.202235 2.183428
2005.860694 -67.114860 -66.207549 2.183428
2005.879873 -67.001528 -66.212197 2.183428
2005.899051 -66.789077 -66.216191 2.183428
2005.918229 -66.436357 -66.219545 2.183428
2005.937407 -65.936314 -66.222277 2.183428
2005.956585 -65.321817 -66.224405 2.183428
2005.975763 -64.661433 -66.225947 2.183428
2005.994941 -64.045908 -66.226933 2.183428
2006.014119 -63.568284 -66.227384 2.183428
2006.033297 -63.302340 -66.227337 2.183428
2006.052475 -63.284385 -66.226822 2.183428
2006.071653 -63.502936 -66.225874 2.183428
2006.090831 -63.898981 -66.224533 2.183428
2006.110010 -64.377147 -66.222832 2.183428
2006.129188 -64.825611 -66.220818 2.183428
2006.148366 -65.140423 -66.218536 2.183428
2006.167544 -65.248889 -66.216034 2.183428
2006.186722 -65.126666 -66.213357 2.183428
2006.205900 -64.804597 -66.210561 2.183428
2006.225078 -64.363434 -66.207692 2.183428
2006.244256 -63.917457 -66.204809 2.183428
2006.263434 -63.590282 -66.201961 2.183428
2006.282612 -63.488185 -66.199211 2.183428
2006.301790 -63.676677 -66.196621 2.183428
2006.320968 -64.165569 -66.194242 2.183428
2006.340146 -64.905934 -66.192140 2.183428
2006.359325 -65.799648 -66.190371 2.183428
2006.378503 -66.719640 -66.189005 2.183428
2006.397681 -67.536380 -66.188096 2.183428
2006.416859 -68.144975 -66.187705 2.183428
2006.436037 -68.486887 -66.187898 2.183428
2006.455215 -68.561593 -66.188736 2.183428
2006.474393 -68.425639 -66.190282 2.183428
2006.493571 -68.179330 -66.192596 2.183428
2006.512749 -67.943976 -66.195744 2.183428
2006.531927 -67.834644 -66.199776 2.183428
2006.551105 -67.934418 -66.204755 2.183428
2006.570283 -68.275601 -66.210732 2.183428
2006.589462 -68.831955 -66.217769 2.183428
2006.608640 -69.523434 -66.225922 2.183428
2006.627818 -70.232271 -66.235237 2.183428
2006.646996 -70.826792 -66.245766 2.183428
2006.666174 -71.187672 -66.257557 2.183428
2006.685352 -71.231042 -66.270658 2.183428
2006.704530 -70.923588 -66.285102 2.183428
2006.723708 -70.286799 -66.300938 2.183428
2006.742886 -69.389826 -66.318203 2.183428
2006.762064 -68.333133 -66.336925 2.183428
2006.781242 -67.226984 -66.357140 2.183428
2006.800420 -66.169818 -66.378874 2.183428
2006.819599 -65.231418 -66.402149 2.183428
2006.838777 -64.444449 -66.426989 2.183428
2006.857955 -63.805772 -66.453410 2.183428
2006.877133 -63.286643 -66.481423 2.183428
2006.896311 -62.848703 -66.511044 2.183428
2006.915489 -62.461285 -66.542274 2.183428
2006.934667 -62.115437 -66.575116 2.183428
2006.953845 -61.830795 -66.609567 2.183428
2006.973023 -61.653351 -66.645620 2.183428
2006.992201 -61.644455 -66.683265 2.183428
2007.011379 -61.863629 -66.722488 2.183428
2007.030557 -62.349464 -66.763270 2.183428
2007.049736 -63.103499 -66.805588 2.183428
2007.068914 -64.081458 -66.849416 2.183428
2007.088092 -65.194645 -66.894723 2.183428
2007.107270 -66.321944 -66.941474 2.183428
2007.126448 -67.330395 -66.989631 2.183428
2007.145626 -68.100177 -67.039149 2.183428
2007.164804 -68.548653 -67.089984 2.183428
2007.183982 -68.648053 -67.142085 2.183428
2007.203160 -68.432647 -67.195395 2.183428
2007.222338 -67.993409 -67.249859 2.183428
2007.241516 -67.460877 -67.305420 2.183428
2007.260694 -66.979524 -67.362011 2.183428
2007.279873 -66.678904 -67.419563 2.183428
2007.299051 -66.647576 -67.478005 2.183428
2007.318229 -66.915368 -67.537265 2.183428
2007.337407 -67.447776 -67.597268 2.183428
2007.356585 -68.153733 -67.657934 2.183428
2007.375763 -68.905135 -67.719182 2.183428
2007.394941 -69.563968 -67.780928 2.183428
2007.414119 -70.011285 -67.843089 2.183428
2007.433297 -70.171894 -67.905575 2.183428
2007.452475 -70.029565 -67.968299 2.183428
2007.471653 -69.629680 -68.031170 2.183428
2007.490831 -69.068922 -68.094096 2.183428
2007.510010 -68.474432 -68.156985 2.183428
2007.529188 -67.977073 -68.219742 2.183428
2007.548366 -67.684595 -68.282274 2.183428
2007.567544 -67.660442 -68.344485 2.183428
2007.586722 -67.912532 -68.406281 2.183428
2007.605900 -68.394112 -68.467566 2.183428
2007.625078 -69.016056 -68.528245 2.183428
2007.644256 -69.667498 -68.588224 2.183428
2007.663434 -70.239977 -68.647410 2.183428
2007.682612 -70.649606 -68.705709 2.183428
2007.701790 -70.852468 -68.763029 2.183428
2007.720968 -70.850097 -68.819281 2.183428
2007.740146 -70.684314 -68.874372 2.183428
2007.759325 -70.423150 -68.928214 2.183428
2007.778503 -70.141617 -68.980721 2.183428
2007.797681 -69.902162 -69.031806 2.183428
2007.816859 -69.739618 -69.081387 2.183428
2007.836037 -69.654203 -69.129386 2.183428
2007.855215 -69.614133 -69.175724 2.183428
2007.874393 -69.567005 -69.220324 2.183428
2007.893571 -69.456931 -69.263114 2.183428
2007.912749 -69.242998 -69.304024 2.183428
2007.931927 -68.914241 -69.342993 2.183428
2007.951105 -68.497105 -69.379945 2.183428
2007.970283 -68.053255 -69.414824 2.183428
2007.989462 -67.667757 -69.447571 2.183428
2008.008640 -67.430188 -69.478133 2.183428
2008.027818 -67.412946 -69.506458 2.183428
2008.046996 -67.651876 -69.532498 2.183428
2008.066174 -68.133997 -69.556210 2.183428
2008.085352 -68.795561 -69.577551 2.183428
2008.104530 -69.531472 -69.596485 2.183428
2008.123708 -70.214406 -69.612977 2.183428
2008.142886 -70.719792 -69.626999 2.183428
2008.162064 -70.951314 -69.638524 2.183428
2008.181242 -70.861359 -69.647529 2.183428
2008.200420 -70.461802 -69.653996 2.183428
2008.219599 -69.822587 -69.657910 2.183428
2008.238777 -69.058177 -69.659260 2.183428
2008.257955 -68.304641 -69.658037 2.183428
2008.277133 -67.692198 -69.654238 2.183428
2008.296311 -67.319093 -69.647861 2.183428
2008.315489 -67.232419 -69.638910 2.183428
