# x_interp smoothed_curve trend rsd2
1995.171560 -76.377379 -79.156728 0.581950
1995.190738 -76.518932 -79.134700 0.581950
1995.209916 -76.689662 -79.112248 0.581950
1995.229094 -76.868474 -79.089361 0.581950
1995.248272 -77.042603 -79.066030 0.581950
1995.267450 -77.209531 -79.042247 0.581950
1995.286628 -77.376430 -79.018004 0.581950
1995.305807 -77.557250 -78.993299 0.581950
1995.324985 -77.768142 -78.968126 0.581950
1995.344163 -78.022269 -78.942487 0.581950
1995.363341 -78.325202 -78.916380 0.581950
1995.382519 -78.671988 -78.889808 0.581950
1995.401697 -79.046608 -78.862775 0.581950
1995.420875 -79.423994 -78.835286 0.581950
1995.440053 -79.774234 -78.807350 0.581950
1995.459231 -80.068080 -78.778976 0.581950
1995.478409 -80.282582 -78.750173 0.581950
1995.497587 -80.405634 -78.720955 0.581950
1995.516765 -80.438439 -78.691336 0.581950
1995.535944 -80.395373 -78.661331 0.581950
1995.555122 -80.301234 -78.630958 0.581950
1995.574300 -80.186484 -78.600235 0.581950
1995.593478 -80.081470 -78.569181 0.581950
1995.612656 -80.010823 -78.537818 0.581950
1995.631834 -79.989189 -78.506167 0.581950
1995.651012 -80.019111 -78.474252 0.581950
1995.670190 -80.091418 -78.442097 0.581950
1995.689368 -80.187901 -78.409727 0.581950
1995.708546 -80.285606 -78.377167 0.581950
1995.727724 -80.361708 -78.344443 0.581950
1995.746902 -80.397873 -78.311582 0.581950
1995.766081 -80.383183 -78.278611 0.581950
1995.785259 -80.315048 -78.245557 0.581950
1995.804437 -80.198068 -78.212447 0.581950
1995.823615 -80.041237 -78.179308 0.581950
1995.842793 -79.854342 -78.146167 0.581950
1995.861971 -79.644508 -78.113051 0.581950
1995.881149 -79.413836 -78.079986 0.581950
1995.900327 -79.158760 -78.046997 0.581950
1995.919505 -78.871335 -78.014110 0.581950
1995.938683 -78.542132 -77.981348 0.581950
1995.957861 -78.164053 -77.948735 0.581950
1995.977039 -77.736064 -77.916294 0.581950
1995.996218 -77.265882 -77.884044 0.581950
1996.015396 -76.770817 -77.852006 0.581950
1996.034574 -76.276422 -77.820199 0.581950
