# x_interp smoothed_curve trend rsd2
2020.066736 -88.892500 -87.666101 1.596223
2020.085914 -88.536263 -87.720253 1.596223
2020.105092 -88.224546 -87.774524 1.596223
2020.124270 -87.978494 -87.828901 1.596223
2020.143448 -87.807124 -87.883370 1.596223
2020.162626 -87.707109 -87.937912 1.596223
2020.181804 -87.664712 -87.992508 1.596223
2020.200983 -87.659292 -88.047139 1.596223
2020.220161 -87.667535 -88.101781 1.596223
2020.239339 -87.667514 -88.156410 1.596223
2020.258517 -87.641807 -88.211003 1.596223
2020.277695 -87.579204 -88.265532 1.596223
2020.296873 -87.474957 -88.319968 1.596223
2020.316051 -87.329805 -88.374280 1.596223
2020.335229 -87.148342 -88.428439 1.596223
2020.354407 -86.937331 -88.482413 1.596223
2020.373585 -86.704556 -88.536170 1.596223
2020.392763 -86.458479 -88.589674 1.596223
2020.411941 -86.208771 -88.642889 1.596223
2020.431120 -85.967379 -88.695790 1.596223
2020.450298 -85.749578 -88.748335 1.596223
2020.469476 -85.574494 -88.800484 1.596223
2020.488654 -85.464531 -88.852214 1.596223
2020.507832 -85.443445 -88.903483 1.596223
2020.527010 -85.533262 -88.954256 1.596223
2020.546188 -85.750427 -89.004501 1.596223
2020.565366 -86.101979 -89.054183 1.596223
2020.584544 -86.582622 -89.103268 1.596223
2020.603722 -87.173466 -89.151727 1.596223
2020.622900 -87.842956 -89.199529 1.596223
2020.642078 -88.550073 -89.246644 1.596223
2020.661257 -89.249444 -89.293040 1.596223
2020.680435 -89.897503 -89.338693 1.596223
2020.699613 -90.458639 -89.383576 1.596223
2020.718791 -90.910166 -89.427669 1.596223
2020.737969 -91.245136 -89.470950 1.596223
2020.757147 -91.472421 -89.513399 1.596223
2020.776325 -91.614007 -89.554997 1.596223
2020.795503 -91.700013 -89.595729 1.596223
2020.814681 -91.762365 -89.635583 1.596223
2020.833859 -91.828411 -89.674548 1.596223
2020.853037 -91.915684 -89.712616 1.596223
2020.872215 -92.028883 -89.749782 1.596223
2020.891394 -92.159596 -89.786042 1.596223
2020.910572 -92.288809 -89.821396 1.596223
2020.929750 -92.391609 -89.855846 1.596223
2020.948928 -92.443096 -89.889396 1.596223
2020.968106 -92.424240 -89.922054 1.596223
2020.987284 -92.326484 -89.953830 1.596223
2021.006462 -92.154136 -89.984735 1.596223
2021.025640 -91.924095 -90.014785 1.596223
2021.044818 -91.662983 -90.043997 1.596223
2021.063996 -91.402300 -90.072389 1.596223
2021.083174 -91.172615 -90.099985 1.596223
2021.102352 -90.997951 -90.126811 1.596223
2021.121531 -90.891468 -90.152891 1.596223
2021.140709 -90.853256 -90.178253 1.596223
2021.159887 -90.870559 -90.202928 1.596223
2021.179065 -90.920294 -90.226949 1.596223
2021.198243 -90.973251 -90.250350 1.596223
2021.217421 -90.999084 -90.273164 1.596223
2021.236599 -90.971106 -90.295429 1.596223
2021.255777 -90.870023 -90.317179 1.596223
2021.274955 -90.686074 -90.338463 1.596223
2021.294133 -90.419339 -90.359312 1.596223
2021.313311 -90.078556 -90.379770 1.596223
2021.332489 -89.678868 -90.399876 1.596223
2021.351668 -89.239253 -90.419674 1.596223
2021.370846 -88.780238 -90.439204 1.596223
2021.390024 -88.322389 -90.458508 1.596223
2021.409202 -87.885685 -90.477629 1.596223
2021.428380 -87.489643 -90.496606 1.596223
2021.447558 -87.153766 -90.515479 1.596223
2021.466736 -86.897782 -90.534289 1.596223
2021.485914 -86.741184 -90.553077 1.596223
2021.505092 -86.701802 -90.571877 1.596223
2021.524270 -86.793452 -90.590726 1.596223
2021.543448 -87.023018 -90.609661 1.596223
2021.562626 -87.387613 -90.628714 1.596223
2021.581804 -87.872605 -90.647919 1.596223
2021.600983 -88.451199 -90.667307 1.596223
2021.620161 -89.086021 -90.686902 1.596223
2021.639339 -89.732811 -90.706732 1.596223
2021.658517 -90.345758 -90.726822 1.596223
2021.677695 -90.883722 -90.747190 1.596223
2021.696873 -91.316242 -90.767858 1.596223
2021.716051 -91.628162 -90.788841 1.596223
2021.735229 -91.821947 -90.810154 1.596223
2021.754407 -91.917090 -90.831809 1.596223
2021.773585 -91.946584 -90.853813 1.596223
2021.792763 -91.951002 -90.876175 1.596223
2021.811941 -91.971186 -90.898894 1.596223
2021.831120 -92.040896 -90.921973 1.596223
2021.850298 -92.180738 -90.945414 1.596223
2021.869476 -92.394518 -90.969209 1.596223
2021.888654 -92.668715 -90.993348 1.596223
2021.907832 -92.975125 -91.017819 1.596223
2021.927010 -93.276172 -91.042614 1.596223
