Year,Scenario,FF_combined_mean,FF_combined_std,Mic_combined_mean,Mic_combined_std,FF_dD_mean,FF_dD_std
1999,A: Baseline (dD from 2006),125.19764249892711,25.04039704714783,391.7271785525583,25.04039704714783,74.46077934383318,39.917700314366016
2000,A: Baseline (dD from 2006),108.76454986323583,25.34717228658326,400.719367203286,25.34717228658326,56.67821604425661,40.5889646703337
2001,A: Baseline (dD from 2006),126.2044966203377,25.014297805781652,393.6348177902383,25.014297805781656,77.28029540255675,39.96245173055586
2002,A: Baseline (dD from 2006),139.04841329434524,24.780514096270824,391.3406782993495,24.780514096270828,96.2092535935607,39.48108345106718
2003,A: Baseline (dD from 2006),113.05398875641053,25.468573978160162,405.86070213074817,25.468573978160162,67.96595036782021,40.57191108418905
2004,A: Baseline (dD from 2006),105.28483970673805,25.47113540822295,407.2208392978767,25.47113540822295,53.015512121029175,41.12396419961199
2005,A: Baseline (dD from 2006),116.21765607613074,26.358309747247787,406.8083098016893,26.358309747247787,59.94336716667896,43.55679415204615
2006,A: Baseline (dD from 2006),145.57098481432064,26.497934997123078,394.5542115244538,26.497934997123078,98.65041892163308,43.48382152773312
2007,A: Baseline (dD from 2006),136.22706614845367,26.595355812816262,404.70592125072824,26.595355812816262,108.58375377626945,42.925334733418026
2008,A: Baseline (dD from 2006),92.75976385218974,32.54954694994993,453.475459880376,32.54954694994993,10.549421423334799,57.354468141728496
2009,A: Baseline (dD from 2006),141.64427853811438,28.966680321277774,404.5234250218279,28.966680321277774,112.66987736756374,48.83996288965761
2010,A: Baseline (dD from 2006),137.648104427507,27.28695425076714,407.91637335027116,27.28695425076714,99.26458455512099,44.40607455540586
2011,A: Baseline (dD from 2006),152.17766644843883,25.774560518454038,397.93847137856733,25.774560518454038,126.48926797952,41.99033885356828
2012,A: Baseline (dD from 2006),118.75895393119461,27.50071696221603,434.8647369119916,27.500716962216032,53.39174367983599,45.33770652389412
2013,A: Baseline (dD from 2006),143.9937853687312,27.949333897064022,423.2663829852737,27.949333897064022,101.44025645834148,46.10495242654121
2014,A: Baseline (dD from 2006),156.93458007698447,26.696255941067665,421.4200701917127,26.69625594106767,109.44085338476238,43.66999317521003
2015,A: Baseline (dD from 2006),141.30736651691637,27.309800111233844,433.8673887831394,27.309800111233844,100.26281716683417,44.4812674255326
2016,A: Baseline (dD from 2006),137.41493931008958,27.84138682135368,434.9133529128821,27.84138682135368,95.50402837170154,45.37153601137835
2017,A: Baseline (dD from 2006),124.18843303957806,28.521306840156605,454.934988224919,28.52130684015661,78.07179114734139,46.31138360093173
2018,A: Baseline (dD from 2006),152.57883375339534,28.242521021663777,434.3526759487712,28.242521021663777,107.29382819954763,46.05195772831424
2019,A: Baseline (dD from 2006),111.95844168667216,30.12346413411322,487.77621670035217,30.12346413411322,47.7002577454215,49.92054474902075
2020,A: Baseline (dD from 2006),139.36115745413477,29.839129839843423,476.7141253884471,29.839129839843427,95.42461205462537,48.05801554737705
2021,A: Baseline (dD from 2006),155.75472356689423,30.54518252580659,467.23329246623837,30.54518252580659,132.21300839359762,49.59895655302728
1999,B: Ben's hemispheric dD,176.04606229379402,27.744457372813102,340.87875875769134,27.744457372813105,,
2000,B: Ben's hemispheric dD,160.96191209426325,27.97926576090686,348.52200497225857,27.97926576090686,,
2001,B: Ben's hemispheric dD,175.23988178101374,27.490663736272467,344.5994326295622,27.490663736272467,,
2002,B: Ben's hemispheric dD,181.9991744306243,27.49363880585634,348.3899171630705,27.493638805856342,,
2003,B: Ben's hemispheric dD,158.2530208662833,28.337057801726367,360.6616700208755,28.337057801726363,,
2004,B: Ben's hemispheric dD,157.66612121768893,27.668001550513164,354.8395577869258,27.668001550513164,,
2005,B: Ben's hemispheric dD,137.936431983182,23.159241731430946,385.089533894638,23.159241731430942,103.26955861618003,37.02870336849172
2006,B: Ben's hemispheric dD,140.81413219393428,24.128368956498164,399.31106414484015,24.128368956498164,89.02535247799435,39.39366017775044
2007,B: Ben's hemispheric dD,130.77793390584938,24.31497623931745,410.1550534933325,24.31497623931745,97.57284450902955,38.61039150374345
2008,B: Ben's hemispheric dD,142.8887107940326,24.071839307430892,403.34651293853307,24.071839307430892,110.69439637714858,38.37256850346688
2009,B: Ben's hemispheric dD,86.02887191968466,27.03896080423219,460.1388316402576,27.038960804232186,1.323903152590894,45.1304495268708
2010,B: Ben's hemispheric dD,143.1094751801152,24.07568145067186,402.455002597663,24.07568145067186,110.07324977429094,38.40041168539237
2011,B: Ben's hemispheric dD,141.76654943217963,24.34618281673266,408.34958839482647,24.346182816732664,105.55117208412861,39.02744291569218
2012,B: Ben's hemispheric dD,156.70056474606696,23.801452560846073,396.9231260971192,23.801452560846073,129.16035188342366,37.87711198879883
