Year,S_tot_mean,S_tot_std,Mic_mean,Mic_std,FF_mean,FF_std,BB_mean,BB_std,f_mic_mean,dD_src_mean,KIE_D_mean,pct_physical
2006,546.95,17.68,417.57,50.30,71.10,67.30,58.28,35.97,0.76,-277.70,1.30,99.28
2007,555.54,17.74,459.21,50.28,31.47,48.47,64.86,33.54,0.83,-284.91,1.30,95.94
2008,557.38,17.80,449.21,50.87,46.66,57.82,61.51,34.14,0.81,-282.52,1.30,97.58
2009,559.04,17.86,460.05,50.71,42.55,55.28,56.43,33.31,0.82,-284.48,1.30,96.28
2010,557.49,17.92,477.27,49.38,26.36,44.08,53.87,32.43,0.86,-288.43,1.30,92.90
2011,558.19,17.96,480.84,49.18,23.76,41.94,53.59,32.55,0.87,-289.08,1.30,92.10
2012,561.18,18.01,483.06,49.47,23.12,41.54,55.00,32.93,0.87,-289.00,1.30,92.32
2013,568.53,18.06,481.22,50.73,28.25,46.21,59.05,33.50,0.85,-287.26,1.30,94.08
2014,580.10,18.15,446.48,52.96,72.65,70.05,60.97,37.53,0.77,-278.39,1.30,99.14
2015,583.23,18.27,421.86,53.09,109.08,78.32,52.28,39.83,0.72,-273.20,1.30,99.82
2016,578.71,18.36,471.11,52.64,46.68,58.82,60.92,34.95,0.82,-283.45,1.30,97.14
2017,579.14,18.42,493.19,51.45,31.25,48.63,54.70,33.36,0.86,-287.88,1.30,93.46
2018,585.32,18.50,485.53,52.83,44.24,57.31,55.56,34.30,0.83,-285.25,1.30,95.68
2019,594.45,18.59,484.55,53.90,49.85,61.11,60.05,35.66,0.82,-283.57,1.30,97.06
2020,607.95,18.71,494.15,54.95,51.52,62.75,62.28,36.53,0.81,-283.30,1.30,97.36
2021,618.65,18.88,524.99,54.64,38.05,54.79,55.61,35.02,0.85,-287.51,1.30,93.92
