model,dD_source,year,FF,FF_std,BB,BB_std,Mic,Mic_std,n_phys
v3.2_bb_fixed,ben,2008,533.52,,28.26,,3.42,,1
v3.2_bb_fixed,ben,2010,534.83,,28.27,,2.27,,1
v3.2_bb_fixed,ben,2012,540.25,,28.45,,0.39,,1
v3.2_bb_fixed,ben,2014,555.81,,29.40,,2.87,,1
v3.2_bb_fixed,ben,2017,534.19,14.83,28.39,0.98,5.23,3.91,3
v3.2_bb_fixed,ben,2018,532.24,55.02,28.26,2.99,4.73,9.73,7
v3.2_bb_fixed,ben,2019,571.93,13.11,30.43,0.42,6.25,5.07,2
v3.2_bb_fixed,ben,2020,563.98,36.34,30.05,1.86,6.95,5.12,10
v3.2_bb_fixed,ben,2021,566.91,52.60,30.26,2.74,8.08,7.76,114
v3.2_bb_fixed,ours,2008,533.52,,28.26,,3.42,,1
v3.2_bb_fixed,ours,2010,534.83,,28.27,,2.27,,1
v3.2_bb_fixed,ours,2012,540.25,,28.45,,0.39,,1
v3.2_bb_fixed,ours,2014,555.81,,29.40,,2.87,,1
v3.2_bb_fixed,ours,2017,534.19,14.83,28.39,0.98,5.23,3.91,3
v3.2_bb_fixed,ours,2018,532.24,55.02,28.26,2.99,4.73,9.73,7
v3.2_bb_fixed,ours,2019,571.93,13.11,30.43,0.42,6.25,5.07,2
v3.2_bb_fixed,ours,2020,563.98,36.34,30.05,1.86,6.95,5.12,10
v3.2_bb_fixed,ours,2021,566.91,52.60,30.26,2.74,8.08,7.76,114
