model,dD,year,FF,FF_std,BB,BB_std,Mic,Mic_std,S_tot,n_phys
v1.0 (3×3),ben,2006,78.76,45.49,77.05,28.01,394.06,49.97,549.87,2366
v1.0 (3×3),ben,2007,53.97,36.69,92.21,24.27,412.48,47.99,558.65,1564
v1.0 (3×3),ben,2008,63.08,40.95,83.97,26.02,412.91,48.83,559.97,1942
v1.0 (3×3),ben,2009,60.08,39.46,80.13,25.01,421.48,48.77,561.68,1813
v1.0 (3×3),ben,2010,49.77,34.31,84.85,23.81,427.57,48.29,562.20,1345
v1.0 (3×3),ben,2011,47.75,33.45,86.39,23.32,428.94,48.34,563.08,1266
v1.0 (3×3),ben,2012,47.46,33.40,88.51,23.43,429.91,48.53,565.88,1250
v1.0 (3×3),ben,2013,51.98,35.58,89.34,24.34,430.81,48.83,572.13,1411
v1.0 (3×3),ben,2014,81.47,47.38,80.38,29.13,420.54,51.34,582.39,2336
v1.0 (3×3),ben,2015,106.00,52.77,71.34,31.71,409.35,53.97,586.68,2665
v1.0 (3×3),ben,2016,64.02,41.70,84.49,26.22,432.60,50.56,581.11,1890
v1.0 (3×3),ben,2017,53.69,37.00,84.25,24.74,444.56,49.79,582.51,1465
v1.0 (3×3),ben,2018,61.95,41.10,80.38,25.98,445.52,51.09,587.85,1806
v1.0 (3×3),ben,2019,66.52,43.06,83.64,26.92,446.44,51.72,596.60,1928
v1.0 (3×3),ben,2020,68.49,44.12,85.88,27.45,455.63,52.19,610.00,1946
v1.0 (3×3),ben,2021,59.58,40.50,84.14,26.30,477.29,51.81,621.01,1594
v1.0 (3×3),ours,2006,62.64,39.70,83.69,25.48,403.05,48.36,549.38,1855
v1.0 (3×3),ours,2007,58.69,38.68,90.54,25.05,408.24,47.38,557.47,1718
v1.0 (3×3),ours,2008,67.30,41.72,82.45,26.29,409.50,48.57,559.25,1963
v1.0 (3×3),ours,2009,60.88,39.60,80.24,25.38,420.22,48.27,561.34,1793
v1.0 (3×3),ours,2010,52.20,35.99,84.11,24.08,423.97,47.97,560.27,1476
v1.0 (3×3),ours,2011,64.61,40.69,79.70,25.76,415.92,49.12,560.24,1883
v1.0 (3×3),ours,2012,75.95,45.21,77.22,27.75,410.01,50.57,563.18,2196
v1.0 (3×3),ours,2013,63.50,40.83,85.07,26.14,422.71,49.67,571.28,1834
v1.0 (3×3),ours,2014,61.35,40.33,88.83,26.02,432.20,49.11,582.39,1736
v1.0 (3×3),ours,2015,68.45,42.67,86.52,26.87,430.25,50.34,585.22,1908
v1.0 (3×3),ours,2016,58.96,39.24,86.88,25.41,435.09,49.53,580.94,1650
v1.0 (3×3),ours,2017,60.18,39.99,82.14,25.83,439.21,49.98,581.53,1717
v1.0 (3×3),ours,2018,61.22,40.51,81.15,26.00,445.20,50.28,587.56,1728
v1.0 (3×3),ours,2019,67.26,42.58,83.63,26.80,445.36,51.35,596.25,1851
