Year,FF_d13C_mean,FF_d13C_std,Mic_d13C_mean,Mic_d13C_std,FF_dD_mean,FF_dD_std,Mic_dD_mean,Mic_dD_std,BB_fixed
1999,155.3833999285803,30.16971877027764,353.4779509142807,30.16971877027764,67.29594708363933,36.45451366625878,441.56540375922174,36.45451366625878,48.51
2000,165.05797899618182,29.874425894084002,350.56330703438766,29.874425894084002,75.90984506967361,36.90314649081907,439.71144096089586,36.903146490819076,32.06
2001,165.88780901410524,29.845889167671395,351.44455798778205,29.845889167671395,75.24730963232045,37.0485701337681,442.08505736956687,37.0485701337681,25.95
2002,170.29258307814024,29.566097381460555,349.7719555143729,29.56609738146056,73.35075845289833,36.96174545131087,446.7137801396148,36.96174545131087,23.44
2003,174.4082183550835,29.421727642859633,349.1947299996893,29.421727642859633,74.38142798754616,37.11531188044298,449.2215203672267,37.115311880442974,23.69
2004,176.99037079831763,29.378613497206583,350.18775394209484,29.37861349720658,78.3719176964816,37.251673289377216,448.8062070439309,37.25167328937722,30.43
2005,171.00047709875386,29.803642974761754,357.3044268027561,29.803642974761754,80.20262702141495,37.15065912231401,448.102276880095,37.15065912231402,27.91
2006,170.29637200523868,30.065426304308232,361.6506384653527,30.065426304308232,71.1457833395341,34.54226474744964,460.8012271310573,34.54226474744964,28.36
2007,174.46709988873232,30.31341590628954,364.91831549292453,30.313415906289542,83.18500894897971,35.12437718299619,456.2004064326772,35.1243771829962,28.35
2008,176.4789747115036,30.49389470483269,368.0281430501449,30.49389470483269,91.19068206201078,35.83149214124918,453.31643569963774,35.83149214124918,32.8
2009,173.56631665937638,30.825834095711674,373.0509893999185,30.825834095711674,96.2629225727043,35.82848259702295,450.35438348659056,35.828482597022955,26.9
2010,178.04511458963728,30.645553070025034,371.2603321584584,30.645553070025034,85.61616534361565,35.692838520685804,463.68928140448,35.6928385206858,24.84
2011,183.46655774311972,30.59912994337144,371.4458779292639,30.59912994337144,100.92418882922985,39.58755365957057,453.98824684315366,39.58755365957057,27.8
2012,189.81221431599278,30.496684954950837,371.32161069814174,30.496684954950837,100.09103368927084,39.58505940497094,461.0427913248637,39.58505940497094,27.6
2013,190.9753447441035,30.732689446098846,375.9365357744865,30.732689446098846,100.16054849803412,39.86326640636004,466.75133202055594,39.86326640636004,25.79
2014,190.17555070621287,30.957589983939798,380.64876069157026,30.957589983939798,94.25053806115777,40.43866135776591,476.5737733366254,40.43866135776591,27.98
2015,183.9459311550244,31.582718531763888,390.3883263270209,31.582718531763888,97.91453706388627,41.06686772852448,476.41972041815905,41.066867728524464,25.56
2016,186.2663977217201,31.72159052110744,392.0121280299575,31.721590521107444,99.31943747451294,40.98650873923728,478.9590882771647,40.98650873923728,30.45
2017,181.36313212240404,32.32349123748607,401.513395252939,32.32349123748607,88.23381567585783,40.72205712929039,494.6427116994852,40.72205712929039,35.55
2018,181.13699700415987,32.85008970154295,409.78563587968836,32.85008970154295,87.30289285433938,41.36113559035674,503.6197400295088,41.36113559035674,25.74
2019,180.18673374466545,33.57028667881586,420.311843901215,33.57028667881586,94.2539045536372,41.77708580171528,506.24467309224326,41.77708580171528,26.37
2020,186.38888228169938,33.60982234501744,421.1029844595269,33.60982234501744,98.81955706188583,42.1846948755962,508.67230967934046,42.1846948755962,26.23
2021,180.38645896922796,34.311780436211684,432.8881934516849,34.311780436211684,94.80021976427854,42.66699900658143,518.4744326566343,42.66699900658143,33.23
