Year,FF_G_d13C_mean,FF_G_d13C_std,Mic_G_d13C_mean,Mic_G_d13C_std,FF_G_dD_mean,FF_G_dD_std,Mic_G_dD_mean,Mic_G_dD_std,FF_NH_d13C_mean,Mic_NH_d13C_mean,FF_SH_d13C_mean,Mic_SH_d13C_mean,BB_fixed
1999,158.0018498204718,28.84093356080398,352.8452530141492,28.84093356080398,81.91747623918995,19.624524743094277,428.929626595431,19.624524743094277,135.36142172135192,253.7450297669554,22.64042809911989,99.10022324719377,48.51
2000,167.57831609933174,28.65428863993057,350.0339946847317,28.654288639930574,87.73339137805932,21.33510361924303,429.8789194060041,21.33510361924303,142.23240872047137,251.07842681669857,25.34590737886038,98.95556786803319,32.06
2001,168.41831784446066,28.62081452163123,350.9110539480493,28.62081452163123,86.44886119695971,21.744413785203708,432.8805105955502,21.744413785203708,143.9338826515316,251.00150288461685,24.484435192929052,99.90955106343249,25.95
2002,172.82412098990093,28.30743486586271,349.2485838016448,28.30743486586271,88.11384991405593,23.378356125998483,433.95885487748984,23.378356125998486,148.56476360220884,249.27114076449305,24.2593573876921,99.9774430371518,23.44
2003,176.91230402389743,28.211255460446772,348.70940946347406,28.211255460446772,87.41994232972807,24.75118557336155,438.2017711576434,24.75118557336155,151.60148836419785,249.3928479330113,25.310815659699614,99.31656153046279,23.69
2004,179.46966864822198,28.18268427746336,349.7383092729923,28.18268427746336,90.31614343777119,26.215264307893086,438.8918344834432,26.21526430789309,153.44652281077748,250.66416443232205,26.023145837444535,99.0741448406703,30.43
2005,173.66353919697505,28.334257573758524,356.6831248035551,28.334257573758528,92.71194079399964,27.10817170011856,437.6347232065305,27.108171700118557,151.18776435255376,254.79867335932286,22.475774844421284,101.8844514442322,27.91
2006,173.0769708774056,28.424396438813545,360.9239054588175,28.424396438813545,90.44087859760393,28.10785933138689,443.5599977386192,28.10785933138689,151.66320759327874,257.41673219949473,21.413763284126865,103.50717325932274,28.36
2007,177.24911411028393,28.727095016375387,364.20337924117166,28.727095016375387,94.16827344078803,29.028842793376203,447.2842199106676,29.028842793376203,155.28116816819954,258.9284394207951,21.967945942084366,105.27493982037666,28.35
2008,179.24876716577742,28.857869517090325,367.33998103464745,28.857869517090325,101.47768663994793,30.691617669104964,445.11106156047686,30.69161766910496,157.85568875292284,260.3347091972688,21.393078412854603,107.00527183737854,32.8
2009,176.37924116374145,29.11200392734677,372.3348321949542,29.11200392734677,106.9919990080933,31.494155280023964,441.7220743506023,31.494155280023964,156.8258101586742,263.82065722383334,19.55343100506725,108.51417497112087,26.9
2010,180.7490817426553,29.135236773024314,370.66810088856136,29.135236773024314,96.8295862881862,31.055866416955826,454.58759634303044,31.05586641695583,159.79067003028982,263.6009760726155,20.958411712365493,107.06712481594589,24.84
2011,186.07229587592727,29.234434602058204,370.96684772859777,29.234434602058204,104.35925275647658,33.00370497555298,452.6798908480484,33.00370497555298,163.7373558454058,263.921529481292,22.33494003052143,107.04531824730573,27.8
2012,192.30006797419668,29.300553711414985,370.97591269693265,29.300553711414985,105.65540109769994,33.49206935049256,457.62057957342955,33.49206935049256,167.58668928905672,264.57073006641576,24.713378685139997,106.40518263051699,27.6
2013,193.45617378401454,29.538722413017368,375.6143637523996,29.538722413017364,105.50658956594256,33.91252829918806,463.5639479704716,33.91252829918806,168.3251750240672,268.1237746192727,25.130998759947353,107.49058913312686,25.79
2014,192.69915420810892,29.70520874017426,380.30111148525236,29.70520874017426,98.14581428443809,34.00869135610831,474.85445140892324,34.00869135610831,168.30330328944348,271.49342145684676,24.39585091866544,108.80769002840563,27.98
2015,187.03271145157754,29.66946055590737,389.49509417550723,29.66946055590737,101.11220426191119,34.79619968807612,475.4156013651736,34.79619968807612,165.44223579257599,277.4511356621245,21.590475659001584,112.0439585133827,25.56
2016,189.34659803932828,29.84193462492794,391.14352399523347,29.84193462492794,101.41447002576099,35.16577798630303,479.0756520088008,35.16577798630303,167.09841006570326,279.1935392181198,22.248187973625022,111.94998477711368,30.45
2017,184.49652331582772,30.28486992936154,400.60973250219536,30.28486992936154,90.71506272734369,34.42933698571771,494.39119309067934,34.42933698571771,164.28045429713762,285.7534217233084,20.216069018690067,114.85631077888696,35.55
2018,184.31339225179173,30.817489913479502,408.8572806540064,30.817489913479502,89.47610678488395,34.86803659877908,503.6945661209142,34.86803659877908,163.5870733757333,291.8918652282359,20.726318876058382,116.96541542577047,25.74
2019,183.47357960972366,31.372470233569132,419.29261910449907,31.372470233569132,93.40244575439996,35.38504924234394,509.36375295982276,35.38504924234394,163.43747170918715,298.24367850985215,20.036107900536503,121.04894059464691,26.37
2020,189.1434603142572,31.97924862998054,420.62563531347314,31.97924862998054,96.45805472709003,35.903572600536286,513.3110409006403,35.903572600536286,166.27920481137093,299.69426616950733,22.864255502886245,120.93136914396577,26.23
2021,183.18095147492883,32.54358912697557,432.38115455914925,32.54358912697557,92.23904275235888,35.80527163813785,523.3230632817192,35.80527163813785,161.32850807495666,308.22605949917363,21.852443399972163,124.15509505997552,33.23
