Year,BB_mean,BB_std,FF_mean,FF_std,Mic_mean,Mic_std,Lifetime,TotalSource
1999,94.92941174453792,35.0427018413172,26.541688188815897,58.11138106189325,422.8969175761739,31.53674998029587,9.187,545.8768210514854
2000,92.3232069089521,34.75904704058991,35.83566873701698,57.42980864821789,419.9524103846004,31.156456711687895,9.17,538.4359170665218
2001,92.04587583122924,35.11938510147454,33.66498678228045,58.021750855770755,422.35150438837763,31.361388869757565,9.153,548.791314410576
2002,93.28880515380364,35.67939767679373,27.819385378980005,58.80840151420993,426.07034805972955,31.617851035221037,9.136,559.3410915936947
2003,95.00513216836715,36.08805689466785,26.570885497353533,59.443310185205256,428.3109306890522,31.808277560400683,9.119,547.8666908871587
2004,94.81273206060831,36.10801055562328,31.380719408391425,59.3050270579629,427.7506732714128,31.688731300371522,9.102,541.4576790046148
2005,90.66316473764992,35.89112918864481,36.33514098797421,59.21540625776236,429.05459817588587,31.712578293535998,9.085,551.97796587782
2006,100.01373253718397,36.904384174215345,19.177991322116206,60.799403343539225,442.32528661129123,32.5928772071506,9.068,569.0771963387745
2007,93.68889674702953,36.57514507498827,35.59852040432553,60.31155766115397,438.9619982303018,32.28225467194807,9.051,569.8849873991819
2008,88.59194115777092,36.145460506006,47.40111453733644,59.911427280589535,436.76406206654116,32.24676203114957,9.034,575.1872237325657
2009,83.37797061585358,36.280865854767335,55.20472574307668,60.45810241354282,436.1726097003646,32.3520094259124,9.017,575.1197035599423
2010,94.15746517878699,37.57522101425968,36.33557312727982,62.29895569942777,446.80040844202887,33.15412035297493,9.0,574.5164777777782
2011,84.17719531712666,37.231957382497065,60.73509636662447,62.33386458297867,436.5861439886324,33.14617490609517,8.983,579.0681378270061
2012,89.5671863787603,37.4850727770702,56.33110901414555,62.2213799086064,442.0375296212287,33.036865275238874,8.966,582.5756908431862
2013,91.28630860109531,38.39235380532663,55.047543557705104,63.21744614695078,447.5240283597896,33.23167060679607,8.949,596.2121683540049
2014,95.04782899760349,38.71247374274932,47.61656929323383,63.54911540500657,455.6359131069458,33.56506726629707,8.932,607.3066502686971
2015,89.89711057906403,38.809771808535544,56.15068897551056,63.896977946841766,457.3524579274707,33.74127080523926,8.915,604.1267553000557
2016,90.3713235314941,38.719368732422595,57.68325864819396,63.38482004263451,459.2799435719895,33.48926235360298,8.898,601.2802922229716
2017,94.88159842107454,39.90959925392005,42.929669160737625,65.13310870249998,473.7992597935309,34.37288449069647,8.881,608.075421264497
2018,95.24118469064068,40.31499534859258,42.08168496093873,65.96614468722792,482.46776323226885,34.94400114269418,8.864,615.8835097021665
2019,90.72767850382078,40.83547384749691,52.342690769706294,66.63822779467687,486.85220837235335,35.143916834472485,8.847,628.6866583870243
2020,90.43443900243288,41.125828782070805,56.22472505914946,66.94756018368729,488.725202679644,35.24486788183228,8.83,645.0272828425818
2021,90.52621667929157,42.2453083346706,52.01397501413774,68.87146043098599,499.34446072748364,36.12928881271199,8.813,651.9400160331326
