Year,dD_glob_eq,dD_glob_eq_std,dD_glob_area,dD_glob_area_std,dD_NH,dD_NH_std,dD_SH,dD_SH_std
2005.0000,-76.7541,0.3511,-76.9664,0.3722,-82.7074,0.5696,-70.8048,0.3651
2006.0000,-76.0202,0.2631,-76.2545,0.2729,-81.3890,0.4052,-70.6388,0.3262
2007.0000,-76.3818,0.3032,-76.4793,0.3162,-81.5013,0.4506,-71.2741,0.4239
2008.0000,-76.5333,0.2750,-76.4650,0.2937,-81.7740,0.4652,-71.2912,0.3099
2009.0000,-76.2548,0.3615,-76.3227,0.3708,-81.7983,0.5537,-70.7221,0.4700
2010.0000,-76.9781,0.5061,-76.9213,0.5045,-82.8421,0.7935,-71.1144,0.7005
2011.0000,-76.9650,0.3840,-77.0452,0.4141,-83.1855,0.4913,-70.7435,0.5205
2012.0000,-76.8765,0.3116,-76.6528,0.3655,-82.8865,0.3669,-70.8566,0.3766
2013.0000,-76.1019,0.2706,-76.1928,0.2725,-82.3594,0.4187,-69.8394,0.3158
2014.0000,-77.1456,0.2276,-77.1527,0.2394,-83.2338,0.3577,-71.0653,0.2885
2015.0000,-77.4678,0.3246,-77.4327,0.3274,-84.0676,0.3634,-70.8649,0.5348
2016.0000,-77.9040,0.3388,-77.8644,0.3436,-84.5564,0.3101,-71.2500,0.6006
2017.0000,-78.2146,0.2831,-78.1723,0.2841,-84.6016,0.3233,-71.8176,0.4731
2018.0000,-78.4548,0.3080,-78.4687,0.3222,-84.6664,0.3239,-72.2413,0.5132
2019.0000,-79.0419,0.2627,-79.0628,0.2704,-85.3018,0.3106,-72.7722,0.4117
2020.0000,-79.2538,0.3027,-79.3097,0.3259,-86.0582,0.3130,-72.4504,0.5287
2021.0000,-80.9615,0.3197,-80.9637,0.3270,-88.0471,0.2932,-73.8731,0.5638
2022.0000,-82.0574,0.3000,-82.0451,0.3137,-88.5336,0.2969,-75.5764,0.4992
2023.0000,-82.7604,0.3204,-82.8587,0.3699,-89.1749,0.3167,-76.3463,0.4822
