model,dD,FF,BB,Mic,Tot,Phys_pct
v1.0 (3×3),ben,67.02,82.71,436.24,585.98,59.56
v1.0 (3×3),ours,63.37,83.96,435.27,582.59,59.40
v2.0 (2-hemi),ben,63.49,84.55,437.33,585.38,58.46
v2.0 (2-hemi),ours,62.87,84.06,434.87,581.81,59.33
v3.1 (3×3 opt),ben,68.61,82.59,435.80,587.00,59.29
v3.1 (3×3 opt),ours,62.54,83.83,435.32,581.69,60.43
v3.2 (BB fix),ben,189.01,29.29,367.44,585.73,100.00
v3.2 (BB fix),ours,189.01,29.29,367.44,585.73,100.00
v3.3 (dD≥2010),ben,68.43,83.60,437.30,589.32,60.17
v3.3 (dD≥2010),ours,63.00,84.91,436.95,584.85,59.97
v4.0 (Mic/NM),ben,71.90,79.16,433.22,584.28,45.66
v4.0 (Mic/NM),ours,65.07,81.67,434.50,581.24,45.40
