Year,NonPhysical_Rate,Mean_ConditionNumber
1999,0.284,175771.5387022314
2000,0.392,175953.75185158156
2001,0.255,175794.37571290619
2002,0.156,177197.3226150006
2003,0.301,176842.52250993924
2004,0.431,176964.8540944558
2005,0.403,175766.04367082895
2006,0.18,178239.24643750957
2007,0.108,171641.1731280642
2008,0.78,180764.63683028362
2009,0.153,180746.99333349784
2010,0.184,179917.76662225573
2011,0.059,173025.18892771058
2012,0.48,173503.77546401785
2013,0.172,178364.7259292369
2014,0.171,184471.90858034045
2015,0.192,181333.36996345432
2016,0.23,185105.26417465208
2017,0.287,179881.94481504144
2018,0.173,182073.07136036147
2019,0.573,184301.58448169625
2020,0.223,181386.16889057888
2021,0.128,176712.80942365061
