year,dD_gradient_median,dD_gradient_p5,dD_gradient_p95
1999,-38.625545271340116,-74.66537172242094,-17.774875880150397
2000,-28.448209242660653,-65.14261944915248,-9.927075930065918
2001,-28.94478702316269,-63.489809582010004,-11.604388296138001
2002,-28.497860322253786,-60.48209400739646,-8.760973859911523
2003,-18.332719938782617,-46.01345548883111,-0.08897613403842823
2004,-21.610128818505274,-51.25066092369612,-1.4172144585585524
2005,-31.04123069986568,-56.968739421943276,-8.824760055595696
2006,-32.05321263173691,-56.79560265066372,-8.4354585189452
2007,-5.221654986333789,-34.43563923568315,20.34268440298083
2008,-8.367694096905467,-27.34327715458004,7.94271354653508
2009,-19.117201287013444,-48.97894400382536,3.9675697219544017
2010,-26.46670521413671,-56.62615177785976,-2.969541568263109
2011,-35.910943712744995,-70.96685858705148,-12.10789916462217
2012,-32.843676543690876,-64.80252833513039,-7.861958319714282
2013,-28.12375071631044,-59.91726652284896,-4.909799053087678
2014,-40.203656252767345,-73.17296355029916,-16.175920279268873
2015,-31.514872310005046,-60.931251387322895,-10.15093889539405
2016,-32.60187186161306,-62.722752183089746,-9.646330003628224
2017,-18.913751817706355,-47.80609211018461,5.841840932920074
2018,-34.91055404160272,-76.71814413170095,-8.909376304079453
2019,-25.408471645273664,-62.421960084307756,1.747737521665071
2020,-22.83234119254223,-57.943608239775756,5.391742425659156
2021,-8.16107075395368,-41.31649299099451,17.83450528609943
