year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2005,4,-47.1995,0.0666,4,-81.4700,0.1273,2,2005.2917
2005,5,-47.2242,0.0936,15,-82.2370,0.7792,2,2005.3750
2005,6,-47.2697,0.0125,6,-80.5393,3.5110,3,2005.4583
2005,7,-47.2735,0.0417,2,-76.7460,,1,2005.5417
2005,8,-47.4266,0.0928,14,-81.6987,1.7396,7,2005.6250
2006,1,-47.4168,0.0482,12,-83.5763,2.8664,4,2006.0417
2006,2,-47.3216,0.0846,12,-84.1715,0.7631,4,2006.1250
2006,3,-47.3102,0.1019,12,-84.1686,2.3787,5,2006.2083
2006,4,-47.2191,0.1996,8,-78.5775,3.9786,4,2006.2917
2006,5,-47.0596,0.3137,9,-80.7379,1.9592,8,2006.3750
2006,6,-47.2161,0.1854,9,-80.4479,2.8054,8,2006.4583
2006,7,-47.2080,0.0750,2,-80.9320,1.6221,4,2006.5417
2006,8,-47.2005,0.0191,2,-81.2620,1.7110,7,2006.6250
2006,9,-47.6442,0.1329,16,-84.2747,0.8280,6,2006.7083
2006,10,-47.5355,0.0810,14,-82.3990,1.7139,8,2006.7917
2006,11,-47.5418,0.1100,13,-78.6993,4.1457,3,2006.8750
2006,12,-47.4759,0.0515,8,-82.5375,1.0108,4,2006.9583
2007,1,-47.4585,0.0563,14,-82.2010,,1,2007.0417
2007,2,-47.4281,0.2486,12,-82.5630,,1,2007.1250
2007,3,-47.5068,0.0409,6,-82.0810,,1,2007.2083
2007,4,-47.2817,0.0968,6,-77.6710,,1,2007.2917
2007,5,-47.1548,0.0624,6,-82.5665,1.2014,2,2007.3750
2007,6,-47.1890,0.0605,9,-78.6355,3.6098,2,2007.4583
2007,7,-47.2169,0.1142,14,-81.2265,1.6060,4,2007.5417
2007,8,-47.5292,0.1907,13,-82.8670,,1,2007.6250
2007,9,-47.8035,0.0993,6,-83.6690,,1,2007.7083
2007,10,-47.7620,0.1501,10,-83.7415,4.2490,2,2007.7917
2007,11,-47.6401,0.0728,16,-85.3397,2.2084,3,2007.8750
2007,12,-47.5179,0.0680,14,-86.3550,,1,2007.9583
2008,1,-47.4584,0.0785,14,-86.7453,1.9329,7,2008.0417
2008,2,-47.3595,0.0665,6,-86.0422,1.7888,6,2008.1250
2008,3,-47.3695,0.0771,2,-84.5280,1.1370,3,2008.2083
2008,4,-47.0105,0.0361,2,-83.2488,1.3194,8,2008.2917
2008,6,-47.1608,0.0707,5,-80.6688,2.7046,4,2008.4583
2008,7,-47.2218,0.1057,11,-79.7618,0.9986,9,2008.5417
2008,8,-47.2037,0.1860,10,-81.3843,1.1083,6,2008.6250
2008,9,-47.7070,0.1015,8,-85.5618,1.1165,6,2008.7083
2008,10,-47.6521,0.0939,13,-85.4759,1.4084,7,2008.7917
2008,11,-47.5177,0.3051,8,-87.7663,1.1724,6,2008.8750
2008,12,-47.5279,0.0688,12,-85.6540,1.0709,9,2008.9583
2009,1,-47.4138,0.1019,10,-88.1795,1.2037,4,2009.0417
2009,2,-47.3583,0.0573,10,-84.0478,1.4551,6,2009.1250
2009,3,-47.3820,0.0772,10,-84.3405,2.1053,6,2009.2083
2009,4,-47.2955,0.0928,12,-80.9755,1.2990,2,2009.2917
2009,5,-47.2268,0.1532,17,-80.1287,3.4326,3,2009.3750
2009,6,-47.2047,0.0592,14,-76.4973,4.1443,3,2009.4583
2009,7,-47.2518,0.0603,16,-74.3945,2.8687,2,2009.5417
2009,8,-47.4097,0.0966,14,-79.3573,1.7357,3,2009.6250
2009,9,-47.6486,0.1098,15,-85.8310,1.0126,2,2009.7083
2009,10,-47.7496,0.0920,20,-84.5520,2.2670,2,2009.7917
2009,11,-47.4881,0.1661,14,-76.0030,,1,2009.8750
2009,12,-47.5332,0.0710,11,-83.9760,,1,2009.9583
