year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2005,4,-47.0310,0.0552,2,-70.6320,,1,2005.2917
2005,5,-47.0554,0.0849,8,-71.2180,1.0140,4,2005.3750
2005,6,-47.1445,0.0587,2,-69.8505,1.8378,2,2005.4583
2005,7,-46.9916,0.1214,16,-69.6863,0.7266,3,2005.5417
2005,8,-47.0887,0.0690,13,-74.5160,,1,2005.6250
2005,9,-47.0441,0.0847,7,-70.1115,1.9478,6,2005.7083
2006,2,-46.9756,0.0642,12,-69.3210,,1,2006.1250
2006,3,-47.3268,0.8782,20,-69.2163,1.7066,3,2006.2083
2006,4,-46.9741,0.0912,14,-69.2182,1.5486,4,2006.2917
2006,5,-46.9448,0.1216,10,-68.5658,1.6037,5,2006.3750
2006,6,-46.9683,0.1612,12,-69.3706,1.5440,5,2006.4583
2006,7,-47.0627,0.0883,6,-69.9411,2.0750,7,2006.5417
2006,8,-46.9158,0.1276,8,-70.4250,0.7655,6,2006.6250
2006,9,-47.0120,0.0595,6,-71.6052,1.2306,5,2006.7083
2006,10,-46.9793,0.1341,12,-70.6660,1.4234,6,2006.7917
2006,11,-46.9525,0.0754,14,-68.7140,2.4124,8,2006.8750
2006,12,-46.9900,0.1112,8,-66.9940,,1,2006.9583
2007,1,-46.9638,0.0534,12,-68.2318,1.6900,4,2007.0417
2007,2,-47.0307,0.0949,8,-67.8038,2.1188,5,2007.1250
2007,3,-47.0021,0.0487,14,-66.6130,,1,2007.2083
2007,4,-47.0024,0.0789,16,-71.6605,1.8972,2,2007.2917
2007,5,-46.9832,0.0723,6,-69.6700,0.2503,2,2007.3750
2007,8,-46.9849,0.0846,10,-73.8550,7.3610,2,2007.6250
2007,9,-46.9995,0.0643,2,-71.1100,,1,2007.7083
2007,10,-47.0188,0.1184,6,-70.3293,1.1739,4,2007.7917
2007,11,-46.8865,0.0636,11,-70.5280,3.2233,3,2007.8750
2008,1,-46.9962,0.0665,6,-68.6960,2.8193,4,2008.0417
2008,2,-46.9620,0.0414,6,-67.7783,1.9307,3,2008.1250
2008,3,-46.8157,0.0742,6,-68.9070,1.3667,6,2008.2083
2008,4,-46.9770,0.0438,2,-71.0888,1.0269,5,2008.2917
2008,6,-46.9025,0.0502,2,-71.4623,2.1616,9,2008.4583
2008,7,-46.9045,0.0276,2,-72.5474,2.5582,5,2008.5417
2008,8,-46.8798,0.0605,6,-71.9924,1.2821,5,2008.6250
2008,9,-47.0050,0.1230,4,-71.3346,3.9875,7,2008.7083
2008,10,-46.9692,0.0998,6,-69.9420,3.8728,4,2008.7917
2008,11,-47.0449,0.1659,10,-71.0677,3.6066,6,2008.8750
2008,12,-46.9023,0.1042,12,-69.5012,0.6098,4,2008.9583
2009,1,-46.9900,0.2215,12,-67.6620,1.4807,2,2009.0417
2009,2,-46.8970,0.1417,8,-68.0877,1.2044,6,2009.1250
2009,3,-46.9593,0.0951,6,-67.2440,3.2770,5,2009.2083
2009,4,-46.9934,0.1048,8,-67.9785,2.8659,2,2009.2917
2009,7,-47.1402,0.0881,6,-64.6900,,1,2009.5417
2009,9,-47.0659,0.0471,9,-70.3050,,1,2009.7083
2009,10,-47.0319,0.0474,12,-70.2385,3.2110,2,2009.7917
2009,11,-47.0253,0.1015,12,-70.0513,1.3645,3,2009.8750
2010,3,-46.8955,0.1261,8,-68.6590,,1,2010.2083
