year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2005,2,-47.3420,0.0057,2,-80.1960,,1,2005.1250
2005,3,-47.2523,0.1043,6,-84.2580,,1,2005.2083
2005,4,-47.1246,0.0804,8,-81.3800,0.9263,2,2005.2917
2005,8,-47.2330,0.0535,4,-79.6015,2.4671,2,2005.6250
2005,9,-47.3025,0.0035,2,-80.4117,4.5233,3,2005.7083
2005,11,-47.3510,0.0099,2,-82.9930,0.4554,2,2005.8750
2006,5,-47.1330,0.0156,2,-79.1220,3.2526,3,2006.3750
2006,6,-47.1420,0.0569,4,-77.7880,1.8507,3,2006.4583
2006,7,-46.9965,0.0573,2,-77.0075,0.5537,2,2006.5417
2006,8,-47.1440,0.0792,2,-79.0193,2.5693,3,2006.6250
2006,9,-47.3590,0.0269,2,-81.6780,0.3437,2,2006.7083
2006,10,-47.4318,0.2364,4,-82.1303,2.6813,3,2006.7917
2006,11,-47.3747,0.2212,4,-82.7680,0.7580,2,2006.8750
2006,12,-47.3535,0.0530,6,-84.1180,3.3192,2,2006.9583
2007,1,-47.3796,0.0875,8,-78.6905,6.3487,4,2007.0417
2007,2,-47.2135,0.0205,2,-80.1660,4.2098,3,2007.1250
2007,3,-47.1402,0.2003,5,-78.5825,2.0287,2,2007.2083
2007,6,-47.0975,0.0757,2,-77.0240,1.5132,2,2007.4583
2007,8,-47.3867,0.1089,4,-81.6990,,1,2007.6250
2007,9,-47.4585,0.0516,2,-82.0980,,1,2007.7083
2007,11,-47.3630,0.0424,2,-82.2350,1.4269,2,2007.8750
2008,4,-47.0450,0.0721,2,-80.2090,2.6579,4,2008.2917
2008,6,-47.1172,0.0528,4,-79.2993,2.1498,3,2008.4583
2008,7,-47.1492,0.0731,4,-77.9667,2.0944,3,2008.5417
2008,8,-47.6220,0.0085,2,-79.4720,5.7339,3,2008.6250
2009,1,-47.3538,0.0219,4,-76.4410,0.5968,2,2009.0417
2009,3,-47.2926,0.1195,8,-80.4970,,1,2009.2083
2009,10,-47.4375,0.0444,6,-77.3350,,1,2009.7917
