year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2005,3,-47.3214,0.1008,14,-84.1380,,1,2005.2083
2005,4,-47.2203,0.0982,12,-84.8857,2.2204,3,2005.2917
2005,5,-47.3113,0.0448,12,-88.6193,6.2394,3,2005.3750
2005,6,-47.2752,0.0615,4,-81.2783,1.3334,6,2005.4583
2005,7,-47.3282,0.0792,10,-87.4870,9.3084,2,2005.5417
2005,8,-47.7220,0.2579,11,-85.8595,0.5805,2,2005.6250
2005,9,-47.9807,0.1861,7,-88.4333,1.8307,3,2005.7083
2005,10,-47.7420,0.0042,2,-92.8425,3.7243,2,2005.7917
2006,2,-47.6525,0.0692,4,-85.5960,0.9421,4,2006.1250
2006,3,-47.3937,0.1045,16,-84.6620,,1,2006.2083
2006,4,-47.3287,0.1184,8,-82.6840,,1,2006.2917
2006,5,-47.2526,0.0846,10,-81.8120,,1,2006.3750
2006,6,-47.1510,0.0545,5,-82.8255,1.0034,2,2006.4583
2006,7,-47.3596,0.0678,8,-81.4383,1.0775,3,2006.5417
2006,8,-47.5067,0.1377,11,-82.8388,3.5349,4,2006.6250
2006,9,-47.6440,0.0071,2,-87.9765,6.8342,2,2006.7083
2006,10,-47.6257,0.0801,10,-84.2190,0.9932,3,2006.7917
2006,11,-47.5415,0.0932,10,-85.4165,1.6638,2,2006.8750
2006,12,-47.5502,0.0995,6,-83.6650,1.2088,3,2006.9583
2007,3,-47.3616,0.0743,14,-79.6110,,1,2007.2083
2008,1,-47.3987,0.0437,4,-83.0140,,1,2008.0417
2008,2,-47.3690,0.1667,8,-88.1275,1.6990,4,2008.1250
2008,3,-47.4140,0.0834,2,-86.0755,1.9735,2,2008.2083
2008,4,-47.2465,0.1179,4,-85.9190,,1,2008.2917
2008,5,-47.0373,0.0801,8,-82.1638,2.9072,5,2008.3750
2008,6,-47.0625,0.0815,4,-82.8880,4.7263,2,2008.4583
2008,7,-47.4316,0.0621,5,-82.1560,1.3131,3,2008.5417
2008,8,-47.2567,0.0701,4,-83.2077,3.6950,3,2008.6250
2008,9,-47.3150,0.0820,2,-83.7800,,1,2008.7083
2008,10,-47.9200,0.2622,10,-86.7825,0.7803,4,2008.7917
2008,11,-47.7559,0.1953,8,-85.7435,0.3882,2,2008.8750
2008,12,-47.6291,0.1510,10,-87.3870,2.8670,3,2008.9583
2009,1,-47.4847,0.1225,12,-85.9005,2.5562,2,2009.0417
2009,2,-47.3764,0.0545,5,-85.2530,2.7216,3,2009.1250
2009,3,-47.3913,0.0701,14,-86.2960,1.0866,4,2009.2083
2009,4,-47.3917,0.0729,11,-87.1230,1.2813,2,2009.2917
2009,5,-47.2761,0.1000,14,-78.4200,,1,2009.3750
2009,6,-47.2766,0.0931,13,-83.8545,0.3543,2,2009.4583
2009,8,-47.8075,0.2848,15,-83.6530,,1,2009.6250
2009,10,-48.2699,0.5145,8,-87.4310,,1,2009.7917
2010,3,-47.4568,0.1036,10,-85.7590,,1,2010.2083
