year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2008,10,-47.7060,0.0676,4,-83.2215,5.8725,2,2008.7917
2008,11,-47.6240,0.1018,2,-86.5170,,1,2008.8750
2008,12,-47.5382,0.0617,4,-86.8643,0.1914,3,2008.9583
2009,1,-47.5465,0.0822,4,-85.7507,2.1691,4,2009.0417
2009,2,-47.3105,0.0571,4,-81.8203,4.4799,3,2009.1250
2009,3,-47.3892,0.0660,6,-84.5826,2.5619,5,2009.2083
2009,4,-47.3760,0.0759,6,-82.5110,,1,2009.2917
2009,5,-47.5251,0.2300,10,-82.5415,0.6215,2,2009.3750
2009,6,-47.2996,0.1439,10,-77.0180,2.1779,2,2009.4583
2009,7,-47.3481,0.1560,8,-73.5415,3.3609,2,2009.5417
2009,8,-47.5579,0.1584,12,-80.3825,2.8320,2,2009.6250
2009,10,-47.7160,0.0827,8,-86.1070,,1,2009.7917
2009,11,-47.6129,0.0768,11,-85.8275,0.7559,2,2009.8750
2010,3,-47.4356,0.2223,8,-79.3600,,1,2010.2083
