year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2005,5,-47.0570,0.0314,6,-75.0870,,1,2005.3750
2005,6,-47.0644,0.1241,5,-80.2307,5.4792,3,2005.4583
2005,7,-47.1321,0.0560,8,-74.2515,1.2340,4,2005.5417
2005,9,-47.2210,0.0489,6,-75.0695,1.4361,2,2005.7083
2006,2,-47.2290,0.0750,2,-76.8823,1.1095,3,2006.1250
2006,3,-47.1569,0.0648,8,-75.7180,1.1748,3,2006.2083
2006,4,-47.1687,0.0640,3,-78.2750,0.7580,2,2006.2917
2006,5,-47.1240,0.0677,8,-77.8618,1.9309,4,2006.3750
2006,6,-47.1495,0.0219,2,-72.7500,3.8792,2,2006.4583
2006,7,-46.9098,0.0681,4,-72.1593,1.1927,3,2006.5417
2006,8,-47.0167,0.1995,3,-74.9577,2.9650,3,2006.6250
2006,9,-47.2675,0.1475,6,-75.2860,,1,2006.7083
2006,10,-47.1728,0.0488,6,-77.5908,2.6816,5,2006.7917
2006,11,-47.1954,0.1110,8,-77.1150,1.9350,3,2006.8750
2006,12,-47.1785,0.1933,6,-78.0020,1.7661,3,2006.9583
2007,1,-47.2167,0.0900,6,-76.8220,,1,2007.0417
2007,2,-47.1633,0.0700,6,-79.4700,1.6517,3,2007.1250
2007,3,-47.0892,0.0608,4,-74.4210,,1,2007.2083
2007,4,-47.1217,0.0130,4,-78.0867,2.8403,3,2007.2917
2007,5,-47.0550,0.0620,4,-76.4060,1.4312,2,2007.3750
2007,10,-47.3665,0.0375,2,-77.8420,0.1980,2,2007.7917
2007,12,-47.1527,0.0353,4,-81.5160,,1,2007.9583
2008,1,-47.2152,0.1235,8,-78.2780,,1,2008.0417
2008,2,-47.1195,0.0314,4,-74.3273,3.6224,3,2008.1250
2008,3,-47.0485,0.0331,6,-72.1950,4.0192,2,2008.2083
2008,7,-46.9050,0.0509,2,-75.2597,1.4747,3,2008.5417
2008,8,-46.9490,0.0481,2,-74.8015,3.2308,2,2008.6250
2008,10,-47.2229,0.1044,8,-79.1603,2.8906,3,2008.7917
2008,11,-47.2170,0.0580,2,-78.0160,0.7410,2,2008.8750
2008,12,-47.2233,0.1059,4,-75.9780,4.2342,2,2008.9583
2009,1,-47.1560,0.0198,2,-77.5813,0.7585,3,2009.0417
2009,3,-47.1250,0.0184,2,-78.4315,0.1846,2,2009.2083
2009,7,-47.0157,0.0275,4,-71.5780,1.5797,2,2009.5417
2009,8,-47.1460,0.1117,6,-75.7990,,1,2009.6250
2009,11,-47.2965,0.0585,10,-82.7070,0.5713,2,2009.8750
2010,1,-47.2664,0.0685,8,-78.3275,2.5901,2,2010.0417
