year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2005,3,-47.3305,0.0714,2,-87.6520,7.4161,2,2005.2083
2005,5,-47.3545,0.0945,8,-79.4945,0.5904,2,2005.3750
2005,9,-47.4300,0.0806,2,-85.0000,,1,2005.7083
2006,1,-47.4866,0.1696,5,-82.5450,,1,2006.0417
2006,3,-47.2302,0.0470,4,-82.3520,3.9997,3,2006.2083
2006,4,-47.0630,0.2799,4,-81.0913,2.3193,4,2006.2917
2006,5,-47.3160,0.0410,2,-80.1690,0.7382,2,2006.3750
2006,6,-47.2223,0.1553,4,-78.0930,,1,2006.4583
2006,7,-47.2425,0.0734,6,-80.1325,2.1630,2,2006.5417
2006,8,-47.3110,0.0636,2,-81.7467,3.0956,3,2006.6250
2006,9,-47.4250,0.0523,2,-80.9255,0.0007,2,2006.7083
2006,10,-47.6301,0.4121,7,-83.5035,1.3192,4,2006.7917
2006,11,-47.3483,0.0525,6,-82.9480,,1,2006.8750
2006,12,-47.5456,0.1164,5,-81.3195,1.0925,2,2006.9583
2007,1,-47.3770,0.0698,9,-81.2845,1.4828,2,2007.0417
2007,2,-47.1700,0.0481,2,-80.6550,,1,2007.1250
2007,3,-47.3129,0.2987,8,-81.6420,,1,2007.2083
2008,3,-47.1820,0.0818,6,-83.6816,1.6063,5,2008.2083
2008,4,-47.3174,0.1786,8,-85.2392,2.0502,4,2008.2917
2008,6,-47.0540,0.0580,2,-80.5630,1.0960,2,2008.4583
2008,7,-47.0300,0.1018,2,-80.2630,,1,2008.5417
2008,8,-47.2985,0.0706,4,-83.1520,4.1182,2,2008.6250
2008,9,-47.2325,0.0714,2,-84.3963,1.9909,3,2008.7083
2008,10,-47.4385,0.0078,2,-83.7700,0.1301,2,2008.7917
2008,11,-47.5737,0.4217,8,-81.7330,0.6166,2,2008.8750
2008,12,-47.4540,0.0614,4,-84.2692,2.0205,4,2008.9583
2009,1,-47.3483,0.0419,4,-81.9950,3.2583,2,2009.0417
2009,2,-47.3522,0.0534,6,-76.1030,3.1933,2,2009.1250
2009,6,-47.2384,0.1268,8,-78.8880,,1,2009.4583
2009,7,-47.2677,0.1290,4,-70.5410,,1,2009.5417
2009,8,-47.3470,0.0385,4,-80.4880,,1,2009.6250
