year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2005,4,-46.6223,0.8866,12,-84.8650,,1,2005.2917
2005,5,-47.0847,0.0355,4,-76.1516,4.1084,5,2005.3750
2005,6,-47.0829,0.1237,16,-74.6110,1.3209,2,2005.4583
2005,7,-47.1480,0.0166,4,-73.8083,0.5595,3,2005.5417
2005,8,-47.1500,0.0759,12,-74.7405,2.7061,2,2005.6250
2005,9,-47.2112,0.0566,12,-74.6305,3.3397,2,2005.7083
2005,10,-47.2283,0.0672,4,-76.4625,0.8931,2,2005.7917
2006,3,-47.0915,0.0897,17,-75.9510,0.5544,2,2006.2083
2006,4,-47.1400,0.0892,16,-75.0037,3.0403,3,2006.2917
2006,5,-47.0376,0.1303,16,-75.3370,2.6196,5,2006.3750
2006,6,-46.8688,0.2327,12,-70.9835,2.5494,4,2006.4583
2006,7,-47.0512,0.0508,4,-71.7833,2.9919,7,2006.5417
2006,8,-47.1738,0.1289,10,-70.4808,1.6232,10,2006.6250
2006,9,-47.1082,0.1078,12,-73.9982,2.6398,4,2006.7083
2006,10,-47.2031,0.1256,8,-76.6621,3.3894,7,2006.7917
2006,11,-47.1590,0.0783,10,-74.0684,0.9480,8,2006.8750
2006,12,-47.1652,0.0471,6,-75.0783,1.7050,6,2006.9583
2007,2,-47.1984,0.1175,8,-71.3710,,1,2007.1250
2007,3,-47.1498,0.0884,9,-72.2047,2.1412,3,2007.2083
2007,4,-47.0251,0.0702,14,-71.6617,8.4528,3,2007.2917
2007,7,-46.9599,0.1276,8,-72.6610,,1,2007.5417
2007,8,-47.0476,0.0859,9,-73.3910,,1,2007.6250
2007,11,-47.2341,0.0754,10,-74.7130,,1,2007.8750
2007,12,-47.2170,0.0996,12,-77.6670,,1,2007.9583
2008,2,-47.1090,0.0910,4,-72.1380,,1,2008.1250
2008,3,-47.0157,0.1571,4,-75.1642,3.9132,4,2008.2083
2008,4,-46.9790,0.0042,2,-73.2969,2.6851,7,2008.2917
2008,5,-46.9844,0.0569,8,-76.9755,3.6851,6,2008.3750
2008,6,-46.8030,0.0368,2,-78.4387,3.0690,4,2008.4583
2008,7,-46.8230,0.0028,2,-76.2434,2.6697,7,2008.5417
2008,8,-46.9890,,1,-73.1200,3.8093,5,2008.6250
2008,9,-46.9790,0.0580,2,-77.0480,2.9958,4,2008.7083
2008,10,-47.3175,0.0882,6,-78.6391,3.9369,8,2008.7917
2008,11,-47.1152,0.0340,6,-76.7812,2.3689,5,2008.8750
2008,12,-47.2153,0.0827,6,-76.8544,1.4432,5,2008.9583
2009,1,-46.8465,0.1002,4,-78.0924,1.1232,8,2009.0417
2009,2,-47.0596,0.1897,5,-75.6577,1.7283,6,2009.1250
2009,3,-47.1570,0.0705,12,-78.5780,4.2541,4,2009.2083
2009,4,-47.0675,0.1304,14,-74.0977,2.1071,6,2009.2917
2009,5,-47.0839,0.0651,14,-72.3200,,1,2009.3750
2009,6,-47.0546,0.0776,12,-71.3300,,1,2009.4583
2009,7,-47.0728,0.0865,16,-64.4400,,1,2009.5417
2009,8,-47.0904,0.0524,14,-69.7000,4.6683,3,2009.6250
2009,9,-47.1696,0.0619,20,-72.3930,,1,2009.7083
2009,10,-47.2689,0.0602,14,-74.6330,3.0589,2,2009.7917
2009,11,-47.2403,0.0405,10,-67.7130,,1,2009.8750
