year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2005,2,-46.8792,0.0491,4,-64.6713,1.6147,6,2005.1250
2006,1,-46.8365,0.0106,2,-61.6467,0.8201,3,2006.0417
2006,2,-46.7750,0.0610,6,-64.5665,1.8107,4,2006.1250
2006,3,-46.8807,0.0640,12,-65.2980,2.3936,3,2006.2083
2006,4,-46.8894,0.0978,10,-63.9581,3.6076,8,2006.2917
2006,5,-46.9573,0.1735,7,-68.3000,4.7348,4,2006.3750
2006,6,-46.9137,0.0560,10,-65.7940,2.5286,2,2006.4583
2006,7,-46.9215,0.1113,12,-69.1190,2.4507,4,2006.5417
2006,8,-47.0288,0.0862,12,-69.1317,0.6107,4,2006.6250
2006,9,-47.0062,0.0745,12,-71.3968,1.4926,6,2006.7083
2006,10,-47.0014,0.0787,14,-68.9348,2.2521,4,2006.7917
2006,11,-46.9238,0.0775,10,-60.9990,2.5880,2,2006.8750
2007,3,-46.8861,0.0921,10,-67.8217,2.8896,3,2007.2083
2007,4,-46.9037,0.0253,7,-67.0860,,1,2007.2917
2007,5,-46.9541,0.0395,8,-69.6430,,1,2007.3750
2007,7,-47.0797,0.0843,4,-69.2610,,1,2007.5417
2007,9,-47.0011,0.0849,8,-69.4250,4.1521,2,2007.7083
2007,10,-46.9381,0.0493,10,-73.0155,1.6850,2,2007.7917
2007,11,-46.9690,0.0585,10,-68.5920,,1,2007.8750
2007,12,-46.8947,0.0622,11,-68.0533,2.9054,3,2007.9583
2008,1,-46.8671,0.0988,12,-66.5080,1.7468,3,2008.0417
2008,4,-47.1485,0.0785,2,-69.1820,,1,2008.2917
2008,5,-47.0493,0.2158,8,-66.8130,,1,2008.3750
2008,6,-46.9730,0.1578,10,-68.9903,0.2163,3,2008.4583
2008,9,-46.9267,0.3694,4,-72.6035,3.3249,4,2008.7083
2008,10,-46.8145,0.0682,4,-69.3345,0.1718,2,2008.7917
2008,11,-47.0865,0.1162,6,-69.8715,0.4071,4,2008.8750
2009,1,-47.0652,0.1884,4,-67.1208,1.1714,6,2009.0417
2009,4,-46.9456,0.0808,14,-60.7650,2.4345,3,2009.2917
2009,5,-46.9530,0.0607,14,-73.0260,,1,2009.3750
2009,7,-47.0517,0.0443,12,-65.8197,2.1727,3,2009.5417
2009,8,-47.0568,0.0454,11,-67.6460,,1,2009.6250
2009,9,-47.0488,0.0493,12,-63.7340,,1,2009.7083
