year,month,d13C_mean,d13C_std,d13C_n,dD_mean,dD_std,dD_n,decimal_year
2008,5,-46.5200,0.0240,2,-81.5830,0.7623,2,2008.3750
2008,6,-47.2365,0.0488,2,-81.7427,2.2934,3,2008.4583
2008,8,-47.3440,0.0328,3,-79.9503,3.2377,3,2008.6250
2008,9,-47.5415,0.0821,4,-83.2385,1.1646,2,2008.7083
2008,10,-46.9080,0.0651,2,-86.7920,,1,2008.7917
2008,11,-47.7035,0.1641,6,-84.6417,2.7571,3,2008.8750
2008,12,-47.2055,0.1474,4,-83.8465,0.7828,2,2008.9583
2009,1,-47.5445,0.0745,8,-81.2115,5.1852,2,2009.0417
2009,2,-47.4182,0.0442,6,-77.0850,,1,2009.1250
2009,4,-47.3367,0.0885,6,-76.8510,,1,2009.2917
2009,5,-47.3128,0.0566,8,-74.6407,2.9089,3,2009.3750
2009,6,-47.1905,0.0153,4,-75.4133,2.9848,3,2009.4583
2009,7,-47.1173,0.2542,6,-75.2340,0.3620,2,2009.5417
2009,8,-47.4173,0.0644,6,-78.2740,7.9281,2,2009.6250
2009,9,-47.5840,0.1004,9,-77.7545,5.5147,2,2009.7083
2009,10,-47.8233,0.0526,8,-82.0150,,1,2009.7917
