year,FF_c13_mean,FF_c13_std,FF_dD_mean,FF_dD_std,Mic_c13_mean,Mic_dD_mean
1999,155.54084009185735,26.897834478590205,62.94586643542974,31.069057596206665,353.3205107510037,445.91548440743134
2000,165.2023292423585,26.57081741527378,71.62590193210352,31.315423816728824,350.418956788211,443.99538409846593
2001,166.02383291005856,26.537282037214105,70.95294687728382,31.486262936559726,351.30853409182873,446.3794201246034
2002,170.4127191231012,26.227094374380222,75.26668564566359,31.604463424685818,349.6518194694119,444.7978529468497
2003,174.52407791532738,26.06956934239118,76.63017594057135,31.7191531716752,349.07887043944544,446.9727724142014
2004,177.10783672380475,26.036507867893786,81.21090345869293,31.84427466835862,350.0702880166078,445.9672212817196
2005,171.1217105919026,26.496195218330325,84.5345344283065,31.878591034690434,357.18319330960736,443.77036947320346
2006,170.42583549475341,26.791869098629117,82.80166858468958,32.207639347702234,361.52117497583794,449.14534188590176
2007,174.59356360128422,27.032261248273837,87.50217864857046,32.21110720301262,364.79185178037267,451.8832367330864
2008,176.60318204518484,27.22169802919227,96.50609995439316,32.51867948376237,367.9039357164637,448.0010178072553
2009,173.68933129652294,27.538762518899762,102.78371911110115,32.13722743985181,372.9279747627719,443.83358694819367
2010,178.16704355576326,27.336784685120286,91.78390751425805,32.39244170674874,371.1384031923325,457.5215392338377
2011,183.582924725215,27.259583585829144,100.82304248632194,33.161355038254214,371.32951094716844,454.08939318606156
2012,189.92960713943,27.14674687447547,102.45463861210743,33.25766026259184,371.2042178747045,458.6791864020271
2013,191.09318147582934,27.370787004546838,102.44436679942943,33.58812936681187,375.8186990427607,464.4675137191606
2014,190.29509181209139,27.613754443562836,94.62659203140655,34.35873155081026,380.52921958569175,476.19771936637653
2015,184.07239746823873,28.267775786316633,98.06025190113057,34.7579581239346,390.2618600138066,476.2740055809147
2016,186.39279331618224,28.382395718916953,98.43273112990614,35.06324437089745,391.88573243549536,479.84579462177146
2017,181.48846032878214,29.012417414729253,86.72895825855409,35.08199416122365,401.3880670465608,496.14756911678893
2018,181.26273199498408,29.556063158349126,85.2877021952987,35.7881387532588,409.6599008888642,505.63493068854956
2019,180.31579425493354,30.30457271845253,89.23988864029171,36.35069188872018,420.1827833909469,511.2586890055887
2020,186.51192891584458,30.32902327657967,92.43650964171533,36.66758042692663,420.97993782538174,515.0553570995111
2021,180.51195282709625,31.077350246817574,87.69705670758115,37.10420985551105,432.76269959381665,525.5775957133317
