year,FF_c13_mean,FF_c13_std,FF_dD_mean,FF_dD_std,Mic_c13_mean,Mic_dD_mean
1999,155.38339992858022,30.16971877027776,64.06937794687349,36.175288874835516,353.4779509142808,444.79197289598756
2000,165.0579789961817,29.874425894084116,72.6092823706079,36.68375358240697,350.5633070343877,443.0120036599616
2001,165.88780901410513,29.845889167671494,71.95041429728673,36.82569549582621,351.44455798778216,445.38195270460056
2002,170.29258307814015,29.56609738146066,76.17025094473226,37.27537200848638,349.77195551437296,443.89428764778097
2003,174.40821835508342,29.421727642859736,77.5096105096566,37.326298187205374,349.1947299996894,446.0933378451162
2004,176.99037079831754,29.378613497206686,82.0284862450655,37.614590787177384,350.18775394209496,445.149638495347
2005,171.0004770987538,29.803642974761853,85.34842008784332,37.673846367131546,357.30442680275615,442.95648381366664
2006,170.2963720052386,30.065426304308346,83.73003528680525,37.77910155186638,361.6506384653528,448.21697518378613
2007,174.46709988873218,30.313415906289663,88.4075335120229,37.69860265193338,364.91831549292465,450.977881869634
2008,176.47897471150355,30.493894704832822,97.28942726556654,38.48372930784509,368.028143050145,447.21769049608196
2009,173.56631665937627,30.8258340957118,103.54459273143424,38.313863928809795,373.0509893999186,443.07271332786064
2010,178.0451145896372,30.645553070025173,92.6998448250629,38.20124194641967,371.26033215845854,456.60560192303285
2011,183.46655774311967,30.599129943371587,101.5426403475173,39.32566270575913,371.4458779292639,453.3697953248663
2012,189.81221431599266,30.49668495495097,103.17147196996966,39.61047515091541,371.32161069814185,457.96235304416484
2013,190.9753447441034,30.732689446098973,103.16709283853473,39.89387686197809,375.93653577448663,463.7447876800553
2014,190.17555070621276,30.957589983939922,95.4093291366612,40.4101825920371,380.6487606915704,475.4149822611219
2015,183.94593115502434,31.582718531764012,98.80773344675069,40.95646727745003,390.388326327021,475.5265240352946
2016,186.26639772171998,31.721590521107576,99.19829788277814,41.286031236201865,392.0121280299576,479.08022786889944
2017,181.36313212240393,32.32349123748618,87.72733602597025,40.80308179186894,401.51339525293906,495.14919134937287
2018,181.13699700415978,32.850089701543055,86.31450728591501,41.389210143219636,409.78563587968847,504.60812559793317
2019,180.18673374466533,33.57028667881598,90.25857185574816,41.959489500522785,420.31184390121507,510.24000579013233
2020,186.38888228169927,33.609822345017555,93.42397810111244,42.33140242054925,421.1029844595271,514.0678886401139
2021,180.38645896922782,34.31178043621178,88.76869820440965,42.475825124463924,432.888193451685,524.5059542165033
