year,FF_c13_mean,FF_c13_std,FF_dD_mean,FF_dD_std,Mic_c13_mean,Mic_dD_mean
1999,155.25042375635704,27.6031034095066,62.90760318800607,31.242085324781865,353.61092708650403,445.95374765485496
2000,164.911956203917,27.274104517385997,71.5825333104017,31.497839049318568,350.70932982665255,444.03875272016774
2001,165.7336893453268,27.246739786017976,70.90998391283819,31.667282215690435,351.5986776565605,446.42238308904916
2002,170.1227434447398,26.945924379953855,75.22129718447779,31.78286870498129,349.9417951477734,444.8432414080354
2003,174.2341747200913,26.790807487024153,76.58733509226515,31.90581619883151,349.36877363468153,447.0156132625076
2004,176.81824532612157,26.733415534965044,81.16890257288591,32.03682393232457,350.35987941429096,446.0092221675266
2005,170.83192632771468,27.19513756788786,84.49262569514585,32.052470354118846,357.4729775737952,443.8122782063641
2006,170.1355043426738,27.474875909267947,82.76536363725812,32.369924543332296,361.81150612791754,449.18164683333316
2007,174.30233217783842,27.730617088098803,87.46414668051962,32.38387318408728,365.0830832038185,451.92126870113725
2008,176.3111857433946,27.91046390383971,96.45939367819737,32.70231912603792,368.1959320182539,448.0477240834512
2009,173.3961897673479,28.228374037372127,102.73149971605677,32.32509318334255,373.22111629194694,443.88580634323813
2010,177.87313710815252,28.030847525237423,91.74257231641683,32.57884445902235,371.4323096399432,457.5628744316789
2011,183.28832066023713,27.96097848830691,100.77035078601993,33.36654992019196,371.62411501214643,454.1420848863636
2012,189.634554135793,27.837290211791274,102.39891035851342,33.46228445604597,371.4992708783415,458.7349146556211
2013,190.79758040326007,28.05794123647173,102.38909961931726,33.78545786836934,376.11430011532997,464.5227808992728
2014,189.9987158980977,28.305500148926296,94.57670669694048,34.55131962642131,380.8255954996854,476.24760470084266
2015,183.77467503539876,28.940412299452937,98.00295406061313,34.95046084084967,390.5595824466465,476.33130342143215
2016,186.0933175960151,29.065325901827727,98.37794070635591,35.25972286612211,392.18520815566245,479.90058504532175
2017,181.18724057193822,29.6921027743746,86.68449569067694,35.276270333715686,401.6892868034048,496.1920316846661
2018,180.95961571960845,30.229530288060115,85.2480973553113,35.96483984412234,409.9630171642398,505.6745355285369
2019,180.01072171180763,30.969501456670873,89.1968286150955,36.53216433455983,420.4878559340728,511.30174903078495
2020,186.2060294034868,31.001254221210647,92.39290099160641,36.86026059438874,421.28583733773945,515.0989657496199
2021,180.20549168822694,31.72801651591989,87.65810078551682,37.281090764358716,433.06916073268593,525.6165516353959
