year,FF_c13_mean,FF_c13_std,FF_dD_mean,FF_dD_std,Mic_c13_mean,Mic_dD_mean
1999,137.412581264848,28.537701552404336,64.06228364308676,36.04676939724475,371.44876957801307,444.7990671997743
2000,147.08354862401478,28.231240473232155,72.64579203476565,36.494953864760944,368.53773740655464,442.9754939958038
2001,147.92405804312259,28.202908220436225,71.98510185872891,36.65359045893475,369.4083089587648,445.34726514315844
2002,152.33159906854283,27.90926508585233,76.25207532863081,36.95940709490826,367.73293952397034,443.81246326388236
2003,156.45525052894055,27.74812103902359,77.63876699157075,37.11656860456951,367.14769782583227,445.96418136320204
2004,159.06180174726026,27.718024341186357,82.17732221714107,37.30161553404193,368.11632299315227,445.00080252327143
2005,153.0644703038751,28.15932172617711,85.48786030985262,37.350077291063336,375.2404335976349,442.8170435916573
2006,152.33010519990418,28.44682451039798,83.89529048747318,37.37095060194366,379.6169052706872,448.05171998311823
2007,156.44137602001163,28.68280498561746,88.58202173463285,37.35579239319339,382.94403936164525,450.80339364702405
2008,158.4008597247023,28.87810325136254,97.43762365794245,37.89295552263265,386.1062580369463,447.069494103706
2009,155.41118360500167,29.188618097243356,103.71080755949679,37.610214180761155,391.20612245429317,442.90649849979815
2010,159.83474235549974,29.005899021550743,92.87964302417537,37.53930338182194,389.47070439259596,456.4258037239203
2011,165.2073343738003,28.931206413169214,101.71743894554861,38.66366084713023,389.7051012985832,453.1949967268349
2012,171.5216169242438,28.843053300386917,103.33403787679237,38.970806109712136,389.61220808989066,457.79978713734215
2013,172.64539903863275,29.05825459724655,103.32858570388025,39.28587492547277,394.26648147995724,463.5832948147098
2014,171.79937212866756,29.30284737092529,95.53990736050028,40.053397209728544,399.0249392691156,475.2844040372828
2015,165.49461318359934,29.95645484651103,98.8974915971475,40.606274876404555,408.8396442984459,475.4367658848978
2016,167.70916358846333,30.077595260651016,99.27255546266387,41.00242828792424,410.56936216321424,479.0059702890137
2017,162.69907650732335,30.70084038563164,87.7630823638633,40.585749741689796,420.17745086801966,495.1134450114797
2018,162.3594640733936,31.250193714747095,86.35749571986531,41.27774340125302,428.56316881045467,504.56513716398297
2019,161.29040306638157,32.00068763208009,90.31567412863167,41.8489951668006,439.2081745794988,510.1829035172488
2020,167.43705570504233,32.01853892315933,93.49931611579231,42.24645922267973,440.054811036184,513.992550625434
2021,161.3994135015491,32.76710613760726,88.85115782867882,42.40841762145397,451.87523891936377,524.4234945922341
