year,FF_c13_mean,FF_c13_std,FF_dD_mean,FF_dD_std,Mic_c13_mean,Mic_dD_mean
1999,173.72863882805777,26.309327037423255,64.41240971292267,36.6176176698778,335.1327120148033,444.4489411299384
2000,183.38647141315084,25.979870155395012,72.95474668071061,37.08663049245254,332.2348146174187,442.6665393498589
2001,184.1925005408366,25.95493220989875,72.27721222439949,37.244518400964786,333.1398664610507,445.0551547774878
2002,188.56807718843484,25.657346761363552,76.51939737791646,37.54466723917539,331.4964614040783,443.5451412145967
2003,192.6693264407546,25.50592803558761,77.8375118675658,37.723290510326635,330.93362191401826,445.76543648720696
2004,195.22902340265588,25.45518741669475,82.3930032608002,37.94550017883569,331.9491013377566,444.7851214796123
2005,189.25198586274828,25.918741904884996,85.69395174013046,38.00259052047197,339.05291803876173,442.6109521613795
2006,188.59035637306857,26.19872069243173,84.13506711192866,38.03161865292385,343.35665409752283,447.8119433586627
2007,192.81674306417273,26.451058867433467,88.79539410352811,38.04818190911841,346.5686723174842,450.5900212781288
2008,194.87815846927697,26.628898657515734,97.67543676120934,38.69400263851385,349.6289592923715,446.83168100043923
2009,192.04161109043721,26.94117569645501,103.91020791064858,38.4342915880908,354.57569496885765,442.70709814864625
2010,196.57462811078335,26.743465871092326,93.1139193613233,38.31567466221954,352.7308186373123,456.19152738677246
2011,202.03721559618594,26.673022014483813,101.91379114300601,39.44629649954368,352.87522007619765,452.9986445293776
2012,208.41584374820823,26.552724018494207,103.53996252817721,39.74888369675832,352.71798126592626,457.59386248595723
2013,209.61915935539932,26.774790953756874,103.54715594193387,40.02478795593479,357.2927211631907,463.36472457665616
2014,208.86810660566195,27.02433390160774,95.77842860968593,40.678597475825015,361.9562047921212,475.0458827880972
2015,202.7240802625356,27.655144836757934,99.15756963753523,41.19433063642959,371.61017721950975,475.17668784451007
2016,205.15117418312383,27.775606526075943,99.5362793673357,41.533727051724526,373.1273515685537,478.7422463843419
2017,200.3539781936722,28.394699406082765,88.09214749053189,41.01823607614689,382.52254918167085,494.78437988481113
2018,200.2428468909121,28.924546555691975,86.68025106279734,41.61115610674894,390.67978599293616,504.2423818210509
2019,199.41717900037975,29.65710445590228,90.64052381979648,42.2200401455077,401.0813986455007,509.858053826084
2020,205.66654003672699,29.686949628002395,93.80046418140913,42.65260326393513,401.82532670449933,513.6914025598171
2021,199.70309450459087,30.411080063144333,89.17876597002486,42.85001558070321,413.571557916322,524.095886450888
