Site,StartYear,EndYear,N_years,Slope_per_year,P_value,R2
ALT,2000,2022,23,0.005421937,0.13239817,0.104514456
AMY,2013,2022,10,0.027054545,0.194132868,0.200706446
ASC,2000,2022,23,0.003709486,0.114801186,0.114182185
AZR,2000,2022,23,0.002587945,0.593891058,0.013768535
BAL,2008,2011,4,-0.1286,0.249425149,0.563362606
BHD,2009,2022,14,-0.000523077,0.924851035,0.000772641
BRW,1998,2022,25,0.001985385,0.572774985,0.014032818
CBA,2008,2022,15,0.0092,0.162658282,0.144220284
CGO,1998,2022,25,0.001860769,0.504949878,0.01955699
EIC,2015,2019,5,0.0349,0.118724716,0.610311066
GMI,2016,2022,7,0.01775,0.484251068,0.102347611
KUM,1999,2022,24,0.005852609,0.020213279,0.221717477
LLB,2008,2013,6,-0.193542857,0.102258202,0.527220101
MEX,2009,2022,14,0.005925275,0.264862422,0.102334178
MHD,1999,2022,24,0.010984348,0.000679763,0.415045103
MID,2015,2022,8,0.033916667,0.192700337,0.264035788
MLO,1998,2022,25,0.004994615,0.042903897,0.166465165
NWR,1998,2022,25,0.001892308,0.403187618,0.030571234
SMO,1998,2022,25,0.000651538,0.752970843,0.004391497
SPO,1998,2022,25,0.005279231,0.051439503,0.155088956
SUM,2010,2022,13,0.000978022,0.904481919,0.001368973
TAP,2000,2022,23,0.007935771,0.156070641,0.093434844
WLG,2001,2022,22,0.002234896,0.492201151,0.023891094
ZEP,2008,2022,15,-0.002378571,0.751012135,0.008015671
