site,period,start_year,end_year,expected_years,observed_years,usable_years,usable_fraction,eligible,diagnostic_only
ALT,2002_2022,2002,2022,21,21,20,0.9523809523809523,True,False
AMY,2002_2022,2002,2022,21,10,9,0.42857142857142855,False,False
ASC,2002_2022,2002,2022,21,21,21,1.0,True,False
AZR,2002_2022,2002,2022,21,21,13,0.6190476190476191,False,False
BAL,2002_2022,2002,2022,21,4,3,0.14285714285714285,False,False
BHD,2002_2022,2002,2022,21,14,12,0.5714285714285714,False,False
BRW,2002_2022,2002,2022,21,21,21,1.0,True,False
CBA,2002_2022,2002,2022,21,15,13,0.6190476190476191,False,False
CGO,2002_2022,2002,2022,21,21,21,1.0,True,False
EIC,2002_2022,2002,2022,21,5,3,0.14285714285714285,False,False
GMI,2002_2022,2002,2022,21,7,5,0.23809523809523808,False,False
KUM,2002_2022,2002,2022,21,21,21,1.0,True,False
LLB,2002_2022,2002,2022,21,6,5,0.23809523809523808,False,False
MEX,2002_2022,2002,2022,21,14,14,0.6666666666666666,False,False
MHD,2002_2022,2002,2022,21,21,20,0.9523809523809523,True,False
MID,2002_2022,2002,2022,21,8,7,0.3333333333333333,False,False
MLO,2002_2022,2002,2022,21,21,21,1.0,True,False
NWR,2002_2022,2002,2022,21,21,21,1.0,True,False
SMO,2002_2022,2002,2022,21,21,21,1.0,True,False
SPO,2002_2022,2002,2022,21,21,20,0.9523809523809523,True,False
SUM,2002_2022,2002,2022,21,13,13,0.6190476190476191,False,False
TAP,2002_2022,2002,2022,21,21,21,1.0,True,False
WLG,2002_2022,2002,2022,21,21,20,0.9523809523809523,True,False
ZEP,2002_2022,2002,2022,21,15,14,0.6666666666666666,False,False
ALT,2016_2022,2016,2022,7,7,7,1.0,True,False
AMY,2016_2022,2016,2022,7,7,7,1.0,True,False
ASC,2016_2022,2016,2022,7,7,7,1.0,True,False
AZR,2016_2022,2016,2022,7,7,4,0.5714285714285714,False,False
BAL,2016_2022,2016,2022,7,0,0,0.0,False,False
BHD,2016_2022,2016,2022,7,7,5,0.7142857142857143,True,False
BRW,2016_2022,2016,2022,7,7,7,1.0,True,False
CBA,2016_2022,2016,2022,7,7,7,1.0,True,False
CGO,2016_2022,2016,2022,7,7,7,1.0,True,False
EIC,2016_2022,2016,2022,7,4,3,0.42857142857142855,False,False
GMI,2016_2022,2016,2022,7,7,5,0.7142857142857143,True,False
KUM,2016_2022,2016,2022,7,7,7,1.0,True,False
LLB,2016_2022,2016,2022,7,0,0,0.0,False,False
MEX,2016_2022,2016,2022,7,7,7,1.0,True,False
MHD,2016_2022,2016,2022,7,7,7,1.0,True,False
MID,2016_2022,2016,2022,7,7,7,1.0,True,False
MLO,2016_2022,2016,2022,7,7,7,1.0,True,False
NWR,2016_2022,2016,2022,7,7,7,1.0,True,False
SMO,2016_2022,2016,2022,7,7,7,1.0,True,False
SPO,2016_2022,2016,2022,7,7,7,1.0,True,False
SUM,2016_2022,2016,2022,7,7,7,1.0,True,False
TAP,2016_2022,2016,2022,7,7,7,1.0,True,False
WLG,2016_2022,2016,2022,7,7,7,1.0,True,False
ZEP,2016_2022,2016,2022,7,7,7,1.0,True,False
ALT,2020_2022,2020,2022,3,3,3,1.0,True,True
AMY,2020_2022,2020,2022,3,3,3,1.0,True,True
ASC,2020_2022,2020,2022,3,3,3,1.0,True,True
AZR,2020_2022,2020,2022,3,3,2,0.6666666666666666,False,True
BAL,2020_2022,2020,2022,3,0,0,0.0,False,True
BHD,2020_2022,2020,2022,3,3,2,0.6666666666666666,False,True
BRW,2020_2022,2020,2022,3,3,3,1.0,True,True
CBA,2020_2022,2020,2022,3,3,3,1.0,True,True
CGO,2020_2022,2020,2022,3,3,3,1.0,True,True
EIC,2020_2022,2020,2022,3,0,0,0.0,False,True
GMI,2020_2022,2020,2022,3,3,3,1.0,True,True
KUM,2020_2022,2020,2022,3,3,3,1.0,True,True
LLB,2020_2022,2020,2022,3,0,0,0.0,False,True
MEX,2020_2022,2020,2022,3,3,3,1.0,True,True
MHD,2020_2022,2020,2022,3,3,3,1.0,True,True
MID,2020_2022,2020,2022,3,3,3,1.0,True,True
MLO,2020_2022,2020,2022,3,3,3,1.0,True,True
NWR,2020_2022,2020,2022,3,3,3,1.0,True,True
SMO,2020_2022,2020,2022,3,3,3,1.0,True,True
SPO,2020_2022,2020,2022,3,3,3,1.0,True,True
SUM,2020_2022,2020,2022,3,3,3,1.0,True,True
TAP,2020_2022,2020,2022,3,3,3,1.0,True,True
WLG,2020_2022,2020,2022,3,3,3,1.0,True,True
ZEP,2020_2022,2020,2022,3,3,3,1.0,True,True
