site,period,metric,start_year,end_year,n_years,mean_sca,slope_per_year,slope_per_decade,ci95_low,ci95_high,ci95_low_per_decade,ci95_high_per_decade,p_value,r2,sen_slope_per_year,sen_slope_per_decade,sen_intercept,sen_ci95_low,sen_ci95_high,sen_ci95_low_per_decade,sen_ci95_high_per_decade
ALT,2002_2022,sca_detrended_range,2002,2022,20,0.4389371493092167,-4.4332031055994895e-05,-0.00044332031055994894,-0.006982881621753132,0.006894217559641143,-0.06982881621753133,0.06894217559641143,0.9894377513315046,1.0010156936135495e-05,-3.333333333346474e-05,-0.00033333333333464743,0.48928421070844286,-0.0096895467760471,0.006000000000000227,-0.096895467760471,0.060000000000002274
ASC,2002_2022,sca_detrended_range,2002,2022,21,0.15020368913232232,0.002605166192300411,0.02605166192300411,-0.0025960445404212434,0.007806376925022066,-0.025960445404212433,0.07806376925022065,0.3076318728974233,0.05468085049742921,0.0018704994067850764,0.018704994067850762,-3.6202633596226645,-0.0021522072663489964,0.00832460754601812,-0.021522072663489964,0.0832460754601812
BRW,2002_2022,sca_detrended_range,2002,2022,21,0.49985998432600676,0.003457975937472113,0.03457975937472113,-0.005394485613738028,0.012310437488682253,-0.05394485613738029,0.12310437488682253,0.42372963666066316,0.03398554952808419,0.004833333333335688,0.048333333333356876,-9.200358528151245,-0.008446899195815507,0.01262499999999811,-0.08446899195815508,0.1262499999999811
CGO,2002_2022,sca_detrended_range,2002,2022,21,0.20379920354571432,-0.0009326103168436035,-0.009326103168436035,-0.008117913992063687,0.00625269335837648,-0.08117913992063687,0.0625269335837648,0.7888115849549722,0.0038692018041838194,-0.0013151252539433636,-0.013151252539433635,2.8053990719307493,-0.007712923571269124,0.0041711158987656274,-0.07712923571269124,0.041711158987656274
KUM,2002_2022,sca_detrended_range,2002,2022,21,0.26233383953326106,0.0031585124150754107,0.03158512415075411,-0.00197122682348424,0.008288251653635061,-0.0197122682348424,0.0828825165363506,0.21296394118040177,0.0803850795015113,0.0020522316858596025,0.020522316858596026,-3.873851912319518,-0.003293067965783696,0.00760000000000006,-0.032930679657836956,0.0760000000000006
MHD,2002_2022,sca_detrended_range,2003,2022,20,0.3234733770704651,0.004312073400454647,0.043120734004546475,-0.0013199740683923003,0.009944120869301595,-0.013199740683923003,0.09944120869301595,0.1251169144275332,0.1256777954041174,0.0043527462276453065,0.043527462276453065,-8.433033682021112,-0.0032127542453479103,0.009970969730114656,-0.032127542453479103,0.09970969730114657
MLO,2002_2022,sca_detrended_range,2002,2022,21,0.23140322753715326,0.005031350168897771,0.05031350168897771,-0.00082235800936539,0.010885058347160931,-0.0082235800936539,0.10885058347160931,0.0879259204742295,0.1455431947023198,0.004752136752136665,0.04752136752136665,-9.334394643851363,-0.0016666666666663328,0.009733333333333387,-0.01666666666666333,0.09733333333333387
NWR,2002_2022,sca_detrended_range,2002,2022,21,0.2542705628575649,0.002873486256039398,0.02873486256039398,-0.002606020401281248,0.008352992913360044,-0.02606020401281248,0.08352992913360044,0.28609749856012917,0.05962536815797381,0.0024562795129723387,0.024562795129723387,-4.686785560619249,-0.0012916535907346945,0.00908014992014818,-0.012916535907346944,0.09080149920148181
SMO,2002_2022,sca_detrended_range,2002,2022,21,0.11473820752381579,0.00017498388897081333,0.0017498388897081332,-0.0051511068221131075,0.005501074600054735,-0.05151106822113108,0.05501074600054735,0.9458956873392652,0.0002488088245694575,-0.0012249253996218378,-0.012249253996218377,2.56088578839127,-0.006466739429855466,0.004303273988684348,-0.06466739429855467,0.043032739886843474
SPO,2002_2022,sca_detrended_range,2002,2022,20,0.19019780866672348,0.0035185370109456055,0.035185370109456056,-0.0041356091377008596,0.01117268315959207,-0.041356091377008596,0.1117268315959207,0.34695494378820385,0.049264904098077045,0.002266448850803909,0.02266448850803909,-4.402260613382807,-0.002343901526087301,0.006187420249425947,-0.02343901526087301,0.06187420249425947
TAP,2002_2022,sca_detrended_range,2002,2022,21,0.4014137335346563,0.0068525081609415355,0.06852508160941535,-0.006634780225932263,0.020339796547815335,-0.06634780225932263,0.20339796547815336,0.30092716599742536,0.05617415388269453,0.009644496656028463,0.09644496656028463,-19.05302769400749,-0.006215884771027624,0.01877090709354136,-0.062158847710276244,0.18770907093541359
WLG,2002_2022,sca_detrended_range,2002,2022,20,0.269610944008695,-0.0007729920139632334,-0.007729920139632334,-0.007115433088248297,0.00556944906032183,-0.07115433088248296,0.055694490603218294,0.8008139089928624,0.003629154960950287,-6.118005589821543e-05,-0.0006118005589821542,0.394040317368499,-0.008007890099254282,0.00679238760954586,-0.08007890099254282,0.06792387609545861
ALT,2002_2022,sca_harmonic,2002,2022,20,0.38089033674721906,0.0008166451636268082,0.008166451636268082,-0.006025791163312377,0.007659081490565994,-0.060257911633123766,0.07659081490565994,0.8048510202090113,0.003480793842160046,0.0006265908646007244,0.006265908646007243,-0.8877932351512892,-0.008709984415015092,0.007190225696609265,-0.08709984415015093,0.07190225696609265
ASC,2002_2022,sca_harmonic,2002,2022,21,0.11746614681049718,0.0011163378015619696,0.011163378015619696,-0.004250041342920384,0.006482716946044324,-0.04250041342920384,0.06482716946044324,0.6681780067636104,0.009878970282545585,0.0010837116844319634,0.010837116844319634,-2.0732192466800665,-0.00349007215558075,0.006792697619081637,-0.0349007215558075,0.06792697619081636
BRW,2002_2022,sca_harmonic,2002,2022,21,0.4369218808158991,0.0039913222641629045,0.03991322264162905,-0.004824347210179255,0.012806991738505063,-0.04824347210179255,0.12806991738505064,0.3552189880235016,0.04512967704747073,0.004587437380006424,0.04587437380006423,-8.771084170881595,-0.011476525881014395,0.013305231611949889,-0.11476525881014395,0.1330523161194989
CGO,2002_2022,sca_harmonic,2002,2022,21,0.16417229794570143,0.003016106929090371,0.030161069290903713,-0.004035251438867321,0.010067465297048063,-0.04035251438867321,0.10067465297048063,0.3818512196144917,0.04047608828909455,0.003265100609463263,0.03265100609463263,-6.427247055543413,-0.0031687320182601864,0.008584026247318034,-0.03168732018260186,0.08584026247318034
KUM,2002_2022,sca_harmonic,2002,2022,21,0.22766957146727707,0.003284295812763426,0.03284295812763426,-0.0014590695241491797,0.008027661149676032,-0.014590695241491796,0.08027661149676033,0.16358534012357476,0.09953442967458892,0.0016304847595222322,0.01630484759522232,-3.0669642909305814,-0.0039814027016225224,0.006810731515265967,-0.039814027016225224,0.06810731515265966
