site,year,n_months,n_quarters,first_month,last_month,usable,sca_raw_range,sca_detrended_range,sca_harmonic
ALT,2000,5,2,8,12,False,0.11299999999999955,0.10872543868742213,0.36422660460061196
ALT,2001,8,3,1,12,True,0.39000000000000057,0.37931359671855347,0.2462389248851109
ALT,2002,12,4,1,12,True,0.4209999999999994,0.41245087737484454,0.3280151710112856
ALT,2003,12,4,1,12,True,0.36299999999999955,0.3544508773748447,0.26144070039601935
ALT,2004,10,4,1,10,True,0.42600000000000193,0.4174508773748471,0.380951473397573
ALT,2005,5,2,4,8,False,0.23700000000000188,0.2305881580311393,0.4929410407610528
ALT,2006,12,4,1,12,True,0.43599999999999994,0.4274508773748451,0.39484095453906887
ALT,2007,12,4,1,12,True,0.6109999999999971,0.6024508773748423,0.4912340687728203
ALT,2008,12,4,1,12,True,0.554000000000002,0.543313596718562,0.5148972956177467
ALT,2009,12,4,1,12,True,0.4930000000000021,0.48445087737484727,0.3961409995718063
ALT,2010,12,4,1,12,True,0.40800000000000125,0.3994508773748464,0.3532511170501273
ALT,2011,12,4,1,12,True,0.5730000000000004,0.5634508773748408,0.5013497738614037
ALT,2012,12,4,1,12,True,0.38000000000000256,0.36931359671856256,0.35985096853635784
ALT,2013,12,4,1,12,True,0.28699999999999903,0.2754508773748441,0.26452487164346017
ALT,2014,12,4,1,12,True,0.43599999999999994,0.427450877374838,0.35770853921855755
ALT,2015,12,4,1,12,True,0.4889999999999972,0.4804508773748424,0.3892022455331736
ALT,2016,12,4,1,12,True,0.4230000000000018,0.414450877374847,0.350817908663075
ALT,2017,12,4,1,12,True,0.3509999999999991,0.34245087737484425,0.2705231568362791
ALT,2018,12,4,1,12,True,0.3620000000000019,0.35345087737485414,0.28417973163677956
ALT,2019,12,4,1,12,True,0.5019999999999953,0.4934508773748476,0.43600339844209246
ALT,2020,12,4,1,12,True,0.5429999999999993,0.5344508773748444,0.49186531710329645
ALT,2021,12,4,1,12,True,0.3689999999999998,0.36045087737484494,0.29070845173146587
ALT,2022,12,4,1,12,True,0.5309999999999988,0.522450877374844,0.5003005913819922
AMY,2013,1,1,12,12,False,0.0,0.0,
AMY,2014,12,4,1,12,True,0.5489999999999995,0.5661067278287462,0.25104999723799964
AMY,2015,12,4,1,12,True,0.5599999999999952,0.5143820591233563,0.42601540709320385
AMY,2016,12,4,1,12,True,0.3960000000000008,0.3731910295616814,0.32038340772886775
AMY,2017,12,4,1,12,True,0.5559999999999974,0.5321910295616519,0.4436111009453059
AMY,2018,12,4,1,12,True,0.3369999999999962,0.3084887869520756,0.2672596699816344
AMY,2019,12,4,1,12,True,0.5500000000000043,0.5157865443425393,0.5040312403128359
AMY,2020,12,4,1,12,True,0.34499999999999886,0.29938205912336,0.27451363047936417
AMY,2021,12,4,1,12,True,0.5470000000000041,0.5241910295616847,0.4093806179406888
AMY,2022,12,4,1,12,True,0.5900000000000034,0.567191029561684,0.5002892050712895
ASC,2000,3,1,10,12,False,0.07199999999999562,0.07649215092034467,0.15298430184069645
ASC,2001,5,2,1,5,False,0.16899999999999693,0.16001569815929884,0.2420049886391767
ASC,2002,10,4,3,12,True,0.11299999999999955,0.12447645276105845,0.117661353569217
ASC,2003,12,4,1,12,True,0.10900000000000176,0.1272146791415878,0.12371384688696153
ASC,2004,12,4,1,12,True,0.11999999999999744,0.12898430184070264,0.10050516626841993
ASC,2005,9,3,1,9,True,0.17900000000000205,0.1680156981592944,0.17233713096936745
ASC,2006,11,4,2,12,True,0.054999999999999716,0.07121467914159041,0.028678565635718755
ASC,2007,12,4,1,12,True,0.08599999999999852,0.10421467914159166,0.06757187277522479
ASC,2008,12,4,1,12,True,0.08200000000000074,0.08873822638052786,0.013413825063520577
ASC,2009,12,4,1,12,True,0.2289999999999992,0.21552354723893785,0.17746609603109767
ASC,2010,12,4,1,12,True,0.24099999999999966,0.22527747177876023,0.22297558635028278
ASC,2011,12,4,1,12,True,0.16599999999999682,0.15476962269911354,0.13714638719452935
ASC,2012,12,4,1,12,True,0.07000000000000028,0.07698430184070304,0.03747891928919036
ASC,2013,12,4,1,12,True,0.25199999999999534,0.2632303773008786,0.22667871192202058
ASC,2014,12,4,1,12,True,0.13400000000000034,0.12276962269912417,0.09169225578554611
ASC,2015,12,4,1,12,True,0.07900000000000063,0.09472252822122584,0.08183298101999258
ASC,2016,12,4,1,12,True,0.054999999999999716,0.06847645276105396,0.05630239423683196
ASC,2017,12,4,1,12,True,0.14500000000000313,0.12478532085842176,0.09126871441585842
ASC,2018,12,4,1,12,True,0.2779999999999987,0.2690156981592935,0.11371093250363544
