year,Mic_d13C_NH_mean,Mic_d13C_NH_std,Mic_d13C_SH_mean,Mic_d13C_SH_std,BB_d13C_NH_mean,BB_d13C_NH_std,BB_d13C_SH_mean,BB_d13C_SH_std,FF_d13C_NH_mean,FF_d13C_NH_std,FF_d13C_SH_mean,FF_d13C_SH_std
1998,-59.943,1.082,-59.503,1.077,-26.098,2.677,-24.237,2.444,-44.046,1.935,-45.429,3.570
1999,-59.886,1.082,-59.496,1.076,-25.956,2.653,-24.648,2.480,-44.048,1.862,-45.686,3.301
2000,-59.958,1.081,-59.543,1.074,-25.915,2.646,-23.732,2.414,-43.962,1.849,-45.776,3.491
2001,-59.898,1.082,-59.509,1.076,-25.965,2.655,-23.731,2.413,-43.904,1.781,-45.984,3.173
2002,-59.908,1.081,-59.537,1.073,-26.039,2.667,-24.967,2.514,-43.716,2.009,-46.232,3.166
2003,-59.836,1.082,-59.606,1.071,-26.053,2.669,-23.906,2.422,-43.719,2.048,-46.423,3.040
2004,-59.868,1.078,-59.643,1.067,-26.007,2.661,-24.522,2.468,-43.649,2.077,-46.591,3.003
2005,-59.864,1.081,-59.666,1.071,-25.969,2.655,-23.987,2.427,-43.465,2.244,-46.724,2.750
2006,-59.860,1.079,-59.663,1.068,-25.988,2.658,-25.013,2.520,-43.637,2.254,-47.349,2.852
2007,-59.904,1.080,-59.527,1.074,-25.944,2.651,-24.475,2.464,-43.450,2.471,-47.676,2.553
2008,-59.866,1.081,-59.554,1.074,-25.981,2.657,-23.258,2.398,-43.616,2.449,-47.578,2.602
2009,-59.916,1.080,-59.641,1.070,-26.030,2.665,-24.620,2.477,-43.553,2.553,-47.918,2.664
2010,-59.762,1.082,-59.656,1.074,-26.058,2.670,-24.149,2.438,-43.356,2.406,-47.933,2.436
2011,-59.813,1.081,-59.653,1.073,-25.979,2.657,-23.973,2.426,-43.149,2.764,-48.986,2.367
2012,-59.876,1.080,-59.685,1.073,-26.098,2.677,-24.321,2.451,-43.228,2.742,-49.278,2.337
2013,-59.749,1.079,-59.886,1.068,-26.051,2.669,-23.252,2.398,-43.093,2.746,-49.170,2.326
2014,-59.874,1.078,-59.948,1.067,-26.101,2.677,-24.496,2.466,-43.111,2.699,-49.239,2.251
2015,-60.021,1.078,-59.942,1.064,-26.022,2.664,-25.178,2.540,-43.006,2.681,-48.955,2.186
2016,-59.988,1.080,-59.786,1.071,-25.984,2.658,-23.477,2.404,-42.965,2.531,-49.074,2.246
2017,-60.042,1.079,-59.891,1.069,-26.053,2.669,-23.619,2.409,-42.899,2.474,-49.328,2.265
2018,-59.906,1.080,-59.845,1.072,-26.026,2.665,-23.780,2.416,-42.779,2.515,-49.903,2.358
2019,-59.868,1.080,-59.826,1.072,-26.177,2.690,-24.875,2.504,-42.916,2.555,-50.218,2.288
2020,-60.019,1.078,-59.944,1.067,-26.084,2.674,-24.056,2.432,-42.635,2.795,-50.094,2.280
2021,-59.797,1.080,-59.739,1.073,-26.194,2.693,-23.648,2.410,-42.653,2.792,-50.157,2.293
