year,Mic_dD_NH_mean,Mic_dD_NH_std,Mic_dD_SH_mean,Mic_dD_SH_std,BB_dD_NH_mean,BB_dD_NH_std,BB_dD_SH_mean,BB_dD_SH_std,FF_dD_NH_mean,FF_dD_NH_std,FF_dD_SH_mean,FF_dD_SH_std
1998,-318.79,7.93,-305.25,7.33,-241.75,8.40,-208.10,7.04,-194.99,6.37,-183.82,7.78
1999,-317.91,7.88,-305.26,7.33,-232.25,7.96,-211.10,7.13,-194.93,6.33,-184.75,7.79
2000,-317.18,7.84,-305.15,7.33,-230.11,7.86,-207.53,7.03,-194.03,5.90,-184.92,7.72
2001,-317.08,7.84,-305.11,7.33,-232.44,7.96,-207.15,7.01,-194.59,6.25,-184.94,7.79
2002,-316.96,7.83,-305.00,7.32,-240.36,8.34,-215.27,7.27,-194.38,6.38,-185.65,7.40
2003,-317.43,7.86,-305.03,7.33,-240.54,8.35,-209.71,7.09,-193.64,5.76,-186.30,7.88
2004,-317.17,7.84,-304.80,7.32,-236.57,8.15,-213.39,7.21,-193.32,5.81,-187.22,7.26
2005,-317.59,7.86,-304.99,7.32,-231.59,7.93,-209.87,7.10,-193.44,5.61,-187.36,7.29
2006,-316.34,7.80,-304.93,7.32,-233.91,8.03,-216.79,7.33,-192.98,5.35,-188.65,7.17
2007,-317.44,7.86,-305.12,7.33,-229.01,7.81,-208.93,7.07,-193.30,5.54,-189.19,7.46
2008,-316.36,7.80,-305.13,7.33,-234.80,8.07,-206.25,6.99,-193.44,5.29,-189.35,7.13
2009,-316.88,7.83,-305.02,7.33,-231.35,7.92,-215.95,7.30,-192.60,5.60,-189.56,7.26
2010,-316.57,7.81,-304.88,7.32,-233.67,8.02,-208.67,7.06,-192.67,5.10,-189.55,7.24
2011,-316.81,7.82,-304.86,7.32,-231.27,7.91,-210.05,7.10,-192.81,5.19,-191.28,8.23
2012,-316.88,7.83,-304.87,7.32,-241.04,8.37,-209.46,7.08,-193.07,5.11,-192.21,8.77
2013,-315.99,7.78,-304.59,7.31,-235.02,8.08,-206.00,6.98,-192.80,5.10,-192.04,8.54
2014,-316.41,7.80,-304.56,7.31,-237.09,8.18,-212.68,7.19,-192.94,5.43,-191.89,8.36
2015,-316.99,7.83,-304.64,7.31,-235.96,8.13,-216.72,7.33,-192.36,5.15,-191.77,7.88
2016,-317.03,7.84,-304.92,7.32,-233.94,8.03,-206.93,7.01,-191.87,5.42,-191.75,8.05
2017,-316.57,7.81,-304.87,7.32,-239.16,8.28,-207.01,7.01,-192.15,5.16,-192.83,8.44
2018,-316.16,7.79,-304.96,7.32,-238.72,8.26,-208.58,7.06,-191.81,5.13,-193.55,9.10
2019,-316.30,7.80,-304.82,7.32,-245.44,8.59,-213.99,7.23,-192.07,5.62,-194.25,10.17
2020,-316.68,7.82,-304.82,7.32,-238.33,8.24,-208.47,7.05,-191.80,5.40,-193.76,10.01
2021,-315.63,7.77,-305.04,7.33,-256.47,9.18,-208.03,7.04,-191.66,5.43,-194.06,9.96
