year,NHext,Trop,SHext
1998,-47.4551,-47.2377,-47.0203
1999,-47.2566,-47.1196,-46.9825
2000,-47.2597,-47.1317,-47.0037
2001,-47.2199,-47.0955,-46.9710
2002,-47.1981,-47.0967,-46.9954
2003,-47.1871,-47.0699,-46.9526
2004,-47.1579,-47.0532,-46.9484
2005,-47.2200,-47.0916,-46.9633
2006,-47.2289,-47.1020,-46.9752
2007,-47.2051,-47.0895,-46.9738
2008,-47.1681,-47.0608,-46.9534
2009,-47.2468,-47.1346,-47.0223
2010,-47.2757,-47.1755,-47.0752
2011,-47.3557,-47.2217,-47.0877
2012,-47.3570,-47.2381,-47.1192
2013,-47.3675,-47.2618,-47.1561
2014,-47.3725,-47.2683,-47.1641
2015,-47.4163,-47.3015,-47.1867
2016,-47.4373,-47.2973,-47.1573
2017,-47.4747,-47.3539,-47.2331
2018,-47.5096,-47.4029,-47.2963
2019,-47.5860,-47.4851,-47.3843
2020,-47.6227,-47.4778,-47.3328
2021,-47.7089,-47.5779,-47.4469
