year,Mic_d13C_NHext_mean,Mic_d13C_NHext_std,Mic_d13C_Trop_mean,Mic_d13C_Trop_std,Mic_d13C_SHext_mean,Mic_d13C_SHext_std,BB_d13C_NHext_mean,BB_d13C_NHext_std,BB_d13C_Trop_mean,BB_d13C_Trop_std,BB_d13C_SHext_mean,BB_d13C_SHext_std,FF_d13C_NHext_mean,FF_d13C_NHext_std,FF_d13C_Trop_mean,FF_d13C_Trop_std,FF_d13C_SHext_mean,FF_d13C_SHext_std
1998,-61.043,1.118,-58.941,1.101,-58.770,1.136,-26.627,2.772,-25.084,2.528,-26.488,2.746,-43.880,2.575,-44.397,2.026,-48.575,2.705
1999,-60.981,1.118,-58.977,1.101,-58.801,1.136,-26.594,2.766,-25.073,2.527,-26.462,2.741,-43.857,2.397,-44.396,1.935,-48.190,2.558
2000,-61.104,1.117,-59.046,1.099,-58.853,1.134,-26.595,2.766,-24.784,2.494,-26.553,2.758,-43.852,2.442,-44.287,1.873,-48.244,2.633
2001,-61.067,1.118,-59.015,1.102,-58.828,1.135,-26.594,2.766,-24.657,2.481,-26.602,2.768,-43.745,2.601,-44.282,1.904,-48.352,2.770
2002,-61.083,1.118,-58.999,1.098,-58.834,1.135,-26.610,2.769,-25.205,2.543,-26.616,2.770,-43.507,2.600,-44.471,1.855,-48.578,2.770
2003,-60.919,1.118,-59.041,1.098,-58.882,1.135,-26.623,2.772,-24.746,2.490,-26.624,2.772,-43.487,2.794,-44.350,1.894,-48.587,2.759
2004,-61.024,1.117,-59.005,1.093,-58.960,1.132,-26.593,2.766,-25.020,2.521,-26.503,2.749,-43.380,2.850,-44.465,1.757,-48.612,2.653
2005,-61.027,1.118,-59.034,1.098,-58.876,1.135,-26.594,2.766,-24.830,2.499,-26.587,2.765,-43.301,2.923,-44.530,1.777,-48.956,2.836
2006,-61.083,1.117,-59.046,1.095,-58.982,1.133,-26.599,2.767,-25.194,2.542,-26.618,2.771,-43.212,3.104,-44.825,1.910,-48.971,2.945
2007,-61.043,1.118,-58.997,1.098,-58.747,1.136,-26.587,2.765,-25.001,2.518,-26.606,2.768,-43.062,3.105,-44.992,1.837,-49.188,3.002
2008,-61.063,1.117,-59.024,1.099,-58.851,1.136,-26.616,2.770,-24.525,2.469,-26.605,2.768,-43.100,3.036,-45.110,1.784,-49.189,2.920
2009,-61.107,1.117,-59.078,1.097,-58.823,1.135,-26.599,2.767,-25.102,2.531,-26.559,2.759,-43.181,3.165,-45.171,1.863,-49.472,2.944
2010,-60.842,1.119,-59.058,1.098,-58.815,1.135,-26.608,2.769,-24.898,2.507,-26.533,2.755,-42.850,3.364,-45.074,1.793,-49.512,2.977
2011,-61.047,1.118,-59.003,1.098,-58.885,1.134,-26.607,2.769,-24.816,2.498,-26.555,2.759,-42.837,3.544,-45.480,1.752,-49.447,2.949
2012,-61.151,1.117,-59.023,1.098,-58.866,1.135,-26.624,2.772,-24.992,2.517,-26.587,2.765,-42.850,3.407,-45.527,1.763,-49.523,2.978
2013,-61.062,1.118,-59.021,1.096,-59.248,1.130,-26.608,2.769,-24.714,2.487,-26.640,2.775,-42.748,3.542,-45.672,1.626,-49.320,2.827
2014,-61.149,1.117,-59.194,1.094,-59.506,1.127,-26.616,2.770,-25.158,2.537,-26.599,2.767,-42.875,3.470,-45.687,1.721,-49.313,2.747
2015,-61.220,1.117,-59.251,1.092,-59.307,1.129,-26.619,2.771,-25.317,2.558,-26.407,2.731,-42.679,3.520,-45.499,1.659,-49.333,2.876
2016,-61.097,1.117,-59.177,1.096,-59.061,1.133,-26.616,2.770,-24.704,2.486,-26.552,2.758,-42.656,3.308,-45.500,1.751,-49.097,2.825
2017,-61.259,1.116,-59.273,1.095,-59.111,1.131,-26.621,2.771,-24.680,2.483,-26.600,2.767,-42.471,3.284,-45.747,1.761,-48.831,2.734
2018,-61.138,1.117,-59.167,1.097,-59.042,1.133,-26.623,2.772,-24.756,2.491,-26.544,2.757,-42.409,3.420,-45.811,1.787,-48.807,2.886
2019,-61.029,1.118,-59.160,1.097,-59.079,1.133,-26.633,2.774,-25.201,2.543,-26.638,2.774,-42.243,3.452,-46.140,1.740,-48.688,2.764
2020,-61.259,1.117,-59.238,1.094,-59.340,1.130,-26.619,2.771,-24.911,2.508,-26.631,2.773,-42.359,3.675,-46.102,1.797,-48.625,2.681
2021,-61.061,1.117,-59.054,1.098,-58.864,1.135,-26.649,2.777,-24.723,2.488,-26.647,2.776,-42.225,3.583,-46.102,1.846,-48.207,2.577
