year,Mic_dD_NHext_mean,Mic_dD_NHext_std,Mic_dD_Trop_mean,Mic_dD_Trop_std,Mic_dD_SHext_mean,Mic_dD_SHext_std,BB_dD_NHext_mean,BB_dD_NHext_std,BB_dD_Trop_mean,BB_dD_Trop_std,BB_dD_SHext_mean,BB_dD_SHext_std,FF_dD_NHext_mean,FF_dD_NHext_std,FF_dD_Trop_mean,FF_dD_Trop_std,FF_dD_SHext_mean,FF_dD_SHext_std
1998,-329.33,8.55,-304.35,7.30,-305.26,7.33,-280.29,10.57,-209.97,7.10,-214.27,7.24,-197.47,8.48,-185.09,5.12,-200.66,10.73
1999,-328.67,8.51,-304.69,7.31,-305.19,7.33,-263.97,9.60,-210.37,7.11,-214.17,7.24,-197.42,8.32,-185.02,5.12,-200.31,10.04
2000,-328.05,8.47,-304.73,7.32,-305.10,7.33,-261.92,9.48,-207.91,7.04,-215.43,7.28,-196.28,8.05,-185.40,5.18,-200.60,10.86
2001,-327.92,8.46,-304.97,7.32,-304.97,7.32,-263.24,9.56,-208.32,7.05,-214.23,7.24,-196.54,8.32,-185.55,5.17,-201.64,11.20
2002,-327.70,8.45,-304.31,7.30,-304.87,7.32,-275.65,10.29,-212.97,7.20,-211.92,7.16,-196.78,8.02,-185.72,5.07,-201.54,11.61
2003,-328.41,8.49,-304.46,7.31,-305.27,7.33,-273.23,10.14,-209.66,7.09,-216.79,7.33,-195.46,7.88,-185.65,4.89,-201.35,11.64
2004,-328.41,8.49,-303.93,7.29,-305.35,7.34,-270.62,9.99,-212.80,7.19,-214.76,7.26,-195.60,7.45,-185.92,4.85,-201.79,11.87
2005,-328.94,8.53,-304.39,7.30,-305.15,7.33,-264.56,9.63,-210.51,7.12,-214.76,7.26,-195.13,7.44,-186.01,4.87,-202.72,12.35
2006,-327.73,8.45,-304.55,7.31,-305.11,7.33,-263.94,9.60,-214.35,7.24,-213.85,7.23,-194.82,6.93,-186.27,4.67,-203.01,12.80
2007,-328.41,8.49,-304.44,7.31,-304.95,7.32,-257.91,9.26,-209.71,7.09,-214.80,7.26,-194.92,6.94,-186.92,4.62,-203.01,12.44
2008,-327.47,8.43,-304.84,7.32,-305.15,7.33,-265.25,9.67,-207.86,7.03,-214.78,7.26,-194.71,7.03,-186.84,4.50,-203.26,12.76
2009,-328.11,8.47,-304.45,7.31,-305.28,7.33,-261.34,9.45,-213.78,7.22,-214.26,7.24,-194.16,6.99,-187.17,4.67,-203.60,12.46
2010,-327.26,8.42,-304.43,7.31,-304.93,7.32,-263.90,9.59,-210.06,7.10,-215.36,7.28,-194.31,6.63,-187.50,4.65,-203.47,13.25
2011,-328.29,8.48,-304.37,7.30,-304.99,7.32,-262.07,9.49,-209.66,7.09,-215.90,7.30,-194.26,6.67,-188.30,4.77,-203.43,12.80
2012,-328.40,8.49,-304.27,7.30,-304.98,7.32,-274.23,10.20,-210.12,7.10,-215.72,7.29,-194.39,6.82,-188.24,5.05,-204.06,13.60
2013,-327.64,8.44,-303.82,7.29,-304.99,7.32,-268.78,9.88,-209.25,7.08,-214.32,7.24,-194.40,6.54,-187.53,5.24,-202.92,11.47
2014,-328.60,8.51,-304.00,7.29,-304.67,7.31,-271.42,10.03,-212.97,7.20,-215.84,7.29,-194.72,6.72,-188.11,5.47,-202.32,11.61
2015,-328.56,8.50,-304.14,7.30,-304.97,7.32,-268.55,9.87,-214.09,7.23,-217.04,7.34,-194.14,6.75,-187.42,5.22,-203.28,12.23
2016,-327.87,8.46,-304.46,7.31,-304.69,7.31,-268.14,9.84,-208.55,7.06,-216.26,7.31,-192.87,6.63,-187.83,5.80,-202.57,11.70
2017,-328.20,8.48,-304.43,7.31,-304.78,7.32,-273.33,10.15,-208.29,7.05,-216.74,7.33,-193.79,6.81,-187.89,5.85,-201.67,11.38
2018,-327.38,8.43,-304.31,7.30,-304.69,7.31,-273.06,10.13,-209.07,7.07,-215.43,7.28,-193.48,6.67,-188.21,5.79,-200.81,11.67
2019,-327.40,8.43,-304.36,7.30,-304.65,7.31,-281.39,10.64,-213.14,7.20,-209.50,7.08,-193.98,6.93,-188.76,6.14,-201.00,11.50
2020,-328.77,8.52,-304.21,7.30,-304.87,7.32,-272.94,10.13,-209.35,7.08,-215.29,7.27,-193.04,6.77,-188.65,6.11,-201.13,11.22
2021,-326.70,8.38,-304.36,7.30,-305.03,7.33,-291.79,11.30,-208.94,7.07,-233.38,8.01,-193.37,6.86,-189.12,6.00,-201.05,11.01
