site_id,site_name,country,latitude,longitude,elevation_m,lab,lab_full,mbl_site,n_raw_observations,year_start,year_end,dD_mean_permil,dD_min_permil,dD_max_permil
alt,"Alert, Nunavut",Canada,82.45,-62.51,185.0,INSTAAR,"INSTAAR (Institute of Arctic and Alpine Research, CU-Boulder / NOAA GML, USA)",Yes,237,2005.3,2009.94,-83.06,-89.75,-72.16
altMPI,Alert,Canada,82.45,-62.51,200.0,MPI-BGC,"MPI-BGC (Max Planck Institute for Biogeochemistry, Jena, Germany)",Yes,337,2011.05,2024.81,-88.04,-100.55,-78.5
asc,Ascension Island,United Kingdom,-7.97,-14.4,85.0,INSTAAR,"INSTAAR (Institute of Arctic and Alpine Research, CU-Boulder / NOAA GML, USA)",Yes,192,2005.32,2010.18,-69.75,-79.06,-62.47
ato,Amazonas,Brazil,-2.14,-58.99,120.0,INSTAAR,"INSTAAR (Institute of Arctic and Alpine Research, CU-Boulder / NOAA GML, USA)",No,21,2021.69,2023.09,-83.57,-88.69,-77.76
azr,"Terceira Island, Azores",Portugal,38.77,-27.38,19.0,INSTAAR,"INSTAAR (Institute of Arctic and Alpine Research, CU-Boulder / NOAA GML, USA)",No,71,2005.11,2009.81,-80.13,-87.99,-72.31
bal,Baltic Sea,Poland,55.35,17.22,3.0,INSTAAR,"INSTAAR (Institute of Arctic and Alpine Research, CU-Boulder / NOAA GML, USA)",No,221,2004.82,2010.03,-86.01,-96.35,-74.72
bikMPI,Bialystok,Poland,53.23,23.03,183.0,MPI-BGC,"MPI-BGC (Max Planck Institute for Biogeochemistry, Jena, Germany)",No,151,2012.54,2021.3,-91.98,-115.77,-83.94
brw,Barrow Atmospheric Baseline Observatory,United States,71.32,-156.61,11.0,INSTAAR,"INSTAAR (Institute of Arctic and Alpine Research, CU-Boulder / NOAA GML, USA)",Yes,106,2005.25,2010.19,-84.97,-95.48,-78.42
brwIMAU,Barrow Atmospheric Baseline Observatory,United States,71.32,-156.61,11.0,IMAU,"IMAU (Utrecht University, Netherlands)",Yes,127,2022.21,2024.31,-92.81,-98.79,-87.68
bsc,"Black Sea, Constanta",Romania,44.18,28.66,0.0,INSTAAR,"INSTAAR (Institute of Arctic and Alpine Research, CU-Boulder / NOAA GML, USA)",No,64,2005.2,2008.23,-89.58,-102.09,-75.24
cba,"Cold Bay, Alaska",United States,55.21,-162.72,21.34,INSTAAR,"INSTAAR (Institute of Arctic and Alpine Research, CU-Boulder / NOAA GML, USA)",Yes,155,2005.34,2010.2,-82.86,-91.86,-71.17
cgo,"Cape Grim, Tasmania",Australia,-40.68,144.69,94.0,INSTAAR,"INSTAAR (Institute of Arctic and Alpine Research, CU-Boulder / NOAA GML, USA)",Yes,69,2005.27,2009.34,-69.25,-78.31,-64.58
