# x_interp smoothed_curve trend rsd2
2022.208219 -96.518343 -94.769967 1.504486
2022.227397 -96.495503 -94.669538 1.504486
2022.246575 -96.258629 -94.570815 1.504486
2022.265753 -95.821366 -94.473822 1.504486
2022.284931 -95.235450 -94.378581 1.504486
2022.304109 -94.579616 -94.285112 1.504486
2022.323287 -93.942580 -94.193438 1.504486
2022.342466 -93.403928 -94.103576 1.504486
2022.361644 -93.017219 -94.015548 1.504486
2022.380822 -92.799144 -93.929370 1.504486
2022.400000 -92.727202 -93.845061 1.504486
2022.419178 -92.746429 -93.762636 1.504486
2022.438356 -92.783635 -93.682111 1.504486
2022.457534 -92.765918 -93.603500 1.504486
2022.476712 -92.639181 -93.526817 1.504486
2022.495890 -92.382401 -93.452074 1.504486
2022.515068 -92.014298 -93.379282 1.504486
2022.534246 -91.590780 -93.308451 1.504486
2022.553424 -91.193604 -93.239587 1.504486
2022.572603 -90.912712 -93.172704 1.504486
2022.591781 -90.826093 -93.107805 1.504486
2022.610959 -90.981685 -93.044893 1.504486
2022.630137 -91.385343 -92.983974 1.504486
2022.649315 -91.997587 -92.925053 1.504486
2022.668493 -92.739922 -92.868127 1.504486
2022.687671 -93.509419 -92.813197 1.504486
2022.706849 -94.198376 -92.760267 1.504486
2022.726027 -94.714831 -92.709329 1.504486
2022.745205 -94.999533 -92.660378 1.504486
2022.764383 -95.035785 -92.613417 1.504486
2022.783561 -94.850160 -92.568431 1.504486
2022.802740 -94.504237 -92.525418 1.504486
2022.821918 -94.079348 -92.484368 1.504486
2022.841096 -93.657971 -92.445268 1.504486
2022.860274 -93.305985 -92.408112 1.504486
2022.879452 -93.059766 -92.372886 1.504486
2022.898630 -92.920891 -92.339577 1.504486
2022.917808 -92.859412 -92.308169 1.504486
2022.936986 -92.824663 -92.278648 1.504486
2022.956164 -92.760806 -92.250996 1.504486
2022.975342 -92.623266 -92.225196 1.504486
2022.994520 -92.392031 -92.201232 1.504486
2023.013698 -92.078533 -92.179082 1.504486
2023.032877 -91.724422 -92.158724 1.504486
2023.052055 -91.392435 -92.140141 1.504486
2023.071233 -91.151452 -92.123310 1.504486
2023.090411 -91.059285 -92.108207 1.504486
2023.109589 -91.147285 -92.094810 1.504486
2023.128767 -91.410494 -92.083096 1.504486
2023.147945 -91.805870 -92.073039 1.504486
2023.167123 -92.259225 -92.064616 1.504486
2023.186301 -92.679537 -92.057802 1.504486
2023.205479 -92.977574 -92.052569 1.504486
2023.224657 -93.084720 -92.048892 1.504486
2023.243835 -92.967789 -92.046745 1.504486
2023.263014 -92.636470 -92.046103 1.504486
2023.282192 -92.141652 -92.046939 1.504486
2023.301370 -91.564929 -92.049228 1.504486
2023.320548 -91.001554 -92.052942 1.504486
2023.339726 -90.540586 -92.058055 1.504486
2023.358904 -90.246611 -92.064541 1.504486
2023.378082 -90.147078 -92.072374 1.504486
2023.397260 -90.228030 -92.081529 1.504486
2023.416438 -90.439113 -92.091981 1.504486
2023.435616 -90.706671 -92.103706 1.504486
2023.454794 -90.951903 -92.116678 1.504486
2023.473972 -91.109936 -92.130873 1.504486
2023.493151 -91.145453 -92.146272 1.504486
2023.512329 -91.061291 -92.162849 1.504486
2023.531507 -90.898094 -92.180583 1.504486
2023.550685 -90.725031 -92.199454 1.504486
2023.569863 -90.623707 -92.219442 1.504486
2023.589041 -90.668916 -92.240525 1.504486
2023.608219 -90.910602 -92.262686 1.504486
2023.627397 -91.361135 -92.285908 1.504486
2023.646575 -91.990822 -92.310174 1.504486
2023.665753 -92.732717 -92.335471 1.504486
2023.684931 -93.495695 -92.361783 1.504486
2023.704109 -94.182916 -92.389098 1.504486
2023.723287 -94.711569 -92.417402 1.504486
2023.742466 -95.029543 -92.446686 1.504486
2023.761644 -95.125345 -92.476940 1.504486
2023.780822 -95.029136 -92.508155 1.504486
2023.800000 -94.804740 -92.540324 1.504486
2023.819178 -94.534510 -92.573442 1.504486
2023.838356 -94.300535 -92.607506 1.504486
2023.857534 -94.166414 -92.642508 1.504486
2023.876712 -94.163730 -92.678453 1.504486
2023.895890 -94.286121 -92.715328 1.504486
2023.915068 -94.492263 -92.753141 1.504486
2023.934246 -94.716824 -92.791896 1.504486
2023.953424 -94.886816 -92.831596 1.504486
2023.972603 -94.939475 -92.872242 1.504486
2023.991781 -94.837483 -92.913841 1.504486
2024.010959 -94.578018 -92.956397 1.504486
2024.030137 -94.193577 -92.999923 1.504486
2024.049315 -93.744393 -93.044425 1.504486
2024.068493 -93.304309 -93.089913 1.504486
2024.087671 -92.943395 -93.136401 1.504486
2024.106849 -92.711430 -93.183900 1.504486
2024.126027 -92.626131 -93.232423 1.504486
2024.145205 -92.668925 -93.281985 1.504486
2024.164383 -92.789305 -93.332603 1.504486
2024.183561 -92.916822 -93.384293 1.504486
2024.202740 -92.977967 -93.437072 1.504486
2024.221918 -92.914059 -93.490961 1.504486
2024.241096 -92.695959 -93.545977 1.504486
2024.260274 -92.332168 -93.602141 1.504486
2024.279452 -91.868327 -93.659475 1.504486
2024.298630 -91.378132 -93.717999 1.504486
2024.308743 -91.190781 -93.744807 1.504486
