# x_interp smoothed_curve trend rsd2
2005.198021 -92.516783 -89.519036 4.309642
2005.217199 -91.461038 -89.630540 4.309642
2005.236377 -90.167098 -89.742414 4.309642
2005.255556 -88.855530 -89.854628 4.309642
2005.274734 -87.751356 -89.967160 4.309642
2005.293912 -87.037792 -90.079973 4.309642
2005.313090 -86.819327 -90.193040 4.309642
2005.332268 -87.102007 -90.306310 4.309642
2005.351446 -87.795169 -90.419728 4.309642
2005.370624 -88.733874 -90.533251 4.309642
2005.389802 -89.716732 -90.646817 4.309642
2005.408980 -90.550549 -90.760358 4.309642
2005.428158 -91.091687 -90.873774 4.309642
2005.447336 -91.275048 -90.987005 4.309642
2005.466514 -91.124248 -91.099958 4.309642
2005.485693 -90.741266 -91.212532 4.309642
2005.504871 -90.278286 -91.324618 4.309642
2005.524049 -89.898555 -91.436103 4.309642
2005.543227 -89.735555 -91.546863 4.309642
2005.562405 -89.860034 -91.656769 4.309642
2005.581583 -90.262567 -91.765680 4.309642
2005.600761 -90.855628 -91.873449 4.309642
2005.619939 -91.494635 -91.979928 4.309642
2005.639117 -92.012915 -92.084921 4.309642
2005.658295 -92.262603 -92.188301 4.309642
2005.677473 -92.151469 -92.289870 4.309642
2005.696651 -91.667487 -92.389442 4.309642
2005.715830 -90.884986 -92.486821 4.309642
2005.735008 -89.950940 -92.581808 4.309642
2005.754186 -89.054376 -92.674195 4.309642
2005.773364 -88.385844 -92.763771 4.309642
2005.792542 -88.096152 -92.850317 4.309642
2005.811720 -88.263845 -92.933611 4.309642
2005.830898 -88.878845 -93.013425 4.309642
2005.850076 -89.846026 -93.089527 4.309642
2005.869254 -91.007863 -93.161684 4.309642
2005.888432 -92.180956 -93.229659 4.309642
2005.907610 -93.197970 -93.293225 4.309642
2005.926788 -93.945208 -93.352116 4.309642
2005.945967 -94.387248 -93.406108 4.309642
2005.965145 -94.572636 -93.454977 4.309642
2005.984323 -94.619283 -93.498457 4.309642
2006.003501 -94.683025 -93.536337 4.309642
2006.022679 -94.916234 -93.568392 4.309642
2006.041857 -95.426363 -93.594379 4.309642
2006.061035 -96.244126 -93.614085 4.309642
2006.080213 -97.308917 -93.627293 4.309642
2006.099391 -98.475419 -93.633801 4.309642
2006.118569 -99.540399 -93.633412 4.309642
2006.137747 -100.284180 -93.625938 4.309642
2006.156925 -100.517825 -93.611201 4.309642
2006.176104 -100.125650 -93.589039 4.309642
2006.195282 -99.093572 -93.559295 4.309642
2006.214460 -97.516845 -93.521829 4.309642
2006.233638 -95.585182 -93.476515 4.309642
2006.252816 -93.548217 -93.423226 4.309642
2006.271994 -91.668661 -93.361902 4.309642
2006.291172 -90.172866 -93.292443 4.309642
2006.310350 -89.209590 -93.214804 4.309642
2006.329528 -88.825264 -93.128905 4.309642
2006.348706 -88.961038 -93.034753 4.309642
2006.367884 -89.471353 -92.932346 4.309642
2006.387062 -90.159793 -92.821679 4.309642
2006.406240 -90.823851 -92.702797 4.309642
2006.425419 -91.298466 -92.575761 4.309642
2006.444597 -91.488861 -92.440647 4.309642
2006.463775 -91.385729 -92.297549 4.309642
2006.482953 -91.059960 -92.146584 4.309642
2006.502131 -90.638836 -91.987893 4.309642
2006.521309 -90.269823 -91.821641 4.309642
2006.540487 -90.080804 -91.648013 4.309642
2006.559665 -90.146311 -91.467213 4.309642
2006.578843 -90.467713 -91.279476 4.309642
2006.598021 -90.971901 -91.085024 4.309642
2006.617199 -91.528831 -90.884155 4.309642
2006.636377 -91.983309 -90.677131 4.309642
2006.655556 -92.193751 -90.464276 4.309642
2006.674734 -92.068252 -90.245907 4.309642
2006.693912 -91.589480 -90.022367 4.309642
2006.713090 -90.822148 -89.794011 4.309642
2006.732268 -89.901066 -89.561219 4.309642
2006.751446 -89.002225 -89.324381 4.309642
2006.770624 -88.303448 -89.083901 4.309642
2006.789802 -87.943641 -88.840207 4.309642
2006.808980 -87.990040 -88.593712 4.309642
2006.828158 -88.421298 -88.344864 4.309642
2006.847336 -89.130430 -88.094112 4.309642
2006.866514 -89.947327 -87.841915 4.309642
2006.885693 -90.675923 -87.588736 4.309642
2006.904871 -91.137700 -87.335044 4.309642
2006.924049 -91.211688 -87.081314 4.309642
2006.943227 -90.861780 -86.828021 4.309642
2006.962405 -90.145012 -86.575641 4.309642
2006.981583 -89.198703 -86.324651 4.309642
2007.000761 -88.209152 -86.075524 4.309642
2007.019939 -87.368802 -85.828730 4.309642
2007.039117 -86.831457 -85.584734 4.309642
2007.058295 -86.675681 -85.343993 4.309642
2007.077473 -86.884735 -85.106958 4.309642
2007.096651 -87.347770 -84.874069 4.309642
2007.115830 -87.882259 -84.645753 4.309642
2007.135008 -88.272867 -84.422427 4.309642
2007.154186 -88.318293 -84.204493 4.309642
2007.173364 -87.875770 -83.992337 4.309642
2007.192542 -86.893404 -83.786328 4.309642
2007.211720 -85.423219 -83.586819 4.309642
2007.230898 -83.612022 -83.394142 4.309642
2007.250076 -81.672137 -83.208609 4.309642
2007.269254 -79.838466 -83.030510 4.309642
2007.288432 -78.321339 -82.860114 4.309642
2007.307610 -77.265444 -82.697667 4.309642
2007.326788 -76.723712 -82.543389 4.309642
2007.345967 -76.651566 -82.397476 4.309642
2007.365145 -76.922406 -82.260098 4.309642
2007.384323 -77.360383 -82.131401 4.309642
2007.403501 -77.782758 -82.011501 4.309642
2007.422679 -78.042071 -81.900491 4.309642
2007.441857 -78.058580 -81.798432 4.309642
2007.461035 -77.835739 -81.705362 4.309642
2007.480213 -77.455545 -81.621289 4.309642
