# x_interp smoothed_curve trend rsd2
2005.342104 -81.548210 -82.769247 2.563671
2005.361282 -81.929100 -82.815708 2.563671
2005.380460 -82.238940 -82.861960 2.563671
2005.399639 -82.444118 -82.907931 2.563671
2005.418817 -82.525068 -82.953552 2.563671
2005.437995 -82.479278 -82.998749 2.563671
2005.457173 -82.322225 -83.043449 2.563671
2005.476351 -82.085906 -83.087575 2.563671
2005.495529 -81.815016 -83.131053 2.563671
2005.514707 -81.561174 -83.173805 2.563671
2005.533885 -81.375919 -83.215756 2.563671
2005.553063 -81.303474 -83.256830 2.563671
2005.572241 -81.374338 -83.296951 2.563671
2005.591419 -81.600710 -83.336045 2.563671
2005.610597 -81.974494 -83.374038 2.563671
2005.629775 -82.468243 -83.410858 2.563671
2005.648954 -83.038947 -83.446436 2.563671
2005.668132 -83.634111 -83.480704 2.563671
2005.687310 -84.199189 -83.513595 2.563671
2005.706488 -84.685230 -83.545046 2.563671
2005.725666 -85.055539 -83.574992 2.563671
2005.744844 -85.290386 -83.603385 2.563671
2005.764022 -85.388981 -83.630172 2.563671
2005.783200 -85.368579 -83.655302 2.563671
2005.802378 -85.260910 -83.678726 2.563671
2005.821556 -85.106579 -83.700403 2.563671
2005.840734 -84.948408 -83.720295 2.563671
2005.859912 -84.824804 -83.738369 2.563671
2005.879091 -84.764168 -83.754599 2.563671
2005.898269 -84.781153 -83.768960 2.563671
2005.917447 -84.875243 -83.781436 2.563671
2005.936625 -85.031698 -83.792011 2.563671
2005.955803 -85.224575 -83.800681 2.563671
2005.974981 -85.421199 -83.807438 2.563671
2005.994159 -85.587356 -83.812287 2.563671
2006.013337 -85.692338 -83.815233 2.563671
2006.032515 -85.713192 -83.816294 2.563671
2006.051693 -85.637595 -83.815474 2.563671
2006.070871 -85.465209 -83.812815 2.563671
2006.090049 -85.207287 -83.808329 2.563671
2006.109228 -84.884979 -83.802058 2.563671
2006.128406 -84.526457 -83.794033 2.563671
2006.147584 -84.163406 -83.784296 2.563671
2006.166762 -83.827253 -83.772895 2.563671
2006.185940 -83.545517 -83.759880 2.563671
2006.205118 -83.338629 -83.745304 2.563671
2006.224296 -83.217473 -83.729226 2.563671
2006.243474 -83.181843 -83.711706 2.563671
2006.262652 -83.220001 -83.692811 2.563671
2006.281830 -83.309417 -83.672607 2.563671
2006.301008 -83.418745 -83.651166 2.563671
2006.320186 -83.510977 -83.628562 2.563671
2006.339365 -83.547577 -83.604868 2.563671
2006.358543 -83.493291 -83.580157 2.563671
2006.377721 -83.321135 -83.554511 2.563671
2006.396899 -83.016928 -83.528015 2.563671
2006.416077 -82.582730 -83.500738 2.563671
2006.435255 -82.038603 -83.472762 2.563671
2006.454433 -81.422139 -83.444173 2.563671
2006.473611 -80.785598 -83.415052 2.563671
2006.492789 -80.190767 -83.385470 2.563671
2006.511967 -79.702051 -83.355515 2.563671
2006.531145 -79.378536 -83.325260 2.563671
2006.550323 -79.266173 -83.294785 2.563671
2006.569502 -79.391123 -83.264156 2.563671
2006.588680 -79.755402 -83.233462 2.563671
2006.607858 -80.335423 -83.202750 2.563671
2006.627036 -81.084038 -83.172103 2.563671
2006.646214 -81.935649 -83.141574 2.563671
2006.665392 -82.814002 -83.111242 2.563671
2006.684570 -83.641378 -83.081137 2.563671
2006.703748 -84.348182 -83.051337 2.563671
2006.722926 -84.881227 -83.021884 2.563671
2006.742104 -85.209835 -82.992822 2.563671
2006.761282 -85.328766 -82.964196 2.563671
2006.780460 -85.257650 -82.936033 2.563671
2006.799639 -85.037159 -82.908381 2.563671
2006.818817 -84.722472 -82.881260 2.563671
2006.837995 -84.375191 -82.854698 2.563671
2006.857173 -84.054828 -82.828713 2.563671
2006.876351 -83.811135 -82.803324 2.563671
2006.895529 -83.678227 -82.778532 2.563671
2006.914707 -83.671290 -82.754355 2.563671
2006.933885 -83.785969 -82.730788 2.563671
2006.953063 -84.000437 -82.707828 2.563671
2006.972241 -84.279540 -82.685471 2.563671
2006.991419 -84.580277 -82.663702 2.563671
2007.010597 -84.857785 -82.642507 2.563671
2007.029775 -85.070994 -82.621873 2.563671
2007.048954 -85.187265 -82.601775 2.563671
2007.068132 -85.185594 -82.582180 2.563671
2007.087310 -85.058188 -82.563060 2.563671
2007.106488 -84.810379 -82.544387 2.563671
2007.125666 -84.459105 -82.526124 2.563671
2007.144844 -84.030278 -82.508234 2.563671
2007.164022 -83.555401 -82.490676 2.563671
2007.183200 -83.067793 -82.473412 2.563671
2007.202378 -82.598805 -82.456395 2.563671
2007.221556 -82.174348 -82.439574 2.563671
2007.240734 -81.812067 -82.422916 2.563671
2007.259912 -81.519357 -82.406365 2.563671
