# x_interp smoothed_curve trend rsd2
2012.646761 -72.816784 -74.761518 2.489164
2012.665939 -72.804452 -74.837345 2.489164
2012.685117 -72.844740 -74.916191 2.489164
2012.704295 -72.975184 -74.998037 2.489164
2012.723473 -73.223720 -75.082854 2.489164
2012.742651 -73.600887 -75.170610 2.489164
2012.761829 -74.095352 -75.261265 2.489164
2012.781008 -74.673874 -75.354772 2.489164
2012.800186 -75.285853 -75.451079 2.489164
2012.819364 -75.871621 -75.550128 2.489164
2012.838542 -76.372838 -75.651852 2.489164
2012.857720 -76.742871 -75.756180 2.489164
2012.876898 -76.955059 -75.863036 2.489164
2012.896076 -77.007188 -75.972336 2.489164
2012.915254 -76.921330 -76.083993 2.489164
2012.934432 -76.739152 -76.197912 2.489164
2012.953610 -76.513784 -76.313996 2.489164
2012.972788 -76.299980 -76.432139 2.489164
2012.991966 -76.144645 -76.552235 2.489164
2013.011145 -76.079639 -76.674171 2.489164
2013.030323 -76.118195 -76.797830 2.489164
2013.049501 -76.255460 -76.923092 2.489164
2013.068679 -76.472732 -77.049834 2.489164
2013.087857 -76.744173 -77.177928 2.489164
2013.107035 -77.044266 -77.307245 2.489164
2013.126213 -77.354208 -77.437654 2.489164
2013.145391 -77.665753 -77.569018 2.489164
2013.164569 -77.981692 -77.701203 2.489164
2013.183747 -78.313001 -77.834070 2.489164
2013.202925 -78.673496 -77.967480 2.489164
2013.222103 -79.073456 -78.101292 2.489164
2013.241282 -79.513909 -78.235367 2.489164
2013.260460 -79.983110 -78.369564 2.489164
2013.279638 -80.456226 -78.503740 2.489164
2013.298816 -80.898440 -78.637756 2.489164
2013.317994 -81.270871 -78.771472 2.489164
2013.337172 -81.538008 -78.904748 2.489164
2013.356350 -81.674949 -79.037447 2.489164
2013.375528 -81.672754 -79.169433 2.489164
2013.394706 -81.540631 -79.300571 2.489164
2013.413884 -81.304383 -79.430730 2.489164
2013.433062 -81.001391 -79.559778 2.489164
2013.452240 -80.673247 -79.687590 2.489164
2013.471419 -80.357672 -79.814040 2.489164
2013.490597 -80.081557 -79.939007 2.489164
2013.509775 -79.856728 -80.062375 2.489164
2013.528953 -79.679395 -80.184029 2.489164
2013.548131 -79.533430 -80.303852 2.489164
2013.567309 -79.396717 -80.421743 2.489164
2013.586487 -79.249038 -80.537604 2.489164
2013.605665 -79.079630 -80.651333 2.489164
2013.624843 -78.892584 -80.762836 2.489164
2013.644021 -78.708649 -80.872024 2.489164
2013.663199 -78.562860 -80.978811 2.489164
2013.682377 -78.498347 -81.083119 2.489164
2013.701556 -78.557522 -81.184871 2.489164
2013.720734 -78.772568 -81.284002 2.489164
2013.739912 -79.157238 -81.380448 2.489164
2013.759090 -79.701876 -81.474149 2.489164
2013.778268 -80.372838 -81.565055 2.489164
2013.797446 -81.116560 -81.653116 2.489164
2013.816624 -81.867615 -81.738286 2.489164
2013.835802 -82.559150 -81.820530 2.489164
2013.854980 -83.133631 -81.899817 2.489164
2013.874158 -83.551777 -81.976119 2.489164
2013.893336 -83.797908 -82.049412 2.489164
2013.912514 -83.880757 -82.119686 2.489164
2013.931693 -83.829682 -82.186934 2.489164
2013.950871 -83.687256 -82.251149 2.489164
2013.970049 -83.499923 -82.312332 2.489164
2013.989227 -83.308733 -82.370489 2.489164
2014.008405 -83.142102 -82.425633 2.489164
2014.027583 -83.012040 -82.477780 2.489164
2014.046761 -82.914439 -82.526955 2.489164
2014.065939 -82.833100 -82.573184 2.489164
2014.085117 -82.746360 -82.616494 2.489164
2014.104295 -82.634610 -82.656927 2.489164
2014.123473 -82.486842 -82.694526 2.489164
2014.142651 -82.304696 -82.729336 2.489164
2014.161829 -82.103057 -82.761410 2.489164
2014.181008 -81.907145 -82.790803 2.489164
2014.200186 -81.746839 -82.817576 2.489164
2014.219364 -81.649663 -82.841793 2.489164
2014.238542 -81.634159 -82.863522 2.489164
2014.257720 -81.705258 -82.882835 2.489164
2014.276898 -81.852804 -82.899809 2.489164
2014.296076 -82.053587 -82.914522 2.489164
2014.315254 -82.276435 -82.927059 2.489164
2014.334432 -82.489163 -82.937506 2.489164
2014.353610 -82.665722 -82.945950 2.489164
2014.372788 -82.791843 -82.952484 2.489164
2014.391966 -82.867809 -82.957205 2.489164
2014.411145 -82.907661 -82.960208 2.489164
2014.430323 -82.935000 -82.961589 2.489164
2014.449501 -82.976377 -82.961452 2.489164
2014.468679 -83.053799 -82.959903 2.489164
2014.487857 -83.178213 -82.957044 2.489164
2014.507035 -83.345580 -82.952984 2.489164
2014.526213 -83.536566 -82.947829 2.489164
2014.545391 -83.720115 -82.941684 2.489164
2014.564569 -83.860180 -82.934661 2.489164
2014.583747 -83.924171 -82.926869 2.489164
2014.602925 -83.891235 -82.918418 2.489164
2014.622103 -83.758413 -82.909418 2.489164
2014.641282 -83.543191 -82.899977 2.489164
2014.660460 -83.281667 -82.890205 2.489164
2014.679638 -83.022567 -82.880210 2.489164
2014.698816 -82.818224 -82.870099 2.489164
2014.717994 -82.714351 -82.859977 2.489164
2014.737172 -82.740736 -82.849950 2.489164
2014.756350 -82.904837 -82.840120 2.489164
2014.775528 -83.189646 -82.830587 2.489164
2014.794706 -83.556320 -82.821451 2.489164
2014.813884 -83.951067 -82.812806 2.489164
2014.833062 -84.314866 -82.804747 2.489164
2014.852240 -84.594051 -82.797366 2.489164
2014.871419 -84.749583 -82.790748 2.489164
2014.890597 -84.763189 -82.784978 2.489164
2014.909775 -84.639216 -82.780135 2.489164
2014.928953 -84.401980 -82.776295 2.489164
2014.948131 -84.089385 -82.773532 2.489164
2014.967309 -83.744301 -82.771914 2.489164
2014.986487 -83.405679 -82.771504 2.489164
2015.005665 -83.101310 -82.772361 2.489164
2015.024843 -82.843724 -82.774541 2.489164
2015.044021 -82.629946 -82.778093 2.489164
2015.063199 -82.444911 -82.783063 2.489164
2015.082377 -82.267555 -82.789489 2.489164
2015.101556 -82.077948 -82.797407 2.489164
2015.120734 -81.863706 -82.806845 2.489164
2015.139912 -81.624111 -82.817826 2.489164
2015.159090 -81.370975 -82.830371 2.489164
2015.178268 -81.126091 -82.844489 2.489164
2015.197446 -80.915944 -82.860187 2.489164
2015.216624 -80.765053 -82.877466 2.489164
2015.235802 -80.689595 -82.896322 2.489164
2015.254980 -80.692972 -82.916743 2.489164
2015.274158 -80.764449 -82.938714 2.489164
2015.293336 -80.881317 -82.962212 2.489164
2015.312514 -81.014128 -82.987212 2.489164
2015.331693 -81.133834 -83.013679 2.489164
2015.350871 -81.219157 -83.041574 2.489164
2015.370049 -81.262408 -83.070854 2.489164
2015.389227 -81.272313 -83.101466 2.489164
2015.408405 -81.273053 -83.133358 2.489164
2015.427583 -81.299582 -83.166476 2.489164
2015.446761 -81.390157 -83.200751 2.489164
2015.465939 -81.577708 -83.236111 2.489164
2015.485117 -81.881928 -83.272484 2.489164
2015.504295 -82.303868 -83.309795 2.489164
2015.523473 -82.824308 -83.347960 2.489164
2015.542651 -83.406344 -83.386894 2.489164
2015.561829 -84.001688 -83.426508 2.489164
2015.581008 -84.559366 -83.466708 2.489164
2015.600186 -85.034956 -83.507401 2.489164
2015.619364 -85.398376 -83.548488 2.489164
2015.638542 -85.638551 -83.589868 2.489164
2015.657720 -85.763993 -83.631439 2.489164
2015.676898 -85.799219 -83.673097 2.489164
2015.696076 -85.777876 -83.714735 2.489164
2015.715254 -85.734177 -83.756247 2.489164
2015.734432 -85.694611 -83.797525 2.489164
2015.753610 -85.671835 -83.838460 2.489164
2015.772788 -85.662158 -83.878944 2.489164
2015.791966 -85.647174 -83.918869 2.489164
2015.811145 -85.599200 -83.958126 2.489164
2015.830323 -85.489256 -83.996610 2.489164
2015.849501 -85.295751 -84.034216 2.489164
2015.868679 -85.011854 -84.070840 2.489164
2015.887857 -84.649814 -84.106386 2.489164
2015.907035 -84.241104 -84.140749 2.489164
2015.926213 -83.832290 -84.173832 2.489164
2015.945391 -83.477347 -84.205541 2.489164
2015.964569 -83.228011 -84.235787 2.489164
2015.983747 -83.124191 -84.264484 2.489164
2016.002925 -83.186413 -84.291551 2.489164
2016.022103 -83.411883 -84.316907 2.489164
2016.041282 -83.774933 -84.340478 2.489164
2016.060460 -84.231704 -84.362196 2.489164
2016.079638 -84.727976 -84.381994 2.489164
2016.098816 -85.208490 -84.399817 2.489164
2016.117994 -85.625750 -84.415612 2.489164
2016.137172 -85.946545 -84.429328 2.489164
2016.156350 -86.154986 -84.440921 2.489164
2016.175528 -86.251653 -84.450358 2.489164
2016.194706 -86.249363 -84.457611 2.489164
2016.213884 -86.166809 -84.462654 2.489164
2016.233062 -86.021790 -84.465474 2.489164
2016.252240 -85.825719 -84.466058 2.489164
2016.271419 -85.580802 -84.464398 2.489164
2016.290597 -85.280539 -84.460501 2.489164
2016.309775 -84.913347 -84.454377 2.489164
2016.328953 -84.468354 -84.446041 2.489164
2016.348131 -83.941853 -84.435515 2.489164
2016.367309 -83.342657 -84.422828 2.489164
2016.386487 -82.694906 -84.408016 2.489164
2016.405665 -82.037396 -84.391118 2.489164
2016.424843 -81.419363 -84.372190 2.489164
