# x_interp smoothed_curve trend rsd2
2022.756164 -86.248350 -85.571813 1.919943
2022.775342 -86.447818 -85.595351 1.919943
2022.794520 -86.425492 -85.616952 1.919943
2022.813698 -86.231288 -85.636620 1.919943
2022.832876 -85.941201 -85.654359 1.919943
2022.852054 -85.638821 -85.670176 1.919943
2022.871232 -85.397015 -85.684077 1.919943
2022.890411 -85.263838 -85.696068 1.919943
2022.909589 -85.255505 -85.706158 1.919943
2022.928767 -85.357508 -85.714353 1.919943
2022.947945 -85.532950 -85.720663 1.919943
2022.967123 -85.735537 -85.725097 1.919943
2022.986301 -85.923627 -85.727664 1.919943
2023.005479 -86.071665 -85.728374 1.919943
2023.024657 -86.176119 -85.727239 1.919943
2023.043835 -86.254514 -85.724269 1.919943
2023.063013 -86.337999 -85.719475 1.919943
2023.082191 -86.459563 -85.712869 1.919943
2023.101369 -86.641150 -85.704464 1.919943
2023.120548 -86.883315 -85.694272 1.919943
2023.139726 -87.160410 -85.682306 1.919943
2023.158904 -87.423020 -85.668579 1.919943
2023.178082 -87.607497 -85.653104 1.919943
2023.197260 -87.650627 -85.635894 1.919943
2023.216438 -87.506072 -85.616964 1.919943
2023.235616 -87.158542 -85.596328 1.919943
2023.254794 -86.632010 -85.573998 1.919943
2023.273972 -85.989479 -85.549989 1.919943
2023.293150 -85.323673 -85.524316 1.919943
2023.312328 -84.740136 -85.496991 1.919943
2023.331506 -84.336050 -85.468030 1.919943
2023.350685 -84.179254 -85.437445 1.919943
2023.369863 -84.292117 -85.405252 1.919943
2023.389041 -84.644070 -85.371462 1.919943
2023.408219 -85.154844 -85.336094 1.919943
2023.427397 -85.708213 -85.299155 1.919943
2023.446575 -86.173774 -85.260660 1.919943
2023.465753 -86.432451 -85.220623 1.919943
2023.484931 -86.400559 -85.179057 1.919943
2023.504109 -86.047386 -85.135971 1.919943
2023.523287 -85.402600 -85.091379 1.919943
2023.542465 -84.551763 -85.045293 1.919943
2023.561643 -83.620803 -84.997723 1.919943
2023.580822 -82.752498 -84.948681 1.919943
2023.600000 -82.079740 -84.898178 1.919943
2023.619178 -81.700949 -84.846221 1.919943
2023.638356 -81.662556 -84.792820 1.919943
2023.657534 -81.951900 -84.737982 1.919943
2023.676712 -82.501741 -84.681717 1.919943
2023.695890 -83.205107 -84.624032 1.919943
2023.715068 -83.937144 -84.564934 1.919943
2023.734246 -84.579271 -84.504436 1.919943
2023.753424 -85.040593 -84.442526 1.919943
2023.772602 -85.272479 -84.379229 1.919943
2023.791780 -85.273492 -84.314540 1.919943
2023.810959 -85.084473 -84.248457 1.919943
2023.830137 -84.775396 -84.180990 1.919943
2023.849315 -84.427390 -84.112145 1.919943
2023.868493 -84.114255 -84.041917 1.919943
2023.887671 -83.887624 -83.970309 1.919943
2023.906849 -83.768793 -83.897321 1.919943
2023.926027 -83.748588 -83.822953 1.919943
2023.945205 -83.794663 -83.747204 1.919943
2023.964383 -83.863836 -83.670073 1.919943
2023.983561 -83.916017 -83.591557 1.919943
2024.002739 -83.926002 -83.511652 1.919943
2024.021917 -83.890104 -83.430354 1.919943
2024.041096 -83.826027 -83.347662 1.919943
2024.060274 -83.766098 -83.263565 1.919943
2024.079452 -83.745834 -83.178062 1.919943
2024.098630 -83.790941 -83.091146 1.919943
2024.117808 -83.906383 -83.002810 1.919943
2024.136986 -84.070692 -82.913045 1.919943
2024.156164 -84.237407 -82.821843 1.919943
2024.175342 -84.343771 -82.729197 1.919943
2024.194520 -84.324975 -82.635095 1.919943
2024.213698 -84.130701 -82.539530 1.919943
2024.232876 -83.739975 -82.442492 1.919943
2024.252054 -83.170505 -82.343971 1.919943
2024.267760 -82.614816 -82.263046 1.919943
