# x_interp smoothed_curve trend rsd2
2022.104110 -77.502011 -76.880650 1.491216
2022.123288 -77.606183 -76.967700 1.491216
2022.142466 -77.618232 -77.053321 1.491216
2022.161644 -77.563586 -77.137555 1.491216
2022.180822 -77.478318 -77.220439 1.491216
2022.200000 -77.401253 -77.302010 1.491216
2022.219178 -77.365769 -77.382304 1.491216
2022.238357 -77.393049 -77.461358 1.491216
2022.257535 -77.488219 -77.539202 1.491216
2022.276713 -77.640126 -77.615871 1.491216
2022.295891 -77.824700 -77.691393 1.491216
2022.315069 -78.011055 -77.765798 1.491216
2022.334247 -78.168889 -77.839112 1.491216
2022.353425 -78.275490 -77.911361 1.491216
2022.372603 -78.320764 -77.982569 1.491216
2022.391781 -78.309219 -78.052756 1.491216
2022.410959 -78.258506 -78.121942 1.491216
2022.430137 -78.194956 -78.190145 1.491216
2022.449315 -78.147196 -78.257381 1.491216
2022.468494 -78.139385 -78.323662 1.491216
2022.487672 -78.185626 -78.389000 1.491216
2022.506850 -78.286870 -78.453405 1.491216
2022.526028 -78.430966 -78.516883 1.491216
2022.545206 -78.595822 -78.579440 1.491216
2022.564384 -78.754879 -78.641077 1.491216
2022.583562 -78.883571 -78.701798 1.491216
2022.602740 -78.965236 -78.761597 1.491216
2022.621918 -78.995056 -78.820471 1.491216
2022.641096 -78.981117 -78.878418 1.491216
2022.660274 -78.942291 -78.935425 1.491216
2022.679452 -78.903518 -78.991482 1.491216
2022.698631 -78.889543 -79.046578 1.491216
2022.717809 -78.918648 -79.100699 1.491216
2022.736987 -78.997884 -79.153828 1.491216
2022.756165 -79.120967 -79.205946 1.491216
2022.775343 -79.269387 -79.257032 1.491216
2022.794521 -79.416538 -79.307062 1.491216
2022.813699 -79.533926 -79.356015 1.491216
2022.832877 -79.598035 -79.403863 1.491216
2022.852055 -79.596238 -79.450575 1.491216
2022.871233 -79.530343 -79.496127 1.491216
2022.890411 -79.416830 -79.540487 1.491216
2022.909589 -79.283689 -79.583617 1.491216
2022.928768 -79.164461 -79.625486 1.491216
2022.947946 -79.090766 -79.666058 1.491216
2022.967124 -79.085017 -79.705297 1.491216
2022.986302 -79.154954 -79.743163 1.491216
2023.005480 -79.291322 -79.779620 1.491216
2023.024658 -79.469254 -79.814625 1.491216
2023.043836 -79.653203 -79.848137 1.491216
2023.063014 -79.804365 -79.880114 1.491216
2023.082192 -79.889057 -79.910514 1.491216
2023.101370 -79.886213 -79.939295 1.491216
2023.120548 -79.792376 -79.966410 1.491216
2023.139726 -79.623068 -79.991818 1.491216
2023.158905 -79.410208 -80.015473 1.491216
2023.178083 -79.196098 -80.037333 1.491216
2023.197261 -79.025241 -80.057350 1.491216
2023.216439 -78.935725 -80.075481 1.491216
2023.235617 -78.951961 -80.091681 1.491216
2023.254795 -79.080295 -80.105905 1.491216
2023.273973 -79.308343 -80.118111 1.491216
2023.293151 -79.608116 -80.128256 1.491216
2023.312329 -79.942136 -80.136296 1.491216
2023.331507 -80.271173 -80.142189 1.491216
2023.350685 -80.561873 -80.145894 1.491216
2023.369863 -80.792642 -80.147370 1.491216
2023.389042 -80.956562 -80.146576 1.491216
2023.408220 -81.060878 -80.143476 1.491216
2023.427398 -81.123276 -80.138034 1.491216
2023.446576 -81.166010 -80.130213 1.491216
2023.465754 -81.209328 -80.119977 1.491216
2023.484932 -81.265777 -80.107294 1.491216
2023.504110 -81.336738 -80.092132 1.491216
2023.523288 -81.411995 -80.074460 1.491216
2023.542466 -81.472351 -80.054251 1.491216
2023.561644 -81.494653 -80.031477 1.491216
2023.580822 -81.457938 -80.006115 1.491216
2023.600000 -81.349207 -79.978140 1.491216
2023.619178 -81.167379 -79.947532 1.491216
2023.638357 -80.924436 -79.914270 1.491216
2023.657535 -80.643440 -79.878337 1.491216
2023.676713 -80.353821 -79.839718 1.491216
2023.695891 -80.085033 -79.798402 1.491216
2023.715069 -79.860038 -79.754378 1.491216
2023.734247 -79.690188 -79.707633 1.491216
2023.753425 -79.572725 -79.658162 1.491216
2023.772603 -79.491538 -79.605962 1.491216
2023.791781 -79.421090 -79.551030 1.491216
2023.810959 -79.332630 -79.493365 1.491216
2023.830137 -79.201322 -79.432968 1.491216
2023.849315 -79.012619 -79.369844 1.491216
2023.868494 -78.766398 -79.304001 1.491216
2023.887672 -78.477837 -79.235444 1.491216
2023.906850 -78.174755 -79.164185 1.491216
2023.926028 -77.891929 -79.090236 1.491216
2023.945206 -77.663615 -79.013612 1.491216
2023.964384 -77.515905 -78.934331 1.491216
2023.983562 -77.460659 -78.852411 1.491216
2024.002740 -77.492379 -78.767869 1.491216
2024.021918 -77.588810 -78.680732 1.491216
2024.041096 -77.715167 -78.591023 1.491216
2024.060274 -77.831158 -78.498771 1.491216
2024.079452 -77.899264 -78.403998 1.491216
2024.098631 -77.892558 -78.306735 1.491216
2024.117809 -77.800301 -78.207016 1.491216
2024.136987 -77.630132 -78.104875 1.491216
2024.156165 -77.406380 -78.000338 1.491216
2024.175343 -77.164898 -77.893449 1.491216
2024.194521 -76.945471 -77.784241 1.491216
2024.213699 -76.783535 -77.672752 1.491216
2024.232877 -76.702943 -77.559022 1.491216
2024.248634 -76.700900 -77.460866 1.491216
