# x_interp smoothed_curve trend rsd2
2012.713110 -86.965130 -85.665019 1.672832
2012.732288 -87.244665 -85.660523 1.672832
2012.751466 -87.431903 -85.654664 1.672832
2012.770644 -87.536053 -85.647431 1.672832
2012.789822 -87.573825 -85.638815 1.672832
2012.809000 -87.566504 -85.628811 1.672832
2012.828178 -87.536352 -85.617422 1.672832
2012.847357 -87.502977 -85.604646 1.672832
2012.866535 -87.480368 -85.590497 1.672832
2012.885713 -87.475066 -85.574987 1.672832
2012.904891 -87.485840 -85.558132 1.672832
2012.924069 -87.504865 -85.539956 1.672832
2012.943247 -87.520120 -85.520488 1.672832
2012.962425 -87.518479 -85.499752 1.672832
2012.981603 -87.488886 -85.477791 1.672832
2013.000781 -87.424893 -85.454643 1.672832
2013.019959 -87.326105 -85.430349 1.672832
2013.039137 -87.198259 -85.404959 1.672832
2013.058315 -87.051904 -85.378529 1.672832
2013.077494 -86.900023 -85.351106 1.672832
2013.096672 -86.755156 -85.322763 1.672832
2013.115850 -86.626516 -85.293554 1.672832
2013.135028 -86.517856 -85.263551 1.672832
2013.154206 -86.426386 -85.232822 1.672832
2013.173384 -86.343034 -85.201442 1.672832
2013.192562 -86.253928 -85.169484 1.672832
2013.211740 -86.142815 -85.137030 1.672832
2013.230918 -85.993898 -85.104159 1.672832
2013.250096 -85.794569 -85.070957 1.672832
2013.269274 -85.537504 -85.037504 1.672832
2013.288452 -85.221830 -85.003890 1.672832
2013.307631 -84.853187 -84.970201 1.672832
2013.326809 -84.442831 -84.936525 1.672832
2013.345987 -84.006040 -84.902951 1.672832
2013.365165 -83.560242 -84.869570 1.672832
2013.384343 -83.123229 -84.836471 1.672832
2013.403521 -82.711808 -84.803738 1.672832
2013.422699 -82.341032 -84.771468 1.672832
2013.441877 -82.023949 -84.739741 1.672832
2013.461055 -81.771763 -84.708647 1.672832
2013.480233 -81.594047 -84.678270 1.672832
2013.499411 -81.498802 -84.648694 1.672832
2013.518589 -81.492095 -84.620000 1.672832
2013.537768 -81.577260 -84.592267 1.672832
2013.556946 -81.753760 -84.565567 1.672832
2013.576124 -82.016003 -84.539977 1.672832
2013.595302 -82.352433 -84.515569 1.672832
2013.614480 -82.745308 -84.492407 1.672832
2013.633658 -83.171421 -84.470559 1.672832
2013.652836 -83.603823 -84.450078 1.672832
2013.672014 -84.014487 -84.431025 1.672832
2013.691192 -84.377463 -84.413451 1.672832
2013.710370 -84.672114 -84.397404 1.672832
2013.729548 -84.885793 -84.382927 1.672832
2013.748726 -85.015489 -84.370059 1.672832
2013.767905 -85.068071 -84.358837 1.672832
2013.787083 -85.059036 -84.349288 1.672832
2013.806261 -85.009970 -84.341441 1.672832
2013.825439 -84.945113 -84.335313 1.672832
2013.844617 -84.887681 -84.330923 1.672832
2013.863795 -84.856549 -84.328281 1.672832
2013.882973 -84.863908 -84.327396 1.672832
2013.902151 -84.914251 -84.328268 1.672832
2013.921329 -85.004807 -84.330895 1.672832
2013.940507 -85.127222 -84.335271 1.672832
2013.959685 -85.270073 -84.341387 1.672832
2013.978863 -85.421625 -84.349227 1.672832
2013.998042 -85.572225 -84.358769 1.672832
2014.017220 -85.715850 -84.369992 1.672832
2014.036398 -85.850483 -84.382870 1.672832
2014.055576 -85.977323 -84.397373 1.672832
2014.074754 -86.099054 -84.413462 1.672832
2014.093932 -86.217654 -84.431108 1.672832
2014.113110 -86.332237 -84.450266 1.672832
2014.132288 -86.437542 -84.470889 1.672832
2014.151466 -86.523432 -84.492940 1.672832
2014.170644 -86.575531 -84.516361 1.672832
2014.189822 -86.577026 -84.541114 1.672832
2014.209000 -86.511178 -84.567143 1.672832
2014.228178 -86.364146 -84.594389 1.672832
2014.247357 -86.127569 -84.622805 1.672832
2014.266535 -85.800350 -84.652334 1.672832
2014.285713 -85.389403 -84.682920 1.672832
2014.304891 -84.909215 -84.714505 1.672832
2014.324069 -84.380373 -84.747034 1.672832
2014.343247 -83.827372 -84.780446 1.672832
2014.362425 -83.276172 -84.814688 1.672832
2014.381603 -82.751923 -84.849702 1.672832
2014.400781 -82.277233 -84.885434 1.672832
2014.419959 -81.871182 -84.921829 1.672832
2014.439137 -81.549045 -84.958834 1.672832
2014.458315 -81.322581 -84.996394 1.672832
2014.477494 -81.200561 -85.034459 1.672832
2014.496672 -81.189214 -85.072986 1.672832
2014.515850 -81.292301 -85.111917 1.672832
2014.535028 -81.510770 -85.151212 1.672832
2014.554206 -81.841939 -85.190830 1.672832
2014.573384 -82.278494 -85.230726 1.672832
2014.592562 -82.807653 -85.270864 1.672832
2014.611740 -83.410809 -85.311205 1.672832
2014.630918 -84.063998 -85.351717 1.672832
2014.650096 -84.739297 -85.392366 1.672832
2014.669274 -85.407104 -85.433128 1.672832
2014.688452 -86.038984 -85.473970 1.672832
2014.707631 -86.610672 -85.514874 1.672832
2014.726809 -87.104627 -85.555810 1.672832
2014.745987 -87.511746 -85.596767 1.672832
2014.765165 -87.831756 -85.637724 1.672832
2014.784343 -88.072288 -85.678665 1.672832
2014.803521 -88.246700 -85.719584 1.672832
2014.822699 -88.371076 -85.760464 1.672832
2014.841877 -88.460979 -85.801303 1.672832
2014.861055 -88.528550 -85.842090 1.672832
2014.880233 -88.580552 -85.882823 1.672832
2014.899411 -88.617692 -85.923499 1.672832
2014.918589 -88.635342 -85.964120 1.672832
2014.937768 -88.625449 -86.004681 1.672832
2014.956946 -88.579230 -86.045181 1.672832
2014.976124 -88.490025 -86.085629 1.672832
2014.995302 -88.355675 -86.126024 1.672832
2015.014480 -88.179925 -86.166373 1.672832
2015.033658 -87.972503 -86.206679 1.672832
2015.052836 -87.747863 -86.246943 1.672832
2015.072014 -87.522845 -86.287178 1.672832
2015.091192 -87.313664 -86.327378 1.672832
2015.110370 -87.132956 -86.367556 1.672832
2015.129548 -86.987359 -86.407706 1.672832
2015.148726 -86.876223 -86.447841 1.672832
2015.167905 -86.791608 -86.487957 1.672832
2015.187083 -86.719657 -86.528057 1.672832
2015.206261 -86.642983 -86.568141 1.672832
2015.225439 -86.543658 -86.608210 1.672832
2015.244617 -86.406214 -86.648259 1.672832
2015.263795 -86.220132 -86.688286 1.672832
2015.282973 -85.981404 -86.728284 1.672832
2015.302151 -85.692997 -86.768244 1.672832
2015.321329 -85.364248 -86.808162 1.672832
2015.340507 -85.009422 -86.848022 1.672832
2015.359685 -84.645847 -86.887812 1.672832
2015.378863 -84.292018 -86.927520 1.672832
2015.398042 -83.966019 -86.967127 1.672832
2015.417220 -83.684495 -87.006613 1.672832
2015.436398 -83.462197 -87.045961 1.672832
2015.455576 -83.311953 -87.085143 1.672832
2015.474754 -83.244840 -87.124137 1.672832
2015.493932 -83.270242 -87.162917 1.672832
