site_code,site_name,country,latitude,longitude,elevation_m,lab,project,n_observations,year_start,year_end,file
AAO,"Airborne Aerosol Observatory, Bondville, Illinois",United States,40.05,-88.37,230.0,NOAA,aircraft-flask,3890,2006.4,2009.7,ch4_AAO_aircraft_event_NOAA.nc
ABP,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,IPEN,surface-flask,193,2006.8,2010.0,ch4_ABP_surface_event_IPEN.nc
ABP,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,NOAA,surface-flask,225,2006.8,2010.0,ch4_ABP_surface_event_NOAA.nc
ABT,"Abbotsford, British Columbia",Canada,49.0114,-122.3353,60.0,EC,surface-insitu,24166,2014.2,2017.7,ch4_ABT_surface_hourly_EC.nc
ACG,Alaska Coast Guard,United States,57.7366,-152.5042,6.0,NOAA,aircraft-flask,1748,2009.3,2017.8,ch4_ACG_aircraft_event_NOAA.nc
ACT,Atmospheric Carbon and Transport - America,United States,38.1751,-91.0236,-9999.99,NOAA,aircraft-flask,1499,2016.4,2019.6,ch4_ACT_aircraft_event_NOAA.nc
AGP,"Arctic Gas and Aerosol Sampling Program, AGASP",N/A,71.7,-148.38,-9999.99,NOAA,surface-flask,212,1992.2,1992.3,ch4_AGP_surface_event_NOAA.nc
ALF,Alta Floresta,Brazil,-8.92,-56.79,-9999.99,IPEN,aircraft-flask,1504,2010.1,2017.0,ch4_ALF_aircraft_event_IPEN.nc
ALK,Alaska,United States,65.315,-148.635,-9999.99,TU,aircraft-flask,64,2006.6,2006.6,ch4_ALK_aircraft_event_TU.nc
ALT,"Alert, Nunavut",Canada,82.4508,-62.5072,185.0,MPI-BGC,surface-flask,1012,2004.8,2017.4,ch4_ALT_surface_event_MPI-BGC.nc
ALT,"Alert, Nunavut",Canada,82.4508,-62.5072,185.0,NOAA,surface-flask,4625,1985.4,2020.7,ch4_ALT_surface_event_NOAA.nc
ALT,"Alert, Nunavut",Canada,82.4508,-62.5072,200.0,EC,surface-insitu,112569,2000.0,2017.6,ch4_ALT_surface_hourly_EC.nc
AMS,Amsterdam Island,France,-37.7983,77.5378,55.0,LSCE,surface-flask,969,2001.2,2017.2,ch4_AMS_surface_event_LSCE.nc
AMS,Amsterdam Island,France,-37.7983,77.5378,55.0,NOAA,surface-flask,647,1983.0,1990.9,ch4_AMS_surface_event_NOAA.nc
AMS,Amsterdam Island,France,-37.7983,77.5378,55.0,LSCE,surface-insitu,5333,2012.1,2015.5,ch4_AMS_surface_hourly_LSCE.nc
AMT,"Argyle, Maine",United States,45.0345,-68.6821,53.0,NOAA,surface-flask,2815,2003.7,2019.9,ch4_AMT_surface_event_NOAA.nc
AMY,Anmyeon-do,Republic of Korea,36.5389,126.3295,47.0,NOAA,surface-flask,624,2013.9,2019.9,ch4_AMY_surface_event_NOAA.nc
AMY,Anmyeon-do,Republic of Korea,36.5389,126.3295,47.0,KMA,surface-insitu,70407,2000.6,2015.0,ch4_AMY_surface_hourly_KMA.nc
AOA,Aircraft Observation of Atmospheric trace gases by JMA,Japan,28.0955,149.069,-9999.99,JMA,aircraft-flask,1818,2011.1,2017.4,ch4_AOA_aircraft_event_JMA.nc
AOC,Atlantic Ocean Cruise,N/A,-5.0,-23.88,0.0,NOAA,surface-flask,240,2004.4,2005.1,ch4_AOC_surface_event_NOAA.nc
ASC,Ascension Island,United Kingdom,-7.9667,-14.4,85.0,NOAA,surface-flask,6025,1983.4,2020.0,ch4_ASC_surface_event_NOAA.nc
ASK,Assekrem,Algeria,23.2625,5.6322,2710.0,NOAA,surface-flask,2041,1995.7,2019.8,ch4_ASK_surface_event_NOAA.nc
AVI,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,NOAA,surface-flask,848,1983.4,1990.7,ch4_AVI_surface_event_NOAA.nc
AZR,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,NOAA,surface-flask,2014,1983.4,2020.0,ch4_AZR_surface_event_NOAA.nc
