site_code,site_name,country,latitude,longitude,elevation_m,labs,n_observations,year_start,year_end,data_source
AAO,"Airborne Aerosol Observatory, Bondville, Illinois",United States,40.05,-88.37,230.0,NOAA,3890,2006.4,2009.7,Basu2022_ObsPack
ABP,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,NOAA; IPEN,418,2006.8,2010.0,Basu2022_ObsPack
ABT,"Abbotsford, British Columbia",Canada,49.0114,-122.3353,60.0,EC,24166,2014.2,2017.7,Basu2022_ObsPack
ACG,Alaska Coast Guard,United States,57.7366,-152.5042,6.0,NOAA,1748,2009.3,2017.8,Basu2022_ObsPack
ACT,Atmospheric Carbon and Transport - America,United States,38.17509841918945,-91.02359771728516,,NOAA,1499,2016.4,2019.6,Basu2022_ObsPack
AGP,"Arctic Gas and Aerosol Sampling Program, AGASP",N/A,71.69999694824219,-148.3800048828125,,NOAA,212,1992.2,1992.3,Basu2022_ObsPack
ALF,Alta Floresta,Brazil,-8.92,-56.79,,IPEN,1504,2010.1,2017.0,Basu2022_ObsPack
ALK,Alaska,United States,65.31500244140625,-148.635009765625,,TU,64,2006.6,2006.6,Basu2022_ObsPack
ALT,"Alert, Nunavut",Canada,82.4508,-62.5072,200.0,MPI-BGC; EC; NOAA,118206,1985.4,2020.7,Basu2022_ObsPack
AMS,Amsterdam Island,France,-37.7983,77.5378,55.0,LSCE; NOAA,6949,1983.0,2017.2,Basu2022_ObsPack
AMT,"Argyle, Maine",United States,45.0345,-68.6821,53.0,NOAA,2815,2003.7,2019.9,Basu2022_ObsPack
AMY,Anmyeon-do,Republic of Korea,36.5389,126.3295,47.0,KMA; NOAA,71031,2000.6,2019.9,Basu2022_ObsPack
AOA,Aircraft Observation of Atmospheric trace gases by JMA,Japan,28.095500946044922,149.06900024414062,,JMA,1818,2011.1,2017.4,Basu2022_ObsPack
AOC,Atlantic Ocean Cruise,N/A,-5.0,-23.8799991607666,0.0,NOAA,240,2004.4,2005.1,Basu2022_ObsPack
ASC,Ascension Island,United Kingdom,-7.9667,-14.4,85.0,NOAA,6025,1983.4,2020.0,Basu2022_ObsPack
ASK,Assekrem,Algeria,23.2625,5.6322,2710.0,NOAA,2041,1995.7,2019.8,Basu2022_ObsPack
AVI,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,NOAA,848,1983.4,1990.7,Basu2022_ObsPack
AZR,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,NOAA,2014,1983.4,2020.0,Basu2022_ObsPack
AZV,Azovo,Russia,54.705,73.0292,110.0,NIES,37762,2009.8,2018.0,Basu2022_ObsPack
BAL,Baltic Sea,Poland,55.35,17.22,3.0,NOAA,3491,1992.7,2011.5,Basu2022_ObsPack
BAO,"Boulder Atmospheric Observatory, Colorado",United States,40.05,-105.004,1584.0,NOAA,7884,2007.6,2016.5,Basu2022_ObsPack
BCK,"Behchoko, Northwest Territories",Canada,62.7981,-115.9194,160.0,EC,46857,2010.8,2017.4,Basu2022_ObsPack
BGI,"Bradgate, Iowa",United States,42.82,-94.41,355.1,NOAA,364,2004.7,2005.9,Basu2022_ObsPack
